total number of missing values: 14575

number of missing days per patient:
       id  missing days
 DP3-0001            58
 DP3-0002             9
 DP3-0003             6
 DP3-0006             3
 DP3-0008            63
 DP3-0012            14
 DP3-0013             3
 DP3-0015            63
 DP3-0017            48
 DP3-0018           137
 DP3-0019            17
 DP3-0020            22
 DP3-0021            60
 DP3-0022            38
 DP3-0025            16
 DP3-0027             5
 DP3-0028             6
DP3-0029E            15
 DP3-0030             3
 DP3-0032            33
DP3-0033E             5
 DP3-0034             6
 DP3-0036            40
 DP3-0037             4
DP3-0039E            24
 DP3-0040            45
DP3-0041E             4
 DP3-0042            31
 DP3-0043            22
 DP3-0044             4
 DP3-0045            13
 DP3-0046            45
 DP3-0048            13
 DP3-0050            10
 DP3-0051             4
DP3-0052E            39
 DP3-0053            43
 DP3-0054             9
DP3-0055E            20
 DP3-0056             7
 DP3-0057            29
DP3-0060E            25
 DP3-0062             9
 DP3-0064             5
 DP3-0065            32
 DP3-0066            83
DP3-0069E            20
 DP3-0070            65
 DP3-0071            32
DP3-0073E            73
 DP3-0074            20
 DP3-0075             9
DP3-0076E            33
 DP3-0077             8
 DP3-0080            12
 DP3-0082            38
DP3-0083E            21
 DP3-0084            50
 DP3-0085            24
DP3-0086E            33
 DP3-0087             3
DP3-0088E            40
DP3-0091E            80
 DP3-0092            46
 DP3-0093            41
 DP3-0094            42
 DP3-0097            49
DP3-0100E            11
 DP3-0102             2
 DP3-0104            22
 DP3-0105             5
 DP3-0108            40
 DP3-0109            36
 DP3-0111            44
 DP3-0112            28
 DP3-0113             5
 DP3-0116            11
 DP3-0117            33
DP3-0119E            19
 DP3-0120            13
 DP3-0121             2
 DP3-0123            14
 DP3-0124           140
 DP3-0125             8
 DP3-0126            14
 DP3-0127            31
 DP3-0128            18
 DP3-0129            52
DP3-0130E            25
 DP3-0133            22
DP3-0134E            69
DP3-0136E             2
DP3-0137E             4
 DP3-0142            97
 DP3-0143            55
 DP3-0144            50
DP3-0151E            85
 DP3-0152            39
 DP3-0157            35
 DP3-0158            15
DP3-0163E            13
 DP3-0164            43
DP3-0165E            20
 DP3-0166            32
DP3-0167E            50
 DP3-0168            14
 DP3-0169            27
DP3-0170E            13
 DP3-0172            12
DP3-0173E            21
 DP3-0175            45
 DP3-0177             3
 DP3-0179             8
 DP3-0181            25
 DP3-0185            28
 DP3-0187            28
 DP3-0188            25
 DP3-0189             7
 DP3-0190             9
 DP3-0192            19
 DP3-0193            70
 DP3-0195            25
DP3-0196E            30
 DP3-0197            21
 DP3-0199           134
 DP3-0200            23
DP3-0201E            32
 DP3-0202            97
 DP3-0203             5
 DP3-0204             4
DP3-0205E            65
 DP3-0207            28
 DP3-0208             9
DP3-0209E            17
 DP3-0210            23
 DP3-0212            68
 DP3-0213             3
 DP3-0216            17
 DP3-0217            36
 DP3-0219            23
 DP3-0220            34
 DP3-0221            39
 DP3-0222            15
 DP3-0223           107
 DP3-0224            29
 DP3-0225            30
 DP3-0226            34
 DP3-0227            28
DP3-0229E           212
 DP3-0230            32
 DP3-0231            20
DP3-0232E           143
DP3-0233E           139
 DP3-0237            12
 DP3-0239             9
 DP3-0241             4
 DP3-0242             6
 DP3-0243            25
 DP3-0244            13
 DP3-0245             9
 DP3-0246            12
DP3-0248E             9
 DP3-0250             4
 DP3-0251            29
 DP3-0253            25
 DP3-0254            29
 DP3-0255            49
 DP3-0256            34
 DP3-0257             4
DP3-0261E            28
 DP3-0262            22
DP3-0263E            33
 DP3-0264            23
 DP3-0266            10
 DP3-0271             5
 DP3-0272            18
 DP3-0273             9
 DP3-0274             4
 DP3-0275            13
 DP3-0276            42
 DP3-0277            24
 DP3-0278            10
 DP3-0279            36
 DP3-0280            41
 DP3-0282            23
 DP3-0283            25
 DP3-0284             5
 DP3-0285            31
 DP3-0287            37
 DP3-0290             9
 DP3-0292            55
 DP3-0293            12
 DP3-0294            10
 DP3-0295            47
 DP3-0296            18
 DP3-0297            38
DP3-0298E             4
 DP3-0300            24
 DP3-0301             3
 DP3-0302            12
DP3-0303E            22
 DP3-0305             4
 DP3-0306            46
 DP3-0308             3
 DP3-0309             3
 DP3-0310            32
 DP3-0311            56
 DP3-0312            67
 DP3-0313            99
 DP3-0314            68
 DP3-0315             3
 DP3-0316            37
 DP3-0318            53
 DP3-0319             7
 DP3-0320            23
 DP3-0324             3
DP3-0325E             2
 DP3-0326            41
 DP3-0328            53
 DP3-0332            12
 DP3-0333            15
 DP3-0335            28
 DP3-0336            18
 DP3-0338            31
 DP3-0340            11
 DP3-0342            13
 DP3-0344            32
 DP3-0346             8
 DP3-0347            10
 DP3-0348            21
DP3-0350E            19
 DP3-0351             5
 DP3-0353            19
 DP3-0354            30
 DP3-0355            53
DP3-0356E             7
 DP3-0357            55
DP3-0358E             2
 DP3-0359             6
DP3-0360E            10
DP3-0362E            28
 DP3-0363            51
 DP3-0364            12
 DP3-0366            19
 DP3-0368            42
 DP3-0369             6
 DP3-0372             4
 DP3-0373            10
DP3-0375E            70
DP3-0376E             6
DP3-0377E            99
 DP3-0381             7
 DP3-0385            37
 DP3-0386            39
 DP3-0387            78
 DP3-0388            34
 DP3-0389             3
 DP3-0390            40
 DP3-0392            30
DP3-0393E            24
 DP3-0394            92
 DP3-0397            64
DP3-0398E             6
DP3-0400E            45
 DP3-0404            19
 DP3-0405            15
DP3-0406E            20
 DP3-0407             4
 DP3-0408             2
 DP3-0409            23
DP3-0410E            90
DP3-0412E            41
DP3-0413E           102
DP3-0414E            65
DP3-0415E            20
 DP3-0416             2
DP3-0417E            63
 DP3-0418            10
 DP3-0419            44
DP3-0422E             5
DP3-0423E            45
 DP3-0424           115
 DP3-0425            10
 DP3-0426            52
DP3-0427E            41
 DP3-0429            66
DP3-0432E            61
DP3-0433E             7
 DP3-0434            27
