| independent_var                                                                     | dependent_var                                               |          rho |    p_value |   sample_size_N |      FDR |
|:------------------------------------------------------------------------------------|:------------------------------------------------------------|-------------:|-----------:|----------------:|---------:|
| Early Second Trimester_activities_-_goals_-_activeminutes                           | accelerated_villous_maturation                              |  0.146343    | 0.201076   |              78 | 0.966043 |
|                                                                                     | increased_syncytial_knots                                   |  0.142589    | 0.213003   |              78 | 0.966043 |
|                                                                                     | apgar_5                                                     | -0.0883048   | 0.442013   |              78 | 0.980905 |
|                                                                                     | gest_age_del                                                | -0.0725644   | 0.527806   |              78 | 0.999923 |
|                                                                                     | apgar_1                                                     | -0.0724043   | 0.52872    |              78 | 0.999923 |
|                                                                                     | nicu_days                                                   |  0.0688476   | 0.549213   |              78 | 0.999923 |
|                                                                                     | placental_infarction                                        |  0.0184853   | 0.87238    |              78 | 0.999923 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     |  0.065725    | 0.567515   |              78 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        |  0.0263136   | 0.819116   |              78 | 0.999923 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          |  0.0184853   | 0.87238    |              78 | 0.999923 |
|                                                                                     | delayed_villous_maturation                                  |  0.0324415   | 0.777971   |              78 | 0.999923 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  |  0.0324415   | 0.777971   |              78 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse |  0.0263136   | 0.819116   |              78 | 0.999923 |
|                                                                                     | increased_perivillous_fibrin_deposition                     |  0.0263136   | 0.819116   |              78 | 0.999923 |
|                                                                                     | chorangiosis                                                |  0.0263136   | 0.819116   |              78 | 0.999923 |
|                                                                                     | birthweight                                                 |  0.00919116  | 0.936344   |              78 | 0.999998 |
| Early Second Trimester_activities_-_goals_-_caloriesout                             | apgar_5                                                     | -0.141858    | 0.215382   |              78 | 0.966043 |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse                     | -0.193912    | 0.0889204  |              78 | 0.966043 |
|                                                                                     | birthweight                                                 |  0.107607    | 0.348376   |              78 | 0.978627 |
|                                                                                     | accelerated_villous_maturation                              | -0.109359    | 0.340538   |              78 | 0.978627 |
|                                                                                     | increased_perivillous_fibrin_deposition                     | -0.0972885   | 0.396789   |              78 | 0.978627 |
|                                                                                     | increased_syncytial_knots                                   | -0.0878649   | 0.444299   |              78 | 0.980905 |
|                                                                                     | apgar_1                                                     | -0.0749432   | 0.514328   |              78 | 0.999923 |
|                                                                                     | placental_infarction                                        | -0.0379696   | 0.741367   |              78 | 0.999923 |
|                                                                                     | segmental_avascular_villi_small/intermediate/large          |  0.0480948   | 0.675841   |              78 | 0.999923 |
|                                                                                     | maternal_inflammatory_response_stage/grade                  | -0.0162889   | 0.887438   |              78 | 0.999923 |
|                                                                                     | villitis_of_unknown_etiology,_high/low_grade,_focal/diffuse | -0.0504459   | 0.660942   |              78 | 0.999923 |
|                                                                                     | chorangiosis                                                | -0.0684623   | 0.551456   |              78 | 0.999923 |
|                                                                                     | decidual_arteriopathy_membrane_role/basal_plate/both        | -0.00540492  | 0.962541   |              78 | 0.999998 |
|                                                                                     | delayed_villous_maturation                                  | -0.0103656   | 0.928231   |              78 | 0.999998 |
|                                                                                     | gest_age_del                                                | -0.00129155  | 0.991046   |              78 | 1        |
|                                                                                     | nicu_days                                                   | -0.00135977  | 0.990573   |              78 | 1        |
