| independent_var                         | dependent_var   |        rho |   p_value |   sample_size_N |      FDR |
|:----------------------------------------|:----------------|-----------:|----------:|----------------:|---------:|
| accelerated_villous_maturation          | gravida         | -0.0974986 |  0.466552 |              58 | 0.727565 |
|                                         | parity          | -0.0902016 |  0.500708 |              58 | 0.727565 |
|                                         | diabetes        |  0.197709  |  0.136841 |              58 | 0.727565 |
|                                         | chtn            |  0.187114  |  0.15959  |              58 | 0.727565 |
| chorangiosis                            | gravida         | -0.0995993 |  0.456958 |              58 | 0.727565 |
|                                         | diabetes        | -0.151986  |  0.254735 |              58 | 0.727565 |
|                                         | chtn            |  0.0559017 |  0.67683  |              58 | 0.823967 |
|                                         | parity          |  0.0316702 |  0.813432 |              58 | 0.876003 |
| delayed_villous_maturation              | diabetes        | -0.105534  |  0.430446 |              58 | 0.727565 |
|                                         | chtn            | -0.0862582 |  0.519689 |              58 | 0.727565 |
|                                         | parity          |  0.067438  |  0.614974 |              58 | 0.819966 |
|                                         | gravida         |  0.0235432 |  0.860749 |              58 | 0.887436 |
| distal_villous_hypoplasia_focal/diffuse | gravida         |  0.0911227 |  0.496327 |              58 | 0.727565 |
|                                         | parity          | -0.124569  |  0.351504 |              58 | 0.727565 |
|                                         | chtn            |  0.0559017 |  0.67683  |              58 | 0.823967 |
|                                         | diabetes        |  0.0189982 |  0.887436 |              58 | 0.887436 |
| increased_perivillous_fibrin_deposition | gravida         | -0.114773  |  0.390948 |              58 | 0.727565 |
|                                         | diabetes        | -0.105534  |  0.430446 |              58 | 0.727565 |
|                                         | chtn            | -0.0862582 |  0.519689 |              58 | 0.727565 |
|                                         | parity          |  0.0439813 |  0.743049 |              58 | 0.849841 |
| increased_syncytial_knots               | gravida         | -0.0913091 |  0.495443 |              58 | 0.727565 |
|                                         | parity          | -0.120899  |  0.365986 |              58 | 0.727565 |
|                                         | diabetes        |  0.141561  |  0.289154 |              58 | 0.727565 |
|                                         | chtn            |  0.126773  |  0.342981 |              58 | 0.727565 |
| placental_infarction                    | parity          |  0.114351  |  0.392703 |              58 | 0.727565 |
|                                         | diabetes        | -0.105534  |  0.430446 |              58 | 0.727565 |
|                                         | chtn            |  0.163891  |  0.218954 |              58 | 0.727565 |
|                                         | gravida         |  0.0412007 |  0.758786 |              58 | 0.849841 |
