,week,feature,test_statistic,p_value,p_value_adjusted,is_differentially_distributed
1,11.0,activities_summary_caloriesout,0.24829751661705338,2.0626980583099333e-06,0.00030734201068818005,True
28,12.0,sleep_summary_stages_deep,0.21848143512724238,4.120169586747968e-05,0.002046350894751491,True
95,9.0,activities_summary_caloriesout,0.3682200152788388,3.815432473886278e-05,0.002046350894751491,True
114,10.0,activities_summary_caloriesout,0.2815407829658815,6.970548771943367e-05,0.0025965294175489045,True
39,13.0,activities_summary_caloriesout,0.1287444526627219,0.0001727211702491531,0.005147090873424762,True
22,12.0,activities_summary_lightlyactiveminutes,0.14983558640847644,0.00045447492205938215,0.011286127231141325,True
68,7.0,sleep_summary_stages_rem,0.6304985337243402,0.0012438821762615461,0.0231673055328713,True
77,8.0,activities_summary_caloriesout,0.4152097902097902,0.0012245927661228338,0.0231673055328713,True
41,13.0,activities_summary_lightlyactiveminutes,0.11242603550295859,0.0015826055129587275,0.02471257550363479,True
130,10.0,activities_summary_veryactiveminutes,0.23405147120462738,0.0016585621143379054,0.02471257550363479,True
9,11.0,sleep_summary_stages_deep,0.21091429968906125,0.0036073152291832304,0.044790830762358444,True
62,7.0,heart_rate_resting_heart_rate,0.5570175438596491,0.003513820576375611,0.044790830762358444,True
