| independent_var                                                                     | dependent_var                           |         rho |     p_value |   sample_size_N |      FDR |
|:------------------------------------------------------------------------------------|:----------------------------------------|------------:|------------:|----------------:|---------:|
| Early Second Trimester_activities_-_goals_-_activeminutes                           | gest_age_del                            | -0.203942   | 0.239947    |              35 | 0.99086  |
|                                                                                     | birthweight                             | -0.186816   | 0.282565    |              35 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.195966   | 0.259224    |              35 | 0.99086  |
|                                                                                     | apgar_5                                 | -0.100608   | 0.565255    |              35 | 0.99086  |
|                                                                                     | nicu_days                               |  0.0294118  | 0.866804    |              35 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.0294118  | 0.866804    |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.04222    | 0.8097      |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          |  0.131832   | 0.450304    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               |  0.123876   | 0.478335    |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              |  0.0294118  | 0.866804    |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition |  0.04222    | 0.8097      |              35 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.04222    | 0.8097      |              35 | 0.99086  |
| Early Second Trimester_activities_-_goals_-_caloriesout                             | gest_age_del                            | -0.230791   | 0.182243    |              35 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.200477   | 0.248199    |              35 | 0.99086  |
|                                                                                     | apgar_5                                 | -0.19124    | 0.271114    |              35 | 0.99086  |
|                                                                                     | nicu_days                               | -0.203828   | 0.240216    |              35 | 0.99086  |
|                                                                                     | placental_infarction                    | -0.0849282  | 0.627625    |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse | -0.0975303  | 0.577272    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          | -0.187408   | 0.281014    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               | -0.137118   | 0.432183    |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              | -0.101914   | 0.560194    |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition | -0.182869   | 0.293039    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            | -0.146295   | 0.4017      |              35 | 0.99086  |
|                                                                                     | birthweight                             |  0.02438    | 0.889437    |              35 | 0.994534 |
| Early Second Trimester_activities_-_goals_-_distance                                | apgar_1                                 | -0.409516   | 0.0145678   |              35 | 0.900503 |
|                                                                                     | gest_age_del                            | -0.0728064  | 0.677675    |              35 | 0.99086  |
|                                                                                     | birthweight                             | -0.271755   | 0.114285    |              35 | 0.99086  |
|                                                                                     | apgar_5                                 | -0.210244   | 0.225414    |              35 | 0.99086  |
|                                                                                     | nicu_days                               |  0.0614627  | 0.72578     |              35 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.0614627  | 0.72578     |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.0882285  | 0.614265    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          |  0.275493   | 0.109195    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               |  0.258867   | 0.133203    |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              |  0.0614627  | 0.72578     |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition |  0.0882285  | 0.614265    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.0882285  | 0.614265    |              35 | 0.99086  |
| Early Second Trimester_activities_-_goals_-_steps                                   | placental_infarction                    | -0.413737   | 0.013487    |              35 | 0.870972 |
|                                                                                     | gest_age_del                            |  0.289021   | 0.0921955   |              35 | 0.99086  |
|                                                                                     | birthweight                             |  0.167447   | 0.33632     |              35 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.201492   | 0.245764    |              35 | 0.99086  |
|                                                                                     | nicu_days                               |  0.0517172  | 0.767957    |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.074239   | 0.671683    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          | -0.0668686  | 0.702713    |              35 | 0.99086  |
|                                                                                     | increased_syncytial_knots               | -0.086221   | 0.622377    |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              |  0.0517172  | 0.767957    |              35 | 0.99086  |
|                                                                                     | increased_perivillous_fibrin_deposition |  0.074239   | 0.671683    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.352635   | 0.0377347   |              35 | 0.99086  |
|                                                                                     | apgar_5                                 |  0.00138999 | 0.993677    |              35 | 1        |
| Early Second Trimester_activities_-_summary_-_activitycalories                      | birthweight                             |  0.0501471  | 0.774817    |              35 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.0925698  | 0.596875    |              35 | 0.99086  |
|                                                                                     | apgar_5                                 |  0.0325283  | 0.852837    |              35 | 0.99086  |
|                                                                                     | placental_infarction                    |  0.0849045  | 0.627721    |              35 | 0.99086  |
|                                                                                     | distal_villous_hypoplasia_focal/diffuse |  0.23157    | 0.180731    |              35 | 0.99086  |
|                                                                                     | accelerated_villous_maturation          | -0.087823   | 0.6159      |              35 | 0.99086  |
|                                                                                     | delayed_villous_maturation              | -0.0339618  | 0.846427    |              35 | 0.99086  |
|                                                                                     | chorangiosis                            |  0.0365636  | 0.834818    |              35 | 0.99086  |
|                                                                                     | nicu_days                               |  0.0169809  | 0.92287     |              35 | 0.994534 |
|                                                                                     | increased_perivillous_fibrin_deposition |  0.0243757  | 0.889456    |              35 | 0.994534 |
|                                                                                     | gest_age_del                            |  0.00364452 | 0.983423    |              35 | 1        |
|                                                                                     | increased_syncytial_knots               |  0.00595999 | 0.972894    |              35 | 1        |
| Early Second Trimester_activities_-_summary_-_caloriesbmr                           | gest_age_del                            | -0.22596    | 0.191823    |              35 | 0.99086  |
|                                                                                     | apgar_1                                 | -0.0893372  | 0.609803    |              35 | 0.99086  |
