Timeframe,Feature,Total_Missing_Patients
First Trimester,activities_summary_activitycalories,9
First Trimester,activities_summary_caloriesout,9
First Trimester,activities_summary_fairlyactiveminutes,9
First Trimester,activities_summary_lightlyactiveminutes,9
First Trimester,activities_summary_sedentaryminutes,9
First Trimester,heart_rate_resting_heart_rate,12
First Trimester,heart_rate_zone:_fat_burn_minutes,8
First Trimester,heart_rate_zone:_cardio_minutes,8
First Trimester,heart_rate_zone:_peak_minutes,8
First Trimester,sleep_summary_stages_deep,36
First Trimester,sleep_summary_stages_light,36
First Trimester,sleep_summary_stages_rem,36
First Trimester,sleep_summary_stages_wake,35
First Trimester,sleep_summary_total_sleep_records,30
First Trimester,sleep_summary_total_time_in_bed,30
First Trimester,activities_summary_steps,9
First Trimester,activities_summary_totaldistances,9
First Trimester,activities_summary_veryactiveminutes,9
First Trimester,sleep_summary_total_minutes_asleep,30
Early Second Trimester,activities_summary_activitycalories,2
Early Second Trimester,activities_summary_caloriesout,2
Early Second Trimester,activities_summary_fairlyactiveminutes,2
Early Second Trimester,activities_summary_lightlyactiveminutes,2
Early Second Trimester,activities_summary_sedentaryminutes,2
Early Second Trimester,heart_rate_resting_heart_rate,7
Early Second Trimester,heart_rate_zone:_fat_burn_minutes,5
Early Second Trimester,heart_rate_zone:_cardio_minutes,5
Early Second Trimester,heart_rate_zone:_peak_minutes,5
Early Second Trimester,sleep_summary_stages_deep,27
Early Second Trimester,sleep_summary_stages_light,27
Early Second Trimester,sleep_summary_stages_rem,27
Early Second Trimester,sleep_summary_stages_wake,26
Early Second Trimester,sleep_summary_total_sleep_records,25
Early Second Trimester,sleep_summary_total_time_in_bed,25
Early Second Trimester,activities_summary_steps,2
Early Second Trimester,activities_summary_totaldistances,2
Early Second Trimester,activities_summary_veryactiveminutes,2
Early Second Trimester,sleep_summary_total_minutes_asleep,25
Late Second and Early Third Trimester,activities_summary_activitycalories,2
Late Second and Early Third Trimester,activities_summary_caloriesout,2
Late Second and Early Third Trimester,activities_summary_fairlyactiveminutes,2
Late Second and Early Third Trimester,activities_summary_lightlyactiveminutes,2
Late Second and Early Third Trimester,activities_summary_sedentaryminutes,2
Late Second and Early Third Trimester,heart_rate_resting_heart_rate,5
Late Second and Early Third Trimester,heart_rate_zone:_fat_burn_minutes,4
Late Second and Early Third Trimester,heart_rate_zone:_cardio_minutes,4
Late Second and Early Third Trimester,heart_rate_zone:_peak_minutes,4
Late Second and Early Third Trimester,sleep_summary_stages_deep,22
Late Second and Early Third Trimester,sleep_summary_stages_light,22
Late Second and Early Third Trimester,sleep_summary_stages_rem,22
Late Second and Early Third Trimester,sleep_summary_stages_wake,21
Late Second and Early Third Trimester,sleep_summary_total_sleep_records,20
Late Second and Early Third Trimester,sleep_summary_total_time_in_bed,20
Late Second and Early Third Trimester,activities_summary_steps,2
Late Second and Early Third Trimester,activities_summary_totaldistances,2
Late Second and Early Third Trimester,activities_summary_veryactiveminutes,2
Late Second and Early Third Trimester,sleep_summary_total_minutes_asleep,20
Mid Third Trimester,activities_summary_activitycalories,1
Mid Third Trimester,activities_summary_caloriesout,1
Mid Third Trimester,activities_summary_fairlyactiveminutes,1
Mid Third Trimester,activities_summary_lightlyactiveminutes,1
Mid Third Trimester,activities_summary_sedentaryminutes,1
Mid Third Trimester,heart_rate_resting_heart_rate,1
Mid Third Trimester,heart_rate_zone:_fat_burn_minutes,1
Mid Third Trimester,heart_rate_zone:_cardio_minutes,1
Mid Third Trimester,heart_rate_zone:_peak_minutes,1
Mid Third Trimester,sleep_summary_stages_deep,8
Mid Third Trimester,sleep_summary_stages_light,8
Mid Third Trimester,sleep_summary_stages_rem,8
Mid Third Trimester,sleep_summary_stages_wake,8
Mid Third Trimester,sleep_summary_total_sleep_records,8
Mid Third Trimester,sleep_summary_total_time_in_bed,8
Mid Third Trimester,activities_summary_steps,1
Mid Third Trimester,activities_summary_totaldistances,1
Mid Third Trimester,activities_summary_veryactiveminutes,1
Mid Third Trimester,sleep_summary_total_minutes_asleep,8
Late Third Trimester,activities_summary_activitycalories,1
Late Third Trimester,activities_summary_caloriesout,1
Late Third Trimester,activities_summary_fairlyactiveminutes,1
Late Third Trimester,activities_summary_lightlyactiveminutes,1
Late Third Trimester,activities_summary_sedentaryminutes,1
Late Third Trimester,heart_rate_resting_heart_rate,4
Late Third Trimester,heart_rate_zone:_fat_burn_minutes,4
Late Third Trimester,heart_rate_zone:_cardio_minutes,4
Late Third Trimester,heart_rate_zone:_peak_minutes,4
Late Third Trimester,sleep_summary_stages_deep,14
Late Third Trimester,sleep_summary_stages_light,14
Late Third Trimester,sleep_summary_stages_rem,14
Late Third Trimester,sleep_summary_stages_wake,10
Late Third Trimester,sleep_summary_total_sleep_records,5
Late Third Trimester,sleep_summary_total_time_in_bed,5
Late Third Trimester,activities_summary_steps,2
Late Third Trimester,activities_summary_totaldistances,1
Late Third Trimester,activities_summary_veryactiveminutes,1
Late Third Trimester,sleep_summary_total_minutes_asleep,5
