,analyte_ID,primary_complication_type,percent_in_primary_complication,percent_in_other_complications,enrichment_ratio,n_patients_primary_complications
12,p515_POS,FGR,0.3,"[0.07142857142857142, 0.0]","[inf, 4.2]",6
9,n234_NEG,FGR,0.35,"[0.16666666666666666, 0.0]","[inf, 2.1]",7
1,p3858_POS,FGR,0.3,"[0.047619047619047616, 0.13333333333333333]","[6.3, 2.25]",6
5,p3532_POS,FGR,0.3,"[0.14285714285714285, 0.06666666666666667]","[4.5, 2.1]",6
4,4-Nitrophenyl beta-D-xyloside_POS,FGR,0.3,"[0.19047619047619047, 0.06666666666666667]","[4.5, 1.575]",6
2,4-Thialysine_POS,FGR,0.3,"[0.09523809523809523, 0.2]","[3.15, 1.4999999999999998]",6
6,Tetramethylene sulfoxide_POS,FGR,0.6,"[0.2857142857142857, 0.2]","[2.9999999999999996, 2.1]",12
8,p2333_POS,FGR,0.3,"[0.11904761904761904, 0.13333333333333333]","[2.52, 2.25]",6
10,p5097_POS,FGR,0.3,"[0.11904761904761904, 0.2]","[2.52, 1.4999999999999998]",6
11,3-(dimethylamino)-1-(2-pyridyl)prop-2-en-1-one_POS,sPTB,0.3333333333333333,"[0.2, 0.14285714285714285]","[2.3333333333333335, 1.6666666666666665]",5
0,p4375_POS,sPTB,0.3333333333333333,"[0.15, 0.16666666666666666]","[2.2222222222222223, 2.0]",5
7,p4868_POS,sPTB,0.3333333333333333,"[0.15, 0.23809523809523808]","[2.2222222222222223, 1.4]",5
3,1-(2-Furylmethyl)-5-oxopyrrolidine-3-carboxylic acid_NEG,FGR,0.4,"[0.19047619047619047, 0.26666666666666666]","[2.1, 1.5]",8
