,analyte_ID,n_patients_affected,percent_complications_affected,mean_outlier_timepoints_per_patient,complication_types_represented
8,p5015_POS,30,38.961038961038966,3.2333333333333334,"['HDP', 'FGR', 'SPTB']"
703,p3870_POS,30,38.961038961038966,2.6333333333333333,"['HDP', 'FGR', 'SPTB']"
721,p3534_POS,29,37.66233766233766,2.6206896551724137,"['HDP', 'FGR', 'SPTB']"
547,p3869_POS,29,37.66233766233766,2.586206896551724,"['HDP', 'FGR', 'SPTB']"
622,Tetramethylene sulfoxide_POS,27,35.064935064935064,2.6666666666666665,"['HDP', 'FGR', 'SPTB']"
978,p2059_POS,24,31.16883116883117,2.4583333333333335,"['HDP', 'SPTB', 'FGR']"
905,p2618_POS,24,31.16883116883117,2.3333333333333335,"['SPTB', 'HDP', 'FGR']"
926,p3584_POS,22,28.57142857142857,2.772727272727273,"['HDP', 'FGR', 'SPTB']"
737,p2098_POS,22,28.57142857142857,2.4545454545454546,"['HDP', 'FGR', 'SPTB']"
190,p4850_POS,22,28.57142857142857,2.5,"['HDP', 'FGR', 'SPTB']"
692,p2957_POS,21,27.27272727272727,2.6666666666666665,"['HDP', 'FGR', 'SPTB']"
713,p2958_POS,21,27.27272727272727,2.7142857142857144,"['HDP', 'FGR', 'SPTB']"
172,p2292_POS,21,27.27272727272727,3.238095238095238,"['HDP', 'FGR', 'SPTB']"
599,p3162_POS,20,25.97402597402597,2.5,"['FGR', 'HDP', 'SPTB']"
508,1-(2-Furylmethyl)-5-oxopyrrolidine-3-carboxylic acid_NEG,20,25.97402597402597,2.3,"['HDP', 'FGR', 'SPTB']"
1032,p1623_POS,20,25.97402597402597,2.3,"['FGR', 'HDP', 'SPTB']"
398,p1624_POS,19,24.675324675324674,2.210526315789474,"['FGR', 'SPTB', 'HDP']"
794,p4868_POS,18,23.376623376623375,2.3333333333333335,"['HDP', 'SPTB', 'FGR']"
981,Butyric acid_POS,18,23.376623376623375,2.4444444444444446,"['HDP', 'SPTB', 'FGR']"
546,p3553_POS,17,22.07792207792208,2.764705882352941,"['HDP', 'FGR', 'SPTB']"
579,L-Histidine_POS,16,20.77922077922078,2.3125,"['HDP', 'FGR', 'SPTB']"
126,p3546_POS,16,20.77922077922078,2.5625,"['FGR', 'HDP', 'SPTB']"
1080,p3820_POS,15,19.480519480519483,2.6,"['HDP', 'FGR', 'SPTB']"
48,p4375_POS,15,19.480519480519483,2.1333333333333333,"['SPTB', 'HDP', 'FGR']"
522,p4716_POS,15,19.480519480519483,2.7333333333333334,"['HDP', 'SPTB', 'FGR']"
530,4-Nitrophenyl beta-D-xyloside_POS,15,19.480519480519483,2.6666666666666665,"['HDP', 'FGR', 'SPTB']"
970,3-(dimethylamino)-1-(2-pyridyl)prop-2-en-1-one_POS,15,19.480519480519483,3.2,"['FGR', 'HDP', 'SPTB']"
674,p3294_POS,15,19.480519480519483,2.7333333333333334,"['HDP', 'SPTB', 'FGR']"
495,n3831_NEG,15,19.480519480519483,2.6,"['HDP', 'FGR', 'SPTB']"
395,p5527_POS,15,19.480519480519483,2.3333333333333335,"['HDP', 'SPTB', 'FGR']"
863,p4647_POS,14,18.181818181818183,2.2857142857142856,"['FGR', 'HDP', 'SPTB']"
445,p927_POS,14,18.181818181818183,2.0714285714285716,"['FGR', 'HDP', 'SPTB']"
416,p1754_POS,14,18.181818181818183,2.2857142857142856,"['HDP', 'FGR', 'SPTB']"
92,p1452_POS,14,18.181818181818183,2.5,"['SPTB', 'HDP', 'FGR']"
877,p5097_POS,14,18.181818181818183,2.9285714285714284,"['HDP', 'FGR', 'SPTB']"
155,Norlidocaine_POS,14,18.181818181818183,2.642857142857143,"['FGR', 'HDP', 'SPTB']"
836,n234_NEG,14,18.181818181818183,2.357142857142857,"['FGR', 'HDP']"
1044,p3017_POS,14,18.181818181818183,2.7857142857142856,"['HDP', 'SPTB', 'FGR']"
688,p4133_POS,14,18.181818181818183,2.857142857142857,"['FGR', 'HDP', 'SPTB']"
375,Doxylamine_POS,14,18.181818181818183,2.642857142857143,"['SPTB', 'HDP', 'FGR']"
917,Dibenzylamine_POS,13,16.883116883116884,2.3846153846153846,"['HDP', 'FGR', 'SPTB']"
252,p4135_POS,13,16.883116883116884,2.230769230769231,"['FGR', 'SPTB', 'HDP']"
592,p3532_POS,13,16.883116883116884,2.230769230769231,"['HDP', 'FGR', 'SPTB']"
399,"3-(2-methylpropyl)-octahydropyrrolo[1,2-a]pyrazine-1,4-dione_POS",13,16.883116883116884,2.4615384615384617,"['HDP', 'FGR', 'SPTB']"
806,p1734_POS,13,16.883116883116884,2.6923076923076925,"['HDP', 'FGR', 'SPTB']"
444,4-Thialysine_POS,13,16.883116883116884,2.3076923076923075,"['FGR', 'SPTB', 'HDP']"
847,Glutaminylglutamine_POS,13,16.883116883116884,2.3076923076923075,"['HDP', 'SPTB', 'FGR']"
288,p3468_POS,13,16.883116883116884,2.0,"['FGR', 'HDP', 'SPTB']"
38,p3469_POS,13,16.883116883116884,2.0,"['FGR', 'HDP', 'SPTB']"
833,p4134_POS,13,16.883116883116884,2.6153846153846154,"['FGR', 'HDP', 'SPTB']"
