,most_persistent,most_prevalent,early_warning,complication_specific,most_extreme,super_candidate
p4375_POS,0,1,1,1,0,TRUE
p3858_POS,0,0,0,1,0,FALSE
4-Thialysine_POS,0,1,1,1,0,TRUE
1-(2-Furylmethyl)-5-oxopyrrolidine-3-carboxylic acid_NEG,0,1,1,1,0,TRUE
4-Nitrophenyl beta-D-xyloside_POS,1,1,1,1,0,TRUE
p3532_POS,0,1,1,1,1,TRUE
Tetramethylene sulfoxide_POS,1,1,1,1,0,TRUE
p4868_POS,0,1,1,1,0,TRUE
p2333_POS,0,0,1,1,0,FALSE
n234_NEG,0,1,1,1,0,TRUE
p5097_POS,1,1,1,1,0,TRUE
3-(dimethylamino)-1-(2-pyridyl)prop-2-en-1-one_POS,1,1,1,1,0,TRUE
p515_POS,0,0,0,1,0,FALSE
