,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
D3-Creatinine-ISTD_POS,D3-Creatinine-ISTD_POS,plasma,MTBL,A,24.456799479695405,0.0912705571940009
p3823_POS,p3823_POS,plasma,MTBL,A,14.466372646782446,0.4181496984935418
p1690_POS,p1690_POS,plasma,MTBL,A,21.606260219604856,0.18853056554906722
p5795_POS,p5795_POS,plasma,MTBL,A,14.010189013553099,0.053234758233725366
p2942_POS,p2942_POS,plasma,MTBL,A,14.763821349356617,0.05865887610176834
"N-(1,3-benzodioxol-5-yl)-2-methyl-5-(piperidinosulfonyl)-3-furamide_POS","N-(1,3-benzodioxol-5-yl)-2-methyl-5-(piperidinosulfonyl)-3-furamide_POS",plasma,MTBL,A,13.662753764827857,0.14824234334260922
"N1-(alpha-D-ribosyl)-5,6-dimethyl-benzimidazole_POS","N1-(alpha-D-ribosyl)-5,6-dimethyl-benzimidazole_POS",plasma,MTBL,A,16.76898045601803,0.7531288800524987
p3174_POS,p3174_POS,plasma,MTBL,A,15.482394662763893,0.14693951826409624
Methoxsalen_POS,Methoxsalen_POS,plasma,MTBL,A,14.95793837503634,0.17856414718831637
n3688_NEG,n3688_NEG,plasma,MTBL,A,11.977965687248133,0.12250581364500768
p555_POS,p555_POS,plasma,MTBL,A,23.02288500771381,0.19144514872579954
"[6,7-dimethoxy-1-methyl-3,4-dihydro-2(1H)-isoquinolinyl](5-methyl-3-isoxazolyl)methanone_POS","[6,7-dimethoxy-1-methyl-3,4-dihydro-2(1H)-isoquinolinyl](5-methyl-3-isoxazolyl)methanone_POS",plasma,MTBL,A,13.60179997232331,0.08294737802407326
p5019_POS,p5019_POS,plasma,MTBL,A,15.721756663763843,0.14713420358046392
p3144_POS,p3144_POS,plasma,MTBL,A,18.611017418952645,0.24486649385599435
n2600_NEG,n2600_NEG,plasma,MTBL,A,16.453266345370817,0.39835015157404463
Caprolactam_POS,Caprolactam_POS,plasma,MTBL,A,19.13353696446559,0.589955177485038
p5568_POS,p5568_POS,plasma,MTBL,A,11.340209023917083,0.040580142307478084
p1608_POS,p1608_POS,plasma,MTBL,A,20.478178976723257,0.214519950446185
p5015_POS,p5015_POS,plasma,MTBL,A,11.962003461298696,0.12710594028486888
p281_POS,p281_POS,plasma,MTBL,A,24.202550417684588,0.11493545753596734
Glucuronic acid sulfate_NEG,Glucuronic acid sulfate_NEG,plasma,MTBL,A,9.865687607206244,0.03250696197230418
p98_POS,p98_POS,plasma,MTBL,A,26.314548151570747,0.17415520383987548
p851_POS,p851_POS,plasma,MTBL,A,18.89138383920306,0.3751976574151694
Indoline_POS,Indoline_POS,plasma,MTBL,A,21.329723071650662,0.2110905263092775
p3519_POS,p3519_POS,plasma,MTBL,A,15.664972582487497,0.18822430475055718
Vaccenyl carnitine_POS,Vaccenyl carnitine_POS,plasma,MTBL,A,13.919800701834808,0.27215192582162473
