,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
D3-Creatinine-ISTD_POS,D3-Creatinine-ISTD_POS,plasma,MTBL,C,24.49178574714773,0.09064440862321987
p3823_POS,p3823_POS,plasma,MTBL,C,14.52148042934965,0.40582970822423015
p1690_POS,p1690_POS,plasma,MTBL,C,21.595775158276755,0.1458967739169843
p5795_POS,p5795_POS,plasma,MTBL,C,14.007261312442518,0.0698386826394799
p2942_POS,p2942_POS,plasma,MTBL,C,14.75518466092164,0.062448798111029546
"N-(1,3-benzodioxol-5-yl)-2-methyl-5-(piperidinosulfonyl)-3-furamide_POS","N-(1,3-benzodioxol-5-yl)-2-methyl-5-(piperidinosulfonyl)-3-furamide_POS",plasma,MTBL,C,13.610674841655095,0.16608552823802114
"N1-(alpha-D-ribosyl)-5,6-dimethyl-benzimidazole_POS","N1-(alpha-D-ribosyl)-5,6-dimethyl-benzimidazole_POS",plasma,MTBL,C,16.841947300124758,0.5882443459917361
p3174_POS,p3174_POS,plasma,MTBL,C,15.512906023894702,0.1555111600860073
Methoxsalen_POS,Methoxsalen_POS,plasma,MTBL,C,14.88841409925453,0.17951406400038117
n3688_NEG,n3688_NEG,plasma,MTBL,C,11.973634117343805,0.11450542534396924
p555_POS,p555_POS,plasma,MTBL,C,23.05837862502628,0.17783369889578537
"[6,7-dimethoxy-1-methyl-3,4-dihydro-2(1H)-isoquinolinyl](5-methyl-3-isoxazolyl)methanone_POS","[6,7-dimethoxy-1-methyl-3,4-dihydro-2(1H)-isoquinolinyl](5-methyl-3-isoxazolyl)methanone_POS",plasma,MTBL,C,13.592644581618178,0.09851281777794973
p5019_POS,p5019_POS,plasma,MTBL,C,15.736850107800722,0.14878309767486186
p3144_POS,p3144_POS,plasma,MTBL,C,18.609604094798495,0.26093122528392954
n2600_NEG,n2600_NEG,plasma,MTBL,C,16.28732608272818,0.3779055491210439
Caprolactam_POS,Caprolactam_POS,plasma,MTBL,C,19.017634785791785,0.5315576412358958
p5568_POS,p5568_POS,plasma,MTBL,C,11.33069433108348,0.03614499393152393
p1608_POS,p1608_POS,plasma,MTBL,C,20.452682366449313,0.21425020060124922
p5015_POS,p5015_POS,plasma,MTBL,C,11.96561464180882,0.1458865349032603
p281_POS,p281_POS,plasma,MTBL,C,24.24270864443524,0.08775801573697706
Glucuronic acid sulfate_NEG,Glucuronic acid sulfate_NEG,plasma,MTBL,C,9.857778496037705,0.020104011239853392
p98_POS,p98_POS,plasma,MTBL,C,26.307976695741132,0.17200320536186098
p851_POS,p851_POS,plasma,MTBL,C,18.30168440613077,0.47431984276888883
Indoline_POS,Indoline_POS,plasma,MTBL,C,21.25393481046668,0.19415171249863405
p3519_POS,p3519_POS,plasma,MTBL,C,15.697626283415945,0.1569153010617086
Vaccenyl carnitine_POS,Vaccenyl carnitine_POS,plasma,MTBL,C,13.850240030910484,0.1944475725672632
Imidazoleacetic acid_POS,Imidazoleacetic acid_POS,plasma,MTBL,C,20.37718838293773,0.25689002193133703
p4974_POS,p4974_POS,plasma,MTBL,C,15.452874696326608,0.08258535087747632
p3473_POS,p3473_POS,plasma,MTBL,C,18.76272151882829,0.3692505090336269
p5162_POS,p5162_POS,plasma,MTBL,C,18.172537378262017,0.15863266924010944
Gluconolactone_POS,Gluconolactone_POS,plasma,MTBL,C,17.98949868999181,0.233840810742592
p1485_POS,p1485_POS,plasma,MTBL,C,20.268452056747645,0.18772961304976477
p4351_POS,p4351_POS,plasma,MTBL,C,11.09892238054742,0.10403037649887992
