,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
D3-Creatinine-ISTD_POS,D3-Creatinine-ISTD_POS,plasma,MTBL,D,24.4790667838003,0.08810062900308324
p3823_POS,p3823_POS,plasma,MTBL,D,14.665962626468707,0.5454063557437347
p1690_POS,p1690_POS,plasma,MTBL,D,21.64892518497679,0.18501270244729717
p5795_POS,p5795_POS,plasma,MTBL,D,14.020877299729806,0.05444590341701616
p2942_POS,p2942_POS,plasma,MTBL,D,14.786338760397232,0.07109922633702048
"N-(1,3-benzodioxol-5-yl)-2-methyl-5-(piperidinosulfonyl)-3-furamide_POS","N-(1,3-benzodioxol-5-yl)-2-methyl-5-(piperidinosulfonyl)-3-furamide_POS",plasma,MTBL,D,13.708181499548331,0.19047812776255668
"N1-(alpha-D-ribosyl)-5,6-dimethyl-benzimidazole_POS","N1-(alpha-D-ribosyl)-5,6-dimethyl-benzimidazole_POS",plasma,MTBL,D,16.79660200960909,0.7979825797763294
p3174_POS,p3174_POS,plasma,MTBL,D,15.470748078390267,0.16866473287178252
Methoxsalen_POS,Methoxsalen_POS,plasma,MTBL,D,14.9025451577746,0.1790606397521044
n3688_NEG,n3688_NEG,plasma,MTBL,D,11.977602073344906,0.11143531255063355
p555_POS,p555_POS,plasma,MTBL,D,22.904602404711294,0.22028829004978512
"[6,7-dimethoxy-1-methyl-3,4-dihydro-2(1H)-isoquinolinyl](5-methyl-3-isoxazolyl)methanone_POS","[6,7-dimethoxy-1-methyl-3,4-dihydro-2(1H)-isoquinolinyl](5-methyl-3-isoxazolyl)methanone_POS",plasma,MTBL,D,13.605790133854796,0.13321809975342358
p5019_POS,p5019_POS,plasma,MTBL,D,15.681406736386965,0.14937711619197547
p3144_POS,p3144_POS,plasma,MTBL,D,18.395935493085084,0.42535603818964063
n2600_NEG,n2600_NEG,plasma,MTBL,D,16.45785784154646,0.44745251513017337
Caprolactam_POS,Caprolactam_POS,plasma,MTBL,D,19.369813457109274,0.605912201214112
p5568_POS,p5568_POS,plasma,MTBL,D,11.344121661489746,0.05455321425090354
p1608_POS,p1608_POS,plasma,MTBL,D,20.381819821984763,0.2190704769230365
p5015_POS,p5015_POS,plasma,MTBL,D,11.94281790132344,0.13260266717259395
p281_POS,p281_POS,plasma,MTBL,D,24.118602112516633,0.15727339775184923
Glucuronic acid sulfate_NEG,Glucuronic acid sulfate_NEG,plasma,MTBL,D,9.865449405893308,0.029120149403633278
p98_POS,p98_POS,plasma,MTBL,D,26.370671344615822,0.20317734343809768
p851_POS,p851_POS,plasma,MTBL,D,18.349713266257233,0.5350508671169365
Indoline_POS,Indoline_POS,plasma,MTBL,D,21.255994277767165,0.16914746437056571
p3519_POS,p3519_POS,plasma,MTBL,D,15.624517569780773,0.18665561591295177
Vaccenyl carnitine_POS,Vaccenyl carnitine_POS,plasma,MTBL,D,13.93506904451636,0.25377476598329185
Imidazoleacetic acid_POS,Imidazoleacetic acid_POS,plasma,MTBL,D,20.5055277523184,0.2523809424110386
p4974_POS,p4974_POS,plasma,MTBL,D,15.436578457362064,0.09037815042404418
p3473_POS,p3473_POS,plasma,MTBL,D,18.776868124149264,0.3941504150223363
p5162_POS,p5162_POS,plasma,MTBL,D,18.154211797541336,0.19269850749780026
Gluconolactone_POS,Gluconolactone_POS,plasma,MTBL,D,18.046433632861273,0.2970738255404779
p1485_POS,p1485_POS,plasma,MTBL,D,20.060842000130265,0.26838612299304465
p4351_POS,p4351_POS,plasma,MTBL,D,11.103926510867023,0.12428325458486089
p1605_POS,p1605_POS,plasma,MTBL,D,20.322869224788796,0.20110377618512487
n2589_NEG,n2589_NEG,plasma,MTBL,D,18.51230953147803,0.19935704317827785
p4096_POS,p4096_POS,plasma,MTBL,D,18.33812922476477,0.34684372577808453
p2057_POS,p2057_POS,plasma,MTBL,D,19.67075647855949,0.2541157578581643
Venlafaxine N-Oxide_POS,Venlafaxine N-Oxide_POS,plasma,MTBL,D,12.902822024501106,0.23204533513920111
p2825_POS,p2825_POS,plasma,MTBL,D,20.38839916007437,0.1843106113792672
p5080_POS,p5080_POS,plasma,MTBL,D,12.943047254007901,0.1568783049074609
p4193_POS,p4193_POS,plasma,MTBL,D,13.875594291795572,1.0464723987908222
Memnobotrin B_POS,Memnobotrin B_POS,plasma,MTBL,D,12.61132235474189,0.17694204813135794
p5561_POS,p5561_POS,plasma,MTBL,D,13.060547647372301,0.28140293424423124
n568_NEG,n568_NEG,plasma,MTBL,D,20.31589508454981,0.23256026856580547
p1828_POS,p1828_POS,plasma,MTBL,D,21.443334156806003,0.19272171812127148
N-Docosahexaenoyl GABA_POS,N-Docosahexaenoyl GABA_POS,plasma,MTBL,D,13.00183766452793,0.17481405860086152
p3967_POS,p3967_POS,plasma,MTBL,D,13.798106996356333,0.13661849827126193
p4275_POS,p4275_POS,plasma,MTBL,D,16.833453503289718,0.19900561974302455
p1167_POS,p1167_POS,plasma,MTBL,D,20.53356871056048,0.2503445901963417
p3082_POS,p3082_POS,plasma,MTBL,D,12.898143546919135,0.15773434697215283
p790_POS,p790_POS,plasma,MTBL,D,20.3751711207983,0.1674566657765073
p231_POS,p231_POS,plasma,MTBL,D,24.016795269163424,0.1872901529908919
n3923_NEG,n3923_NEG,plasma,MTBL,D,9.700032521363928,0.07839622189515083
p2723_POS,p2723_POS,plasma,MTBL,D,15.704123452236118,0.34178308113304734
p3243_POS,p3243_POS,plasma,MTBL,D,15.647448489149017,0.20695604936784484
n1345_NEG,n1345_NEG,plasma,MTBL,D,18.728797181336695,0.36771025532388
p2887_POS,p2887_POS,plasma,MTBL,D,18.333901689508025,0.14975127567459978
p5424_POS,p5424_POS,plasma,MTBL,D,10.756319065007485,0.12000260444157718
p4222_POS,p4222_POS,plasma,MTBL,D,17.722339497703935,0.08013638166082693
D3-Creatinine_POS,D3-Creatinine_POS,plasma,MTBL,D,24.45171367520824,0.12088496086631118
p207_POS,p207_POS,plasma,MTBL,D,25.578929799476562,0.12687181087570387
p959_POS,p959_POS,plasma,MTBL,D,20.59288705537356,0.23367283261195126
p5522_POS,p5522_POS,plasma,MTBL,D,12.896909884703204,0.2617671242928914
