,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
D3-Creatinine-ISTD_POS,D3-Creatinine-ISTD_POS,plasma,MTBL,E,24.397093223137315,0.09425552642588642
p3823_POS,p3823_POS,plasma,MTBL,E,14.805180322556904,0.3918191378614644
p1690_POS,p1690_POS,plasma,MTBL,E,21.60815621385411,0.17954631058126225
p5795_POS,p5795_POS,plasma,MTBL,E,14.04235035331622,0.03936033342848866
p2942_POS,p2942_POS,plasma,MTBL,E,14.781104923268511,0.05211034631074085
"N-(1,3-benzodioxol-5-yl)-2-methyl-5-(piperidinosulfonyl)-3-furamide_POS","N-(1,3-benzodioxol-5-yl)-2-methyl-5-(piperidinosulfonyl)-3-furamide_POS",plasma,MTBL,E,13.594232120657193,0.14020276643802454
"N1-(alpha-D-ribosyl)-5,6-dimethyl-benzimidazole_POS","N1-(alpha-D-ribosyl)-5,6-dimethyl-benzimidazole_POS",plasma,MTBL,E,17.377305225759052,0.2794654371115719
p3174_POS,p3174_POS,plasma,MTBL,E,15.480924688033324,0.1559486858716621
Methoxsalen_POS,Methoxsalen_POS,plasma,MTBL,E,15.06596929456183,0.2735305108809616
n3688_NEG,n3688_NEG,plasma,MTBL,E,11.839811817405575,0.23901095804354
p555_POS,p555_POS,plasma,MTBL,E,23.135594336675915,0.11259252768225636
"[6,7-dimethoxy-1-methyl-3,4-dihydro-2(1H)-isoquinolinyl](5-methyl-3-isoxazolyl)methanone_POS","[6,7-dimethoxy-1-methyl-3,4-dihydro-2(1H)-isoquinolinyl](5-methyl-3-isoxazolyl)methanone_POS",plasma,MTBL,E,13.514854885876664,0.12471879169103595
p5019_POS,p5019_POS,plasma,MTBL,E,15.709307758034154,0.15594868587166388
p3144_POS,p3144_POS,plasma,MTBL,E,18.344661962044295,0.3017973515388377
n2600_NEG,n2600_NEG,plasma,MTBL,E,16.69601995973092,0.35346773806592324
Caprolactam_POS,Caprolactam_POS,plasma,MTBL,E,19.599469297661468,0.6188737207160777
p5568_POS,p5568_POS,plasma,MTBL,E,11.39611860334648,0.08288535982743106
p1608_POS,p1608_POS,plasma,MTBL,E,20.6042077443462,0.16541348878572038
p5015_POS,p5015_POS,plasma,MTBL,E,13.14372393934032,0.4018036252050923
p281_POS,p281_POS,plasma,MTBL,E,24.16583592361025,0.10525492822806726
Glucuronic acid sulfate_NEG,Glucuronic acid sulfate_NEG,plasma,MTBL,E,9.843122250648364,0.07368394598546146
p98_POS,p98_POS,plasma,MTBL,E,26.335735748171732,0.19074934743168015
p851_POS,p851_POS,plasma,MTBL,E,18.258179930828895,0.3781491532413028
Indoline_POS,Indoline_POS,plasma,MTBL,E,21.350325244431012,0.16577092025274354
p3519_POS,p3519_POS,plasma,MTBL,E,15.310454140618258,0.3824415244170929
Vaccenyl carnitine_POS,Vaccenyl carnitine_POS,plasma,MTBL,E,14.459193026598696,0.34532326920439793
Imidazoleacetic acid_POS,Imidazoleacetic acid_POS,plasma,MTBL,E,20.37783470352415,0.2165830331476215
p4974_POS,p4974_POS,plasma,MTBL,E,15.756254319016398,0.32660558451259547
p3473_POS,p3473_POS,plasma,MTBL,E,18.503558283860485,0.3570619537478983
p5162_POS,p5162_POS,plasma,MTBL,E,18.22347511630536,0.19126010086122847
Gluconolactone_POS,Gluconolactone_POS,plasma,MTBL,E,17.923294926193947,0.3241585694391098
p1485_POS,p1485_POS,plasma,MTBL,E,20.27649357960895,0.31548383867836094
p4351_POS,p4351_POS,plasma,MTBL,E,11.083986713253992,0.11060890203807539
p1605_POS,p1605_POS,plasma,MTBL,E,20.44873704656472,0.10323316891750167
n2589_NEG,n2589_NEG,plasma,MTBL,E,18.646091673616983,0.2124415318788344
p4096_POS,p4096_POS,plasma,MTBL,E,18.22900164717467,0.5116467050886371
p2057_POS,p2057_POS,plasma,MTBL,E,19.811614793836153,0.1913994073285359
Venlafaxine N-Oxide_POS,Venlafaxine N-Oxide_POS,plasma,MTBL,E,13.07327543751563,0.25095447874020493
p2825_POS,p2825_POS,plasma,MTBL,E,20.4198702424186,0.23880206817473137
p5080_POS,p5080_POS,plasma,MTBL,E,12.816174809808023,0.1743507601378269
p4193_POS,p4193_POS,plasma,MTBL,E,14.103847479536864,0.49701282558584303
Memnobotrin B_POS,Memnobotrin B_POS,plasma,MTBL,E,12.696031693566354,0.20805052626578657
p5561_POS,p5561_POS,plasma,MTBL,E,13.044413923715132,0.3099976196733163
n568_NEG,n568_NEG,plasma,MTBL,E,20.288473968067446,0.13472056690784484
p1828_POS,p1828_POS,plasma,MTBL,E,21.39281545311087,0.19368320059415112
N-Docosahexaenoyl GABA_POS,N-Docosahexaenoyl GABA_POS,plasma,MTBL,E,12.938047304431311,0.20429407479120343
p3967_POS,p3967_POS,plasma,MTBL,E,13.7743807067059,0.21508519070139975
p4275_POS,p4275_POS,plasma,MTBL,E,16.671726510464325,0.21352382132193526
p1167_POS,p1167_POS,plasma,MTBL,E,20.48435711118905,0.24008483207026288
p3082_POS,p3082_POS,plasma,MTBL,E,12.894123557934568,0.12958445833461596
