,analyte_ID,primary_complication_type,percent_in_primary_complication,percent_in_other_complications,enrichment_ratio,n_patients_primary_complications
2,CASP7,FGR,0.3,"[0.21428571428571427, 0.0]","[inf, 1.4000000000000001]",6
11,PPIB,FGR,0.3,"[0.23809523809523808, 0.0]","[inf, 1.26]",6
1,BCR,FGR,0.3,"[0.2619047619047619, 0.0]","[inf, 1.1454545454545453]",6
0,AOC1,sPTB,0.4,"[0.05, 0.21428571428571427]","[8.0, 1.866666666666667]",6
8,NCK2,FGR,0.4,"[0.2857142857142857, 0.06666666666666667]","[6.0, 1.4000000000000001]",8
4,DAB2,FGR,0.35,"[0.2619047619047619, 0.06666666666666667]","[5.25, 1.3363636363636362]",7
10,NRGN,FGR,0.35,"[0.2857142857142857, 0.06666666666666667]","[5.25, 1.225]",7
5,EIF2AK2,HDP,0.30952380952380953,"[0.1, 0.06666666666666667]","[4.642857142857143, 3.0952380952380953]",13
15,VASH1,HDP,0.30952380952380953,"[0.25, 0.06666666666666667]","[4.642857142857143, 1.2380952380952381]",13
9,NDUFB7,FGR,0.3,"[0.19047619047619047, 0.06666666666666667]","[4.5, 1.575]",6
18,VPS53,FGR,0.3,"[0.2857142857142857, 0.06666666666666667]","[4.5, 1.05]",6
12,PPP1R12A,FGR,0.45,"[0.30952380952380953, 0.13333333333333333]","[3.375, 1.4538461538461538]",9
3,CMIP,FGR,0.4,"[0.30952380952380953, 0.13333333333333333]","[3.0, 1.2923076923076924]",8
6,KLK1,sPTB,0.4666666666666667,"[0.25, 0.16666666666666666]","[2.8000000000000003, 1.8666666666666667]",7
7,MESD,FGR,0.35,"[0.30952380952380953, 0.13333333333333333]","[2.625, 1.1307692307692307]",7
16,VASP,HDP,0.30952380952380953,"[0.2, 0.13333333333333333]","[2.3214285714285716, 1.5476190476190477]",13
13,TJAP1,HDP,0.30952380952380953,"[0.25, 0.13333333333333333]","[2.3214285714285716, 1.2380952380952381]",13
17,VPS4B,HDP,0.30952380952380953,"[0.25, 0.13333333333333333]","[2.3214285714285716, 1.2380952380952381]",13
14,TXNDC9,FGR,0.3,"[0.2857142857142857, 0.13333333333333333]","[2.25, 1.05]",6
19,YWHAQ,FGR,0.3,"[0.2857142857142857, 0.13333333333333333]","[2.25, 1.05]",6
