,analyte_ID,n_patients_elevated_at_earliest,percent_elevated_at_earliest,n_patient_elevated_at_first_two,percent_elevated_at_first_two,mean_MAD_score_at_earliest,mean_MAD_score_at_first_two
95,FOLR3,13,1.0,13,1.0,14.975734982827642,14.975734982827642
107,GSAP,10,1.0,10,1.0,7.424353895778017,7.424353895778017
144,MAPRE3,11,1.0,10,0.9090909090909091,5.239780028030271,5.4414994482398065
228,SULT1A1,11,1.0,10,0.9090909090909091,3.451745336584843,3.7969198702433276
9,ARF6,10,1.0,9,0.9,3.7214411016419717,4.134934557379968
19,BATF,10,1.0,9,0.9,4.68822536831829,5.209139298131433
87,F11R,10,1.0,9,0.9,4.215123925369431,4.297672686301076
108,GTPBP2,10,1.0,9,0.9,3.9476572258955662,4.386285806550629
159,NCLN,10,1.0,9,0.9,4.950433440956731,5.101951529490632
245,TRIAP1,10,1.0,9,0.9,4.172934719119215,4.636594132354684
39,CHMP1A,15,1.0,13,0.8666666666666667,3.4447155246252006,3.9746717591829235
78,EBAG9,15,1.0,13,0.8666666666666667,4.372192698161398,4.691961481960897
192,PPP1R2,15,1.0,13,0.8666666666666667,4.285326675558264,4.944607702567227
259,YARS1,15,1.0,13,0.8666666666666667,3.7754430959945213,4.081051308036207
43,CLPP,13,1.0,11,0.8461538461538461,3.748105188547826,4.429578859192886
56,CRYZL1,13,1.0,11,0.8461538461538461,3.805260387306998,4.151441105408253
102,GIGYF2,13,1.0,11,0.8461538461538461,4.286460510963051,4.62609241116492
143,MAP4K5,13,1.0,11,0.8461538461538461,3.546027781769733,3.85938927449276
154,MYDGF,13,1.0,11,0.8461538461538461,4.5517555020521545,4.745033567104124
161,NECTIN1,13,1.0,11,0.8461538461538461,3.761855433545251,4.445829148735297
4,AKT2,12,1.0,10,0.8333333333333334,4.23130904153837,4.634142554140289
46,CNP,12,1.0,10,0.8333333333333334,4.008293719499528,4.301741821921701
118,IFNGR2,18,1.0,15,0.8333333333333334,3.8006497757516797,4.5607797309020155
238,TMED8,17,1.0,14,0.8235294117647058,4.218539561466639,4.540824910757356
49,COMMD1,11,1.0,9,0.8181818181818182,3.5576324842979847,3.9640780719249893
50,COMT,11,1.0,9,0.8181818181818182,3.238545467797789,3.9582222384195203
62,DBNL,11,1.0,9,0.8181818181818182,3.169807282527764,3.874208900867268
75,DTD1,11,1.0,9,0.8181818181818182,3.4700953303193103,3.8580924082541324
115,HS1BP3,11,1.0,9,0.8181818181818182,3.6727043102311026,4.488860823615791
136,LRPAP1,11,1.0,9,0.8181818181818182,5.6544591434449005,6.911005619765991
141,MAP2K1,11,1.0,9,0.8181818181818182,4.2539884470712686,4.7031136259882915
185,PLEKHO1,11,1.0,9,0.8181818181818182,4.1670957577115555,4.271367237418496
225,STK11,11,1.0,9,0.8181818181818182,4.2573098750880956,4.447002357253709
2,ABL1,10,1.0,8,0.8,4.5006182506117876,5.035282883060413
18,BANK1,10,1.0,8,0.8,3.246680030152273,3.6314486610310452
27,CASP7,15,1.0,12,0.8,3.8816387649291926,4.430176359696884
66,DDHD2,10,1.0,8,0.8,3.339191852913957,4.173989816142446
127,IST1,15,1.0,12,0.8,3.9755838573748385,4.3183762148321465
149,MGMT,15,1.0,12,0.8,3.3920222758355836,3.9211482008525205
172,OPLAH,10,1.0,8,0.8,3.930385268154558,4.3924021633992485
187,PLXNA4,10,1.0,8,0.8,3.766048720654786,3.6973625820609355
