,analyte_ID,n_patients_affected,mean_outlier_timepoints_per_patient_affected,mean_proportion_timepoints,max_consecutive_timepoints
482,KDM3A,6,3.5,1.0,"['A', 'B', 'C', 'D', 'E']"
955,USP47,5,4.4,1.0,"['A', 'B', 'C', 'D']"
65,ATF2,8,3.75,1.0,"['A', 'B', 'C', 'D', 'E']"
15,ADGRV1,7,3.7142857142857144,1.0,"['A', 'B', 'C', 'D']"
59,ARMCX2,5,3.6,1.0,"['A', 'B']"
440,IGLON5,5,3.2,1.0,"['A', 'B', 'C']"
516,LRFN2,6,4.333333333333333,1.0,"['A', 'B', 'C', 'D', 'E']"
337,FOLR3,13,3.8461538461538463,1.0,"['A', 'B', 'C']"
633,PALM3,5,3.4,1.0,"['A', 'B', 'C']"
418,HNF1A,6,4.166666666666667,1.0,"['A', 'B', 'C', 'D']"
868,SUMF1,8,3.625,1.0,"['A', 'B', 'C']"
72,ATP6V1F,5,3.8,1.0,"['A', 'B', 'C', 'D', 'E']"
201,CRX,6,4.0,1.0,"['A', 'B', 'C', 'D', 'E']"
481,KCNC4,5,4.0,1.0,"['A', 'B', 'C', 'D']"
527,LYSMD3,9,4.222222222222222,0.9743589743589745,"['A', 'B', 'C', 'D', 'E']"
396,GSAP,10,3.7,0.9736842105263159,"['A', 'B']"
80,BATF,10,3.5,0.9722222222222222,"['A', 'B', 'C', 'D']"
659,PGR,9,3.4444444444444446,0.9687500000000001,"['A', 'B', 'C', 'D', 'E']"
52,ARHGAP30,8,3.75,0.967741935483871,"['A', 'B', 'C', 'D']"
361,GFOD2,9,3.2222222222222223,0.9666666666666667,"['A', 'B', 'C', 'D']"
683,PPIE,7,3.4285714285714284,0.9599999999999999,"['A', 'B']"
484,KLK1,19,3.5789473684210527,0.9577464788732394,"['A', 'B', 'C', 'D', 'E']"
962,VCPKMT,6,3.5,0.9545454545454546,"['A', 'B', 'C']"
215,CYB5A,5,4.0,0.9523809523809523,"['A', 'B', 'C', 'D', 'E']"
305,ESPL1,5,3.8,0.95,"['A', 'B', 'C', 'D', 'E']"
918,TPBGL,5,3.8,0.95,[]
606,NOTCH2,5,3.6,0.9473684210526316,"['A', 'B', 'C', 'D', 'E']"
397,GTF2IRD1,5,3.6,0.9473684210526316,"['A', 'B', 'C', 'D']"
658,PGM2,5,3.6,0.9473684210526316,"['A', 'B', 'C', 'D', 'E']"
265,DTX2,5,3.4,0.9444444444444444,"['A', 'B', 'C', 'D', 'E']"
277,ECSCR,5,3.4,0.9444444444444444,"['A', 'B', 'C', 'D']"
184,CNPY2,5,3.4,0.9444444444444444,"['A', 'B', 'C', 'D']"
937,TXK,9,3.4444444444444446,0.9393939393939394,"['A', 'B', 'C']"
819,SLK,8,3.5,0.9333333333333333,"['A', 'B', 'C']"
268,DUSP3,8,3.375,0.9310344827586207,"['A', 'B']"
443,IKZF2,7,3.142857142857143,0.9166666666666667,"['A', 'B', 'C', 'D', 'E']"
754,RIPK4,6,3.6666666666666665,0.9166666666666666,"['A', 'B', 'C', 'D', 'E']"
517,LRP2BP,6,3.6666666666666665,0.9166666666666666,"['A', 'B']"
122,CCDC50,6,3.6666666666666665,0.9166666666666666,"['A', 'B', 'C', 'D', 'E']"
460,IL5,10,3.3,0.9166666666666666,"['A', 'B', 'C', 'D', 'E']"
239,DGCR6,6,3.6666666666666665,0.9166666666666666,"['B', 'C', 'D', 'E']"
448,IL17RA,6,3.5,0.9130434782608695,"['A', 'B']"
827,SMPDL3B,6,3.5,0.9130434782608695,"['A', 'B', 'C', 'D']"
246,DLL4,6,3.5,0.9130434782608695,"['A', 'B']"
933,TSPAN7,9,3.4444444444444446,0.911764705882353,[]
581,NCLN,10,3.1,0.911764705882353,"['A', 'B', 'C', 'D', 'E']"
35,ANP32C,6,3.3333333333333335,0.9090909090909092,"['A', 'B', 'C']"
645,PDE4D,8,3.75,0.9090909090909091,"['A', 'B', 'C', 'D', 'E']"
255,DNLZ,5,4.0,0.9090909090909091,[]
826,SMPD3,6,3.1666666666666665,0.9047619047619048,"['A', 'B', 'C', 'D', 'E']"
