,analyte_ID,n_patients_affected,percent_complications_affected,mean_outlier_timepoints_per_patient,complication_types_represented
1821,PPP1R12A,24,31.16883116883117,2.6666666666666665,"['FGR', 'HDP', 'SPTB']"
523,CMIP,23,29.87012987012987,2.652173913043478,"['FGR', 'HDP', 'SPTB']"
1469,MESD,22,28.57142857142857,2.727272727272727,"['FGR', 'HDP', 'SPTB']"
1566,NCK2,21,27.27272727272727,2.761904761904762,"['FGR', 'HDP', 'SPTB']"
2276,TBC1D23,20,25.97402597402597,2.65,"['FGR', 'HDP', 'SPTB']"
2334,TJAP1,20,25.97402597402597,2.7,"['FGR', 'HDP', 'SPTB']"
2440,TXNDC9,20,25.97402597402597,2.95,"['SPTB', 'FGR', 'HDP']"
2528,YWHAQ,20,25.97402597402597,2.75,"['FGR', 'HDP', 'SPTB']"
1635,NRGN,20,25.97402597402597,2.75,"['FGR', 'HDP', 'SPTB']"
2489,VPS4B,20,25.97402597402597,2.8,"['FGR', 'HDP', 'SPTB']"
647,DAB2,19,24.675324675324674,2.789473684210526,"['FGR', 'HDP', 'SPTB']"
2468,VASH1,19,24.675324675324674,3.1052631578947367,"['FGR', 'HDP', 'SPTB']"
2470,VASP,19,24.675324675324674,2.8947368421052633,"['FGR', 'HDP', 'SPTB']"
2490,VPS53,19,24.675324675324674,2.9473684210526314,"['FGR', 'HDP', 'SPTB']"
1310,KLK1,19,24.675324675324674,3.5789473684210527,"['HDP', 'SPTB', 'FGR']"
1150,IFNGR2,18,23.376623376623375,3.3333333333333335,"['SPTB', 'HDP', 'FGR']"
522,CMC1,18,23.376623376623375,2.611111111111111,"['FGR', 'HDP', 'SPTB']"
219,BLOC1S3,18,23.376623376623375,2.6666666666666665,"['FGR', 'HDP', 'SPTB']"
581,CRKL,17,22.07792207792208,2.764705882352941,"['FGR', 'HDP', 'SPTB']"
1073,HARS1,17,22.07792207792208,2.9411764705882355,"['FGR', 'HDP', 'SPTB']"
2322,TIA1,17,22.07792207792208,3.1176470588235294,"['FGR', 'HDP', 'SPTB']"
111,ANXA4,17,22.07792207792208,2.588235294117647,"['FGR', 'HDP', 'SPTB']"
486,CIAPIN1,17,22.07792207792208,2.4705882352941178,"['FGR', 'HDP', 'SPTB']"
720,DNMBP,17,22.07792207792208,2.4705882352941178,"['FGR', 'HDP', 'SPTB']"
208,BCR,17,22.07792207792208,2.823529411764706,"['FGR', 'HDP']"
2344,TMED8,17,22.07792207792208,2.8823529411764706,"['FGR', 'HDP', 'SPTB']"
1591,NFATC1,17,22.07792207792208,2.764705882352941,"['HDP', 'SPTB', 'FGR']"
2434,TWF2,17,22.07792207792208,2.8823529411764706,"['FGR', 'HDP', 'SPTB']"
173,ATP5IF1,16,20.77922077922078,2.5625,"['FGR', 'HDP', 'SPTB']"
1678,OTUD6B,16,20.77922077922078,2.75,"['FGR', 'HDP', 'SPTB']"
112,AOC1,16,20.77922077922078,3.0625,"['SPTB', 'HDP', 'FGR']"
411,CDC37,16,20.77922077922078,2.75,"['FGR', 'HDP', 'SPTB']"
1732,PDLIM7,16,20.77922077922078,2.75,"['FGR', 'HDP', 'SPTB']"
778,EIF2AK2,16,20.77922077922078,2.8125,"['HDP', 'FGR', 'SPTB']"
205,BCL2L1,16,20.77922077922078,2.875,"['FGR', 'HDP', 'SPTB']"
1731,PDLIM5,16,20.77922077922078,2.6875,"['FGR', 'SPTB', 'HDP']"
1820,PPP1CC,16,20.77922077922078,2.75,"['FGR', 'HDP', 'SPTB']"
2079,SERPINB1,16,20.77922077922078,2.75,"['SPTB', 'HDP', 'FGR']"
726,DOK2,16,20.77922077922078,2.75,"['FGR', 'HDP']"
1814,PPIB,16,20.77922077922078,2.5,"['FGR', 'HDP']"
853,FADD,16,20.77922077922078,2.4375,"['FGR', 'HDP', 'SPTB']"
1777,PLA2G4A,16,20.77922077922078,2.6875,"['FGR', 'HDP', 'SPTB']"
110,ANXA3,16,20.77922077922078,2.625,"['SPTB', 'FGR', 'HDP']"
711,DNAJB14,16,20.77922077922078,2.875,"['SPTB', 'HDP', 'FGR']"
480,CHMP1A,15,19.480519480519483,2.7333333333333334,"['FGR', 'HDP', 'SPTB']"
308,CASP7,15,19.480519480519483,2.8,"['FGR', 'HDP']"
1235,IMPA1,15,19.480519480519483,2.933333333333333,"['FGR', 'HDP']"
1478,MGMT,15,19.480519480519483,2.8666666666666667,"['HDP', 'SPTB', 'FGR']"
1729,PDIA4,15,19.480519480519483,2.6666666666666665,"['HDP', 'FGR', 'SPTB']"
2472,VAV3,15,19.480519480519483,2.6,"['FGR', 'HDP', 'SPTB']"
