,most_persistent,most_prevalent,early_warning,complication_specific,most_extreme,super_candidate
AAMDC,0,0,1,0,0,False
ABHD14B,0,0,1,0,0,False
ABL1,0,0,1,0,0,False
ADGRV1,1,0,0,0,0,False
AFAP1,0,0,1,0,0,False
AKT2,0,0,1,0,0,False
ANP32C,1,0,0,0,0,False
ANXA3,0,1,1,0,0,False
ANXA4,0,1,1,0,0,False
AOC1,0,1,1,1,0,True
AP3S2,0,0,1,0,0,False
APPL2,0,0,0,0,1,False
ARF6,0,0,1,0,0,False
ARFIP1,0,0,1,0,0,False
ARHGAP30,1,0,0,0,0,False
ARHGAP45,0,0,1,0,0,False
ARHGEF1,0,0,1,0,0,False
ARHGEF12,0,0,1,0,1,False
ARMCX2,1,0,0,0,0,False
ATF2,1,0,0,0,0,False
ATG16L1,0,0,1,0,0,False
ATP5IF1,0,1,1,0,0,False
ATP6V1F,1,0,0,0,0,False
AXIN1,0,0,1,0,1,False
BACH1,0,0,1,0,0,False
BANK1,0,0,1,0,1,False
BATF,1,0,1,0,0,False
BCL2L1,0,1,1,0,0,False
BCR,0,1,1,1,0,True
BLOC1S3,0,1,1,0,0,False
BRAP,0,0,0,0,1,False
BTN2A1,0,0,0,0,1,False
CA13,0,0,1,0,0,False
CACNB3,0,0,0,0,1,False
CALCOCO2,0,0,1,0,0,False
CAMSAP1,0,0,1,0,0,False
CASP2,0,0,1,0,0,False
CASP7,0,1,1,1,0,True
CASP8,0,0,1,0,0,False
CC2D1A,0,0,1,0,0,False
CCDC50,1,0,0,0,0,False
CD200R1,0,0,0,0,1,False
CD3E,0,0,0,0,1,False
CD40,0,0,1,0,0,False
CD6,0,0,0,0,1,False
CD99L2,0,0,0,0,1,False
CDC26,0,0,1,0,0,False
CDC37,0,1,1,0,0,False
CDC42BPB,0,0,1,0,0,False
CDKN1A,0,0,1,0,0,False
CDKN2D,0,0,0,0,1,False
CEP164,0,0,1,0,0,False
CEP170,0,0,1,0,0,False
CEP20,0,0,1,0,0,False
CETN3,0,0,1,0,0,False
CHMP1A,0,1,1,0,0,False
CHMP6,0,0,1,0,0,False
CIAPIN1,0,1,1,0,0,False
CIRBP,0,0,1,0,0,False
CLPP,0,0,1,0,0,False
CMC1,0,1,1,0,0,False
CMIP,0,1,1,1,0,True
CNP,0,0,1,0,0,False
CNPY2,1,0,0,0,0,False
CNPY4,0,0,1,0,0,False
CNST,0,0,1,0,0,False
COMMD1,0,0,1,0,0,False
COMT,0,0,1,0,0,False
CORO1A,0,0,1,0,0,False
COX6B1,0,0,1,0,0,False
CRADD,0,0,1,0,0,False
CRKL,0,1,1,0,0,False
CRX,1,0,0,0,0,False
