,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
A1BG,A1BG,plasma,protein,A,-0.1955180372719276,0.1796518193279164
AAMDC,AAMDC,plasma,protein,A,-0.1004054561140152,0.2545330015935966
AARSD1,AARSD1,plasma,protein,A,-0.2220523379988392,0.5085984346751737
ABCA2,ABCA2,plasma,protein,A,-0.0907078724461562,0.4971166389184995
ABHD14B,ABHD14B,plasma,protein,A,-0.0882706017466516,0.4128181342765239
ABL1,ABL1,plasma,protein,A,-0.2933627347646319,0.3577834543842666
ABO,ABO,plasma,protein,A,0.2488967386084579,1.251739722904252
ABRAXAS2,ABRAXAS2,plasma,protein,A,-0.1361393569534861,0.7537462836676845
ACAA1,ACAA1,plasma,protein,A,-0.0587161435743939,0.8650639639295583
ACADM,ACADM,plasma,protein,A,0.0162971225026141,0.6357221750316222
ACADSB,ACADSB,plasma,protein,A,-0.0672004148863515,0.6866508166090924
ACAN,ACAN,plasma,protein,A,0.0605804183542842,0.22665130234566092
ACE,ACE,plasma,protein,A,-8.875619728381315e-05,0.20900374994888551
ACE2,ACE2,plasma,protein,A,-0.2755878442406737,0.28704494721354296
ACHE,ACHE,plasma,protein,A,0.0564433309646366,0.2352745939628341
ACOT13,ACOT13,plasma,protein,A,-0.1886915651299585,0.9914380227995501
ACOX1,ACOX1,plasma,protein,A,-0.0188404086940609,0.4172844180838143
ACP1,ACP1,plasma,protein,A,-0.0116523597674961,0.6142317711871564
ACP5,ACP5,plasma,protein,A,0.0477718883487511,0.34743765756097456
ACP6,ACP6,plasma,protein,A,-0.2235375599512657,0.4302335049525976
ACRBP,ACRBP,plasma,protein,A,-0.0969914834307353,0.26662586655165066
ACRV1,ACRV1,plasma,protein,A,-0.163090768398381,0.39491944537242385
ACTA2,ACTA2,plasma,protein,A,-0.3536666931102332,0.19025562441640226
ACTN2,ACTN2,plasma,protein,A,-0.2150972755092157,0.4434332273843805
ACTN4,ACTN4,plasma,protein,A,-0.0564972953777581,0.3537640969861654
ACVRL1,ACVRL1,plasma,protein,A,-0.4107249088756415,0.1777272698263612
ACY1,ACY1,plasma,protein,A,-0.2719911407182827,0.4520333768948902
ACY3,ACY3,plasma,protein,A,-0.1223137054850441,0.3590369778125474
ACYP1,ACYP1,plasma,protein,A,-0.0234445003589151,0.4885278021038641
ADA,ADA,plasma,protein,A,0.0004234148984784,0.2983456268054223
ADA2,ADA2,plasma,protein,A,-0.0406070835268406,0.3012167115677827
ADAM12,ADAM12,plasma,protein,A,-0.2357664814231748,0.2053024110725432
ADAM15,ADAM15,plasma,protein,A,-0.2033114519002,0.2569017881916358
ADAM22,ADAM22,plasma,protein,A,0.0244268158095985,0.2838092627651791
ADAM23,ADAM23,plasma,protein,A,0.0901348793495121,0.2929654535035676
ADAM8,ADAM8,plasma,protein,A,0.0977536619777497,0.276269323724903
ADAM9,ADAM9,plasma,protein,A,-0.0860743140518443,0.21818914324624072
ADAMTS1,ADAMTS1,plasma,protein,A,-0.1192877355426289,0.3052274956460405
ADAMTS13,ADAMTS13,plasma,protein,A,0.1070706711314814,0.2984051927794263
ADAMTS15,ADAMTS15,plasma,protein,A,0.1187833425397498,0.3084314747295198
ADAMTS4,ADAMTS4,plasma,protein,A,-0.1565283856749001,0.3708304641996407
ADAMTS8,ADAMTS8,plasma,protein,A,0.0087828907242323,0.3678525120946402
ADAMTSL2,ADAMTSL2,plasma,protein,A,-0.1777743076550127,0.29622224368523453
ADAMTSL4,ADAMTSL4,plasma,protein,A,-0.2757834951123921,0.2216570500920661
ADAMTSL5,ADAMTSL5,plasma,protein,A,-0.4401332424099837,0.30538699934460833
