,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
A1BG,A1BG,plasma,protein,B,0.0008641066940651,0.16580946739522198
AAMDC,AAMDC,plasma,protein,B,-0.0905385775024374,0.25070056009182473
AARSD1,AARSD1,plasma,protein,B,-0.2095842869237996,0.5949933136903358
ABCA2,ABCA2,plasma,protein,B,-0.0983835423000822,0.47594366926883314
ABHD14B,ABHD14B,plasma,protein,B,-0.1458804792960917,0.41830085629715374
ABL1,ABL1,plasma,protein,B,-0.1538761876279129,0.40439851749839606
ABO,ABO,plasma,protein,B,0.0957503455939419,1.3884112766702372
ABRAXAS2,ABRAXAS2,plasma,protein,B,-0.1970061039988641,0.6316284760372242
ACAA1,ACAA1,plasma,protein,B,-0.0602458656165044,0.7901042368646227
ACADM,ACADM,plasma,protein,B,-0.0818637683160832,0.5585212425423277
ACADSB,ACADSB,plasma,protein,B,-0.227634145300363,0.6677891189749982
ACAN,ACAN,plasma,protein,B,-0.0153410298502791,0.20848771425282012
ACE,ACE,plasma,protein,B,-0.008214684563798,0.2375212499959777
ACE2,ACE2,plasma,protein,B,-0.1299330818128156,0.2568942067523355
ACHE,ACHE,plasma,protein,B,-0.0689860222047983,0.2453119396633651
ACOT13,ACOT13,plasma,protein,B,-0.0766585358366344,0.8706886472526573
ACOX1,ACOX1,plasma,protein,B,-0.0865895909452648,0.4040650654494328
ACP1,ACP1,plasma,protein,B,0.0111709294545068,0.48795893511982036
ACP5,ACP5,plasma,protein,B,-0.1540732504162129,0.42192796411791217
ACP6,ACP6,plasma,protein,B,-0.0207253823817142,0.4215596981999525
ACRBP,ACRBP,plasma,protein,B,-0.0686026174426117,0.2803501914752673
ACRV1,ACRV1,plasma,protein,B,0.0021945769875562,0.3613230017099696
ACTA2,ACTA2,plasma,protein,B,-0.22467885577014,0.2508072528559469
ACTN2,ACTN2,plasma,protein,B,-0.280789953178401,0.5166306007405059
ACTN4,ACTN4,plasma,protein,B,-0.1162398070034131,0.3065077113181785
ACVRL1,ACVRL1,plasma,protein,B,-0.1208059382363236,0.1834461970484814
ACY1,ACY1,plasma,protein,B,-0.0944027033322559,0.4340450838735318
ACY3,ACY3,plasma,protein,B,-0.0918540383253299,0.32600239005164827
ACYP1,ACYP1,plasma,protein,B,-0.1688016139514675,0.5167273847024428
ADA,ADA,plasma,protein,B,-0.0725325089883461,0.28104498175827386
ADA2,ADA2,plasma,protein,B,-0.0831720476697007,0.2811588442301354
ADAM12,ADAM12,plasma,protein,B,0.1117989332200306,0.0934520176110375
ADAM15,ADAM15,plasma,protein,B,-0.0366440303467853,0.2549327101662604
ADAM22,ADAM22,plasma,protein,B,-0.0396274954071843,0.2672459398585254
ADAM23,ADAM23,plasma,protein,B,0.0084486966606182,0.3403852785724348
ADAM8,ADAM8,plasma,protein,B,-0.0832840828841844,0.22057468306432101
ADAM9,ADAM9,plasma,protein,B,-0.0779737227387436,0.1899602727286496
ADAMTS1,ADAMTS1,plasma,protein,B,-0.0498965094241041,0.39813830286159196
ADAMTS13,ADAMTS13,plasma,protein,B,-0.0387655433139839,0.2929663056772012
ADAMTS15,ADAMTS15,plasma,protein,B,-0.0700607431341571,0.33028226801486027
ADAMTS4,ADAMTS4,plasma,protein,B,-0.1622505685427828,0.4408195879332145
ADAMTS8,ADAMTS8,plasma,protein,B,-0.0636692746246485,0.3882800849292912
ADAMTSL2,ADAMTSL2,plasma,protein,B,-0.2229250128869702,0.28941922396350084
ADAMTSL4,ADAMTSL4,plasma,protein,B,-0.227514338072286,0.2385084903695377
ADAMTSL5,ADAMTSL5,plasma,protein,B,-0.0959859252775878,0.2671591853955916
ADCYAP1R1,ADCYAP1R1,plasma,protein,B,0.0313984061316087,0.2685560512377875
ADD1,ADD1,plasma,protein,B,-0.1869055335380931,0.515355437316508
ADGRB3,ADGRB3,plasma,protein,B,0.0127130146166906,0.2413646711892712
ADGRD1,ADGRD1,plasma,protein,B,-0.1497042007866612,0.3233921373319163
ADGRE1,ADGRE1,plasma,protein,B,-0.0323211819937224,0.4795488904651911
ADGRE2,ADGRE2,plasma,protein,B,-0.1196175188334198,0.1963131297630039
ADGRE5,ADGRE5,plasma,protein,B,-0.1224229318724884,0.19600933026453038
ADGRF5,ADGRF5,plasma,protein,B,-0.1170329929957982,0.25556271105773265
ADGRG1,ADGRG1,plasma,protein,B,-0.1759858919249077,0.24576321670863122
ADGRG2,ADGRG2,plasma,protein,B,-0.1642000861605242,0.2086290397497371
ADGRV1,ADGRV1,plasma,protein,B,-0.2106961088656112,1.0119985567289151
ADH1B,ADH1B,plasma,protein,B,-0.051721609242596,0.5899497274501744
ADH4,ADH4,plasma,protein,B,0.001869790914028,0.7172393327789317
ADM,ADM,plasma,protein,B,-0.0527813115546474,0.14091589703213162
ADRA2A,ADRA2A,plasma,protein,B,-0.1643402291326459,0.6787781572474721
AFAP1,AFAP1,plasma,protein,B,-0.0980618795793799,0.8651702165864057
AFM,AFM,plasma,protein,B,-0.0784675028027565,0.2128540429710491
AFP,AFP,plasma,protein,B,-0.0568655359745211,0.1353128980671644
AGER,AGER,plasma,protein,B,0.0710435569111662,0.3044935428463167
AGR2,AGR2,plasma,protein,B,0.171784058443492,0.653925504572353
AGR3,AGR3,plasma,protein,B,-0.2284173914317477,0.7812061820015919
AGRN,AGRN,plasma,protein,B,-0.1677448605961789,0.2355892373006085
AGRP,AGRP,plasma,protein,B,-0.1095560287544275,0.40983067604446527
AGT,AGT,plasma,protein,B,-0.0162411078990994,0.16212951229631758
AGXT,AGXT,plasma,protein,B,-0.0115913820160364,0.62267325329942
AHCY,AHCY,plasma,protein,B,-0.2927474106417791,0.5657033689549532
AHNAK,AHNAK,plasma,protein,B,-0.0965433536992606,0.2671630602521197
AHNAK2,AHNAK2,plasma,protein,B,-0.0111219029998264,0.2410324999205105
AHSA1,AHSA1,plasma,protein,B,-0.079999807102655,0.553036888918585
AHSG,AHSG,plasma,protein,B,0.0509248872676391,0.1824120729616287
AHSP,AHSP,plasma,protein,B,0.008297921007097,0.6035949650754511
AIDA,AIDA,plasma,protein,B,-0.1819290101133063,1.264029244326708
AIF1,AIF1,plasma,protein,B,-0.0571899653003333,0.5338195735430956
AIF1L,AIF1L,plasma,protein,B,-0.1353675469180006,0.3350366451607055
AIFM1,AIFM1,plasma,protein,B,-0.2115838713639141,0.702148286366642
AK1,AK1,plasma,protein,B,-0.2247639985989319,0.5903551555866172
AK2,AK2,plasma,protein,B,-0.1076282763768578,1.072728348770798
AKAP12,AKAP12,plasma,protein,B,0.0075951721784691,0.19746565527858712
AKR1B1,AKR1B1,plasma,protein,B,-0.3380338281139111,0.7429554414684707
AKR1B10,AKR1B10,plasma,protein,B,-0.1317711398756098,0.789701131948179
AKR1C4,AKR1C4,plasma,protein,B,-0.0571411189975865,0.5710139484226551
AKR7L,AKR7L,plasma,protein,B,-0.0628886449149275,0.6840038704187075
AKT1S1,AKT1S1,plasma,protein,B,-0.1203002693778741,0.6046785567649116
AKT2,AKT2,plasma,protein,B,-0.3372394309273313,0.8880710262513747
