,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
A1BG,A1BG,plasma,protein,C,0.08118480127364411,0.18110098347084908
AAMDC,AAMDC,plasma,protein,C,-0.06902562002684764,0.25338274475847944
AARSD1,AARSD1,plasma,protein,C,-0.13887331809565845,0.5524710134018075
ABCA2,ABCA2,plasma,protein,C,-0.05395028286968505,0.48833641861996
ABHD14B,ABHD14B,plasma,protein,C,-0.1676435752130622,0.43962444550644564
ABL1,ABL1,plasma,protein,C,-0.014714206700743249,0.43661722745453857
ABO,ABO,plasma,protein,C,0.0709415891052137,1.3028441181461183
ABRAXAS2,ABRAXAS2,plasma,protein,C,-0.0210595620620102,0.6494848460049284
ACAA1,ACAA1,plasma,protein,C,0.03597772819390625,0.8240855350844982
ACADM,ACADM,plasma,protein,C,-0.1436770710253445,0.6900896368179206
ACADSB,ACADSB,plasma,protein,C,0.0557202968004301,0.7021841394060913
ACAN,ACAN,plasma,protein,C,-0.0561713715690282,0.24927067240014802
ACE,ACE,plasma,protein,C,0.00297845647882455,0.22598707594974804
ACE2,ACE2,plasma,protein,C,0.1889167477294043,0.3460426983846737
ACHE,ACHE,plasma,protein,C,-0.1250806779062621,0.2852385950872718
ACOT13,ACOT13,plasma,protein,C,-0.0937790655033718,0.8578329341088146
ACOX1,ACOX1,plasma,protein,C,-0.0027667992436270503,0.4251911509470133
ACP1,ACP1,plasma,protein,C,-0.14381956626985948,0.4709767717907617
ACP5,ACP5,plasma,protein,C,-0.3520032895068565,0.3816787171387488
ACP6,ACP6,plasma,protein,C,0.12632985766802424,0.41137278178842296
ACRBP,ACRBP,plasma,protein,C,-0.013947952769144751,0.24449778516299991
ACRV1,ACRV1,plasma,protein,C,-0.022952127184896,0.3119135243510387
ACTA2,ACTA2,plasma,protein,C,0.08038930888306264,0.27149171625567436
ACTN2,ACTN2,plasma,protein,C,0.06735901385054435,0.5268995453166394
ACTN4,ACTN4,plasma,protein,C,-0.0902117459583635,0.26501286124488904
ACVRL1,ACVRL1,plasma,protein,C,0.2207224324186694,0.2140595090774161
ACY1,ACY1,plasma,protein,C,0.050100373232824846,0.4345365075202299
ACY3,ACY3,plasma,protein,C,0.1104210284207097,0.45879806606659634
ACYP1,ACYP1,plasma,protein,C,-0.2192891084024786,0.4751879240603678
ADA,ADA,plasma,protein,C,-0.08244825866647475,0.2879930113886729
ADA2,ADA2,plasma,protein,C,-0.0407146908653362,0.2715764128230786
ADAM12,ADAM12,plasma,protein,C,0.0663599845724296,0.10675278407158854
ADAM15,ADAM15,plasma,protein,C,0.15014876750171655,0.3009579623368614
ADAM22,ADAM22,plasma,protein,C,-0.0338368423039133,0.27438802508933774
ADAM23,ADAM23,plasma,protein,C,-0.08858260589914775,0.3270378762170685
ADAM8,ADAM8,plasma,protein,C,-0.2242114596693037,0.30125152861544985
ADAM9,ADAM9,plasma,protein,C,0.00030897631840910006,0.21361075128335025
ADAMTS1,ADAMTS1,plasma,protein,C,0.01412412924808135,0.3629940481867689
ADAMTS13,ADAMTS13,plasma,protein,C,-0.23987470979236875,0.3272086639244912
ADAMTS15,ADAMTS15,plasma,protein,C,-0.1735535933250999,0.3966719077285143
ADAMTS4,ADAMTS4,plasma,protein,C,-0.030188100432624848,0.4497099852400062
ADAMTS8,ADAMTS8,plasma,protein,C,-0.0122495183124298,0.40363230036750436
ADAMTSL2,ADAMTSL2,plasma,protein,C,0.0137690583102761,0.2708056952086755
ADAMTSL4,ADAMTSL4,plasma,protein,C,0.21635510519357676,0.2300323249317034
ADAMTSL5,ADAMTSL5,plasma,protein,C,0.1858418529357749,0.3341222035574316
ADCYAP1R1,ADCYAP1R1,plasma,protein,C,-0.030828862454641198,0.2824022021039452
ADD1,ADD1,plasma,protein,C,-0.18900642903464837,0.4300276304961099
ADGRB3,ADGRB3,plasma,protein,C,-0.0548961775337595,0.2553049945912025
ADGRD1,ADGRD1,plasma,protein,C,0.11072280476649835,0.41492890208510824
ADGRE1,ADGRE1,plasma,protein,C,0.0431905889005858,0.4523822832087968
