,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
A1BG,A1BG,plasma,protein,D,0.1022272897268648,0.1678157901619664
AAMDC,AAMDC,plasma,protein,D,0.2086302419383507,0.3659004597285806
AARSD1,AARSD1,plasma,protein,D,0.404735064079289,0.7703777930342188
ABCA2,ABCA2,plasma,protein,D,0.2195226083071051,0.42638872389832627
ABHD14B,ABHD14B,plasma,protein,D,0.2470455251875591,0.5737615598486219
ABL1,ABL1,plasma,protein,D,0.3310957468985149,0.47457897852082187
ABO,ABO,plasma,protein,D,-0.0021894167249414,1.296567974143372
ABRAXAS2,ABRAXAS2,plasma,protein,D,0.1651731130762701,0.733092337845026
ACAA1,ACAA1,plasma,protein,D,0.1289879669672065,0.8812937821690661
ACADM,ACADM,plasma,protein,D,-0.0690601738614705,0.5647130259405587
ACADSB,ACADSB,plasma,protein,D,0.2098586230705339,0.8208247536832829
ACAN,ACAN,plasma,protein,D,-0.0362692383389858,0.26422612432344605
ACE,ACE,plasma,protein,D,-0.0204711491577359,0.2345885073774961
ACE2,ACE2,plasma,protein,D,0.2085363564475452,0.3287151108480313
ACHE,ACHE,plasma,protein,D,0.0915154312203885,0.27236540439550616
ACOT13,ACOT13,plasma,protein,D,0.2304102685599865,1.0893679635387117
ACOX1,ACOX1,plasma,protein,D,-0.1145835141710134,0.5399052210856197
ACP1,ACP1,plasma,protein,D,0.102749377457794,0.6132575404342402
ACP5,ACP5,plasma,protein,D,-0.1637686769037835,0.4837704959402815
ACP6,ACP6,plasma,protein,D,0.1273983817326389,0.4076317639252053
ACRBP,ACRBP,plasma,protein,D,0.1333679342863611,0.2591115843756373
ACRV1,ACRV1,plasma,protein,D,0.0844879902110369,0.34758653114306304
ACTA2,ACTA2,plasma,protein,D,0.9155037723661904,0.5015038515814182
ACTN2,ACTN2,plasma,protein,D,0.6776537248811544,0.7666522078244186
ACTN4,ACTN4,plasma,protein,D,0.2185362029754775,0.28277956992190323
ACVRL1,ACVRL1,plasma,protein,D,0.3325143670413014,0.27477427740958443
ACY1,ACY1,plasma,protein,D,0.1552223915691802,0.36840344794613966
ACY3,ACY3,plasma,protein,D,0.1350741249261941,0.39645540207081453
ACYP1,ACYP1,plasma,protein,D,0.3020102498132327,0.72967653857939
ADA,ADA,plasma,protein,D,0.1042057584565413,0.36915826916006916
ADA2,ADA2,plasma,protein,D,0.0238155649055962,0.2606816452641107
ADAM12,ADAM12,plasma,protein,D,-0.0560262671107933,0.11430044638881798
ADAM15,ADAM15,plasma,protein,D,0.0930890147685773,0.3308115678031989
ADAM22,ADAM22,plasma,protein,D,-0.0703531210644184,0.3436310613620994
ADAM23,ADAM23,plasma,protein,D,-0.1308365751044791,0.3789670433507417
ADAM8,ADAM8,plasma,protein,D,-0.1897080594778979,0.3107384744506282
ADAM9,ADAM9,plasma,protein,D,0.1451745229383708,0.2214184124689933
ADAMTS1,ADAMTS1,plasma,protein,D,0.2190673064571729,0.3889081639722063
ADAMTS13,ADAMTS13,plasma,protein,D,-0.1743746968745917,0.2936772509656873
ADAMTS15,ADAMTS15,plasma,protein,D,0.1644580666207812,0.393647651479147
ADAMTS4,ADAMTS4,plasma,protein,D,0.2311575318341276,0.3490084925450242
ADAMTS8,ADAMTS8,plasma,protein,D,0.0654247247139136,0.3257970150534295
ADAMTSL2,ADAMTSL2,plasma,protein,D,0.3924029979560962,0.35457525745812557
ADAMTSL4,ADAMTSL4,plasma,protein,D,0.4871020636333192,0.3493967984131007
ADAMTSL5,ADAMTSL5,plasma,protein,D,0.3991439997891228,0.3682783445113217
ADCYAP1R1,ADCYAP1R1,plasma,protein,D,-0.1206881235941879,0.3211903249679079
ADD1,ADD1,plasma,protein,D,0.2512912618225803,0.748810624031616
ADGRB3,ADGRB3,plasma,protein,D,-0.1210765599874136,0.23728309566340103
ADGRD1,ADGRD1,plasma,protein,D,0.3495127879101803,0.3708851195241856
ADGRE1,ADGRE1,plasma,protein,D,0.0665272626143196,0.4149155299606827
ADGRE2,ADGRE2,plasma,protein,D,0.2816706519019177,0.3275964352913373
ADGRE5,ADGRE5,plasma,protein,D,0.23604038085309,0.305723291380444
ADGRF5,ADGRF5,plasma,protein,D,0.4301344127887722,0.2509770960913619
ADGRG1,ADGRG1,plasma,protein,D,0.2216934451526096,0.2771006792563709
ADGRG2,ADGRG2,plasma,protein,D,0.2889438544453402,0.2753236141442712
ADGRV1,ADGRV1,plasma,protein,D,0.0998256204039656,0.7872507726230137
ADH1B,ADH1B,plasma,protein,D,0.0363966026429835,0.622194397954712
ADH4,ADH4,plasma,protein,D,-0.063203981267993,0.7960317390495968
ADM,ADM,plasma,protein,D,0.1915248733165986,0.12376688433597663
ADRA2A,ADRA2A,plasma,protein,D,0.034718495624643,0.73884201826809
AFAP1,AFAP1,plasma,protein,D,-0.0250427990357903,0.7434347911244022
AFM,AFM,plasma,protein,D,0.2935375093252136,0.2183646078035832
AFP,AFP,plasma,protein,D,0.1542207537185513,0.12950927380732158
AGER,AGER,plasma,protein,D,-0.1052565184739169,0.3114995196987973
AGR2,AGR2,plasma,protein,D,-0.0521082867121075,0.8113165555197626
AGR3,AGR3,plasma,protein,D,0.5428884002168959,0.6204390429427462
AGRN,AGRN,plasma,protein,D,0.2055949522921237,0.30915699108736144
AGRP,AGRP,plasma,protein,D,0.2853223956270246,0.4234516761819371
AGT,AGT,plasma,protein,D,-0.0420430698543732,0.16156134670693129
AGXT,AGXT,plasma,protein,D,0.2195734092784511,1.0030842885320557
AHCY,AHCY,plasma,protein,D,0.5088611969567245,0.5699750780941999
AHNAK,AHNAK,plasma,protein,D,0.1234505294241549,0.3144051261763415
AHNAK2,AHNAK2,plasma,protein,D,0.1328982931453735,0.3110761323760432
AHSA1,AHSA1,plasma,protein,D,0.2629378618666396,0.6212403937060624
AHSG,AHSG,plasma,protein,D,0.0016633218011653,0.1627740562829977
AHSP,AHSP,plasma,protein,D,0.1227816717913899,0.8974877091833353
AIDA,AIDA,plasma,protein,D,0.0665185082331289,0.8812225137071711
AIF1,AIF1,plasma,protein,D,-0.0570411610932577,0.6490728096202467
AIF1L,AIF1L,plasma,protein,D,0.123320232403268,0.3372160146068576
AIFM1,AIFM1,plasma,protein,D,0.0907350964340103,0.7208266741425287
AK1,AK1,plasma,protein,D,0.3323210190983993,0.6583521325376599
AK2,AK2,plasma,protein,D,0.1407856417998681,0.8281592572871637
AKAP12,AKAP12,plasma,protein,D,-0.0385864900838475,0.2207853163276413
AKR1B1,AKR1B1,plasma,protein,D,0.4261506680551478,0.7807574562105194
AKR1B10,AKR1B10,plasma,protein,D,0.1413583279425689,0.7195020036382699
AKR1C4,AKR1C4,plasma,protein,D,0.0273548301493943,0.5169861366835545
AKR7L,AKR7L,plasma,protein,D,0.2103455157693083,0.6546368434653393
AKT1S1,AKT1S1,plasma,protein,D,0.6359751724413163,0.7807038523418626
AKT2,AKT2,plasma,protein,D,0.2497235540938441,1.017156346846504
AKT3,AKT3,plasma,protein,D,0.1278152844190712,0.5605644049411856
ALCAM,ALCAM,plasma,protein,D,-0.0011912204862296,0.2256245333800116
ALDH1A1,ALDH1A1,plasma,protein,D,0.1435631220990964,0.43114991351670084
ALDH2,ALDH2,plasma,protein,D,0.1340755265295689,0.44489344840154466
ALDH3A1,ALDH3A1,plasma,protein,D,-0.1153678008342524,0.4573668569427245
ALDH5A1,ALDH5A1,plasma,protein,D,0.0797352399836574,0.4555519427763826
ALMS1,ALMS1,plasma,protein,D,0.0253556472104067,0.6580702963283518
ALPI,ALPI,plasma,protein,D,0.4826242154967219,0.32835349989978724
ALPP,ALPP,plasma,protein,D,0.3261800191643423,0.21382128711893517
AMBN,AMBN,plasma,protein,D,0.5153022513171844,0.3393624501847642
AMBP,AMBP,plasma,protein,D,-0.0219401118640531,0.1259608482534579
AMDHD2,AMDHD2,plasma,protein,D,0.1481143850137616,0.321981979755896
AMFR,AMFR,plasma,protein,D,0.0197491060503592,0.1753864138893009
AMIGO1,AMIGO1,plasma,protein,D,0.0315370729901327,0.4521974172374783
AMIGO2,AMIGO2,plasma,protein,D,0.0183914916530427,0.1674477490760104
AMN,AMN,plasma,protein,D,0.0909342299552765,0.5696555147884973
AMOT,AMOT,plasma,protein,D,0.2532597380956458,0.3826469014193505
AMOTL2,AMOTL2,plasma,protein,D,0.1706754859962514,0.1824395460668799
AMPD3,AMPD3,plasma,protein,D,0.383179106519078,0.6962773711217671
AMY1A_AMY1B_AMY1C,AMY1A_AMY1B_AMY1C,plasma,protein,D,0.0085347573040483,0.3673678245995597
AMY2A,AMY2A,plasma,protein,D,0.0800062676941572,0.4029473208670374
AMY2B,AMY2B,plasma,protein,D,0.0340912699831047,0.4448319626109723
ANG,ANG,plasma,protein,D,0.1840688172324603,0.2713885485829509
ANGPT1,ANGPT1,plasma,protein,D,0.0063345310008256,0.7398874395828383
ANGPT2,ANGPT2,plasma,protein,D,-0.7529127668666735,0.5394926529670926
ANGPTL1,ANGPTL1,plasma,protein,D,0.3973242044768335,0.2569555765699313
ANGPTL2,ANGPTL2,plasma,protein,D,0.2676517030544519,0.33826942433572554
ANGPTL3,ANGPTL3,plasma,protein,D,0.1304308617212281,0.2555015514592168
ANGPTL4,ANGPTL4,plasma,protein,D,0.4523221584634802,0.12302512122260673
ANK2,ANK2,plasma,protein,D,-0.1382177027656416,0.4916505886173992
ANKMY2,ANKMY2,plasma,protein,D,0.0990175287316907,0.9448472372317516
ANKRA2,ANKRA2,plasma,protein,D,-0.2127010879260542,0.8876942895230093
ANKRD54,ANKRD54,plasma,protein,D,0.1388287062412226,0.505855296907328
ANP32C,ANP32C,plasma,protein,D,0.0285579426157878,0.2939333349269824
ANPEP,ANPEP,plasma,protein,D,-0.058253274403711,0.2134189973820789
ANXA1,ANXA1,plasma,protein,D,0.2633182139150485,0.24992851222863455
ANXA10,ANXA10,plasma,protein,D,0.0156854163052852,0.6740674010454838
ANXA11,ANXA11,plasma,protein,D,0.1031548865023006,0.2129448484084448
ANXA2,ANXA2,plasma,protein,D,0.4213479221464528,0.4689133111815621
ANXA3,ANXA3,plasma,protein,D,0.2248710224159965,0.6300547081395371
ANXA4,ANXA4,plasma,protein,D,0.1817219495410376,0.5266991968031927
ANXA5,ANXA5,plasma,protein,D,0.0599778977431687,0.4013862070330264
AOC1,AOC1,plasma,protein,D,0.3619088420331275,0.5551057987837402
AOC3,AOC3,plasma,protein,D,-0.1277969211813508,0.1911477799341752
AP1G2,AP1G2,plasma,protein,D,0.2605794700455825,0.744218286119456
AP2B1,AP2B1,plasma,protein,D,0.1484115924868668,0.6845323483574242
AP3B1,AP3B1,plasma,protein,D,0.2123616078503756,0.5331477491710395
AP3S2,AP3S2,plasma,protein,D,0.1264519233210008,0.49250651297746956
APBB1IP,APBB1IP,plasma,protein,D,0.2159196360324022,0.3608842190740399
APCS,APCS,plasma,protein,D,0.2883463165432606,0.23087268417206752
APEX1,APEX1,plasma,protein,D,0.3020189120526185,0.6140964189865712
APLP1,APLP1,plasma,protein,D,-0.2218536219680542,0.5981450972477693
APOA1,APOA1,plasma,protein,D,0.0231437634698849,0.166922521362279
APOA2,APOA2,plasma,protein,D,0.4473526689233348,0.3756550212510759
APOA4,APOA4,plasma,protein,D,-0.0038337609467216,0.2755172476217481
APOB,APOB,plasma,protein,D,0.0724820816723392,0.36338042480054683
APOBR,APOBR,plasma,protein,D,0.1558432253952389,0.2192779202160543
APOC1,APOC1,plasma,protein,D,0.1027058845350563,0.2390513675644571
APOD,APOD,plasma,protein,D,-0.1047277985620303,0.3865922055655729
APOE,APOE,plasma,protein,D,0.1571854086056323,0.26727961256238403
APOF,APOF,plasma,protein,D,-0.0974520937448388,0.2637578626226247
APOH,APOH,plasma,protein,D,-0.0827025519714559,0.3962731128613035
APOL1,APOL1,plasma,protein,D,0.2660223253930708,0.5191038138861992
APOM,APOM,plasma,protein,D,0.0349903966872269,0.3130086716489102
APP,APP,plasma,protein,D,0.0669648690915798,0.2670589190637703
APPL2,APPL2,plasma,protein,D,-0.0071161081420023,1.1413365915219567
APRT,APRT,plasma,protein,D,0.4410030134892855,0.743630980245819
ARAF,ARAF,plasma,protein,D,0.1125130692487457,0.6533784800971867
AREG,AREG,plasma,protein,D,0.3174293812269803,0.4638863701833672
ARF6,ARF6,plasma,protein,D,0.480259776282556,0.9293907842093587
ARFIP1,ARFIP1,plasma,protein,D,0.3248555440406419,0.777508787233221
ARG1,ARG1,plasma,protein,D,0.1509764532218249,0.7068470973231606
ARG2,ARG2,plasma,protein,D,-0.016115583802214,0.6296760202249913
ARHGAP1,ARHGAP1,plasma,protein,D,0.1985084705627947,0.3306308192737502
ARHGAP25,ARHGAP25,plasma,protein,D,0.1302507744111487,0.362576806140013
ARHGAP30,ARHGAP30,plasma,protein,D,0.0641596388424839,0.23943851194263133
ARHGAP45,ARHGAP45,plasma,protein,D,0.0517355412245008,0.6857102082815034
ARHGAP5,ARHGAP5,plasma,protein,D,-0.0930743117097557,0.948656172137124
ARHGEF1,ARHGEF1,plasma,protein,D,0.1801981759545773,0.6191681572977084
ARHGEF10,ARHGEF10,plasma,protein,D,0.1773593345266269,0.9901215521990696
ARHGEF12,ARHGEF12,plasma,protein,D,0.1774355383162491,0.9505092433615883
ARHGEF5,ARHGEF5,plasma,protein,D,0.3478521143819684,0.5438016754740694
ARID3A,ARID3A,plasma,protein,D,-0.0259761042597915,0.12008179104335509
ARID4B,ARID4B,plasma,protein,D,0.0436660785645899,0.29307940913247377
ARL2BP,ARL2BP,plasma,protein,D,0.2779274411155472,0.5585614358149693
ARMCX2,ARMCX2,plasma,protein,D,0.1227840217128116,0.7731131996957913
ARNT,ARNT,plasma,protein,D,0.0353241900398814,0.782536654631408
ARSB,ARSB,plasma,protein,D,0.2829189155077816,0.37860959963760843
ART3,ART3,plasma,protein,D,-0.0877323425521501,0.2725150926037797
ART5,ART5,plasma,protein,D,0.0005851679982157,0.45047059135622786
ARTN,ARTN,plasma,protein,D,1.1272482595237467,0.43953812785248747
ASAH1,ASAH1,plasma,protein,D,0.621809690093384,0.35208963895901835
ASAH2,ASAH2,plasma,protein,D,0.0253833673672593,0.1997284453286324
ASGR1,ASGR1,plasma,protein,D,0.3176682511805085,0.2137998899835884
ASGR2,ASGR2,plasma,protein,D,0.2025255023162719,0.2182317036018158
ASPN,ASPN,plasma,protein,D,0.2279145847075976,0.3387141987520058
ASPSCR1,ASPSCR1,plasma,protein,D,0.3805226584838078,0.47579372835080036
ASRGL1,ASRGL1,plasma,protein,D,0.3941741323709896,0.6416161195076724
ASS1,ASS1,plasma,protein,D,-0.0795904769140761,0.6530714223418168
ATF2,ATF2,plasma,protein,D,0.0092241669790689,0.4631032029241608
ATF4,ATF4,plasma,protein,D,-0.2248619951353853,0.7414132808898227
