,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
A1BG,A1BG,plasma,protein,E,0.1237523245713649,0.2563324739191002
AAMDC,AAMDC,plasma,protein,E,0.1593296464363106,0.27102945984559246
AARSD1,AARSD1,plasma,protein,E,0.5995360457691497,0.44337599366322344
ABCA2,ABCA2,plasma,protein,E,0.1865269423475615,0.40279010633939105
ABHD14B,ABHD14B,plasma,protein,E,0.3884745738882527,0.3638011755752687
ABL1,ABL1,plasma,protein,E,0.4857186492133366,0.5853636697926952
ABO,ABO,plasma,protein,E,-0.2921044967147905,1.4779787125847872
ABRAXAS2,ABRAXAS2,plasma,protein,E,0.5553451911954926,0.4710943307887002
ACAA1,ACAA1,plasma,protein,E,-0.3895941676354095,1.016269747281489
ACADM,ACADM,plasma,protein,E,0.2165226029004729,0.869347351003488
ACADSB,ACADSB,plasma,protein,E,-0.0387878543779947,0.8100711107905153
ACAN,ACAN,plasma,protein,E,-0.0053904798518491,0.23028415710652408
ACE,ACE,plasma,protein,E,0.2338170699775579,0.20278076817838436
ACE2,ACE2,plasma,protein,E,0.193820293914486,0.3562711268084162
ACHE,ACHE,plasma,protein,E,0.1054407538330842,0.2324340555908173
ACOT13,ACOT13,plasma,protein,E,0.3354946622256211,1.297437412552498
ACOX1,ACOX1,plasma,protein,E,0.3830898852449457,0.4752126338011142
ACP1,ACP1,plasma,protein,E,0.1583811449364263,0.3496718102887712
ACP5,ACP5,plasma,protein,E,0.1660078985132279,0.4023852443051546
ACP6,ACP6,plasma,protein,E,0.2198366771451191,0.4348405156809285
ACRBP,ACRBP,plasma,protein,E,0.1624205549592904,0.26942565838147403
ACRV1,ACRV1,plasma,protein,E,0.247407299179107,0.3828975736622734
ACTA2,ACTA2,plasma,protein,E,1.033013760542785,0.49191119948536943
ACTN2,ACTN2,plasma,protein,E,1.0246517640992534,0.6888922456811908
ACTN4,ACTN4,plasma,protein,E,0.1778126147638894,0.37248839086378227
ACVRL1,ACVRL1,plasma,protein,E,0.3705425867082081,0.3029428776356466
ACY1,ACY1,plasma,protein,E,0.3736178838429982,0.4205939364051764
ACY3,ACY3,plasma,protein,E,0.1957662788002774,0.7149916087942828
ACYP1,ACYP1,plasma,protein,E,0.5050544424363006,0.4129926623037803
