analyte_id,U_statistic,p_value,q_value,significant,median_group1,median_group2,fold_change,n_group1,n_group2,excluded
A1BG,,,,False,0.1849248161763736,,,19,0,True
AAMDC,,,,False,0.0894656858862928,,,19,0,True
AARSD1,,,,False,0.1246290756559938,,,19,0,True
ABCA2,,,,False,0.2677869118799534,,,19,0,True
ABHD14B,,,,False,0.2097812445740758,,,19,0,True
ABL1,,,,False,0.3571351938803723,,,19,0,True
ABO,,,,False,0.0123875697220803,,,19,0,True
ABRAXAS2,,,,False,0.0405748561647775,,,19,0,True
ACAA1,,,,False,0.2979393762186462,,,19,0,True
ACADM,,,,False,-0.174438582576697,,,19,0,True
ACADSB,,,,False,0.8550954751025828,,,19,0,True
ACAN,,,,False,-0.0577798937140151,,,19,0,True
ACE,,,,False,0.0986340113047256,,,19,0,True
ACE2,,,,False,0.2993218656991588,,,19,0,True
ACHE,,,,False,-0.0993093235090162,,,19,0,True
ACOT13,,,,False,0.9487953715657916,,,19,0,True
ACOX1,,,,False,0.132951383027064,,,19,0,True
ACP1,,,,False,-0.2963673320794253,,,19,0,True
ACP5,,,,False,-0.5806403921718966,,,19,0,True
ACP6,,,,False,0.1855145209378733,,,19,0,True
ACRBP,,,,False,-0.016711360608484,,,19,0,True
ACRV1,,,,False,0.1255711712715049,,,19,0,True
ACTA2,,,,False,0.2577640965374037,,,19,0,True
ACTN2,,,,False,0.0250351785366768,,,19,0,True
ACTN4,,,,False,-0.1005140548739546,,,19,0,True
ACVRL1,,,,False,0.2837396428724691,,,19,0,True
ACY1,,,,False,0.3485054152122939,,,19,0,True
ACY3,,,,False,0.243556124954396,,,19,0,True
ACYP1,,,,False,0.1102514891173313,,,19,0,True
ADA,,,,False,-0.0332289587229647,,,19,0,True
ADA2,,,,False,0.0327054357332977,,,19,0,True
ADAM12,,,,False,-0.0072508475230217,,,19,0,True
ADAM15,,,,False,0.1430029936420065,,,19,0,True
ADAM22,,,,False,-0.0052737575225813,,,19,0,True
ADAM23,,,,False,-0.1120649346040087,,,19,0,True
ADAM8,,,,False,-0.1754447721800698,,,19,0,True
ADAM9,,,,False,0.0972131588401499,,,19,0,True
ADAMTS1,,,,False,0.0728286377060727,,,19,0,True
ADAMTS13,,,,False,-0.265531550918607,,,19,0,True
ADAMTS15,,,,False,-0.0326263978041436,,,19,0,True
ADAMTS4,,,,False,-0.026288723426676,,,19,0,True
ADAMTS8,,,,False,-0.0489203394646828,,,19,0,True
ADAMTSL2,,,,False,0.223355081867581,,,19,0,True
ADAMTSL4,,,,False,0.6467153327100469,,,19,0,True
ADAMTSL5,,,,False,0.3006742502786442,,,19,0,True
ADCYAP1R1,,,,False,-0.1018490924417569,,,19,0,True
ADD1,,,,False,-0.3177379906414836,,,19,0,True
ADGRB3,,,,False,-0.0454022240353928,,,19,0,True
ADGRD1,,,,False,0.2880551016764944,,,19,0,True
ADGRE1,,,,False,-0.0649198703049413,,,19,0,True
ADGRE2,,,,False,0.3337765920792635,,,19,0,True
ADGRE5,,,,False,0.4751316199939254,,,19,0,True
ADGRF5,,,,False,0.2384603641778233,,,19,0,True
ADGRG1,,,,False,0.2803296986924611,,,19,0,True
ADGRG2,,,,False,0.1281696119758857,,,19,0,True
ADGRV1,,,,False,0.4898579625027576,,,19,0,True
ADH1B,,,,False,-0.1055928549754439,,,19,0,True
ADH4,,,,False,-0.1583086399422493,,,19,0,True
ADM,,,,False,0.2262543997346294,,,19,0,True
ADRA2A,,,,False,0.1444667493463025,,,19,0,True
AFAP1,,,,False,-0.104139645103546,,,19,0,True
AFM,,,,False,0.2998065295358921,,,19,0,True
AFP,,,,False,0.2144124069303218,,,19,0,True
AGER,,,,False,-0.1882603154458725,,,19,0,True
AGR2,,,,False,-0.0994761103823267,,,19,0,True
AGR3,,,,False,0.4362519202419977,,,19,0,True
AGRN,,,,False,0.1152055734900535,,,19,0,True
AGRP,,,,False,0.3530899391204981,,,19,0,True
AGT,,,,False,0.0296594324081439,,,19,0,True
AGXT,,,,False,0.4256592688652288,,,19,0,True
