analyte_id,delta_comparison,W_statistic,p_value,q_value,significant,median_delta,log2fc,n_pairs,excluded
AFP,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,1.9674713937764814,0.0,22,False
INSL4,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.9823597992406079,0.0,22,False
ALPP,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,3.1835173421576375,0.0,22,False
ERVV-1,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,1.6411466250487163,0.0,22,False
FBN2,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,2.190337807337378,0.0,22,False
NECTIN4,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.7599122044280076,0.0,22,False
SUSD4,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.9613739840501072,0.0,22,False
GGT1,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,True,-0.3695431630410952,-3.802852331094326,22,False
STC2,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,True,-1.3011898177545824,-2.3822993827760266,22,False
SEMA7A,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.7031806869128818,0.0,22,False
PZP,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,True,1.6432635880574056,36.69354591684849,22,False
HSPB6,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.632116152594216,0.0,22,False
SPINT1,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,1.3450851736381289,0.0,22,False
SERPINA6,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.40924862282484875,0.0,22,False
SPINK2,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,True,-0.4285314528125977,-4.928284326730598,22,False
IGFBP4,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.7786555603688459,0.0,22,False
TFPI2,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,1.1110115004293029,0.0,22,False
DRAXIN,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,True,-0.48005044140651504,-6.508063753242821,22,False
DPEP2,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.5473141715287015,0.0,22,False
DDR1,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.7038450146721514,0.0,22,False
BTN1A1,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,1.6007340656547866,0.0,22,False
CBLN4,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,True,-0.3513632790741915,-1.7229504764694397,22,False
CCL28,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,True,1.498567740203287,36.02770560645773,22,False
LYPD3,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.5776532484565214,0.0,22,False
CD8A,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,True,-0.70062923652823,-3.1540818505819557,22,False
LIFR,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.8115863593700294,0.0,22,False
ADM,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.467401489657571,0.0,22,False
MMP12,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,True,-0.752176302852005,-2.6656553635564637,22,False
RET,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.5266668971621553,0.0,22,False
CRLF1,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,True,-1.1340216443048594,-3.1004256151076053,22,False
CSF1R,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.6440503528650456,0.0,22,False
TREML2,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.7985203487151685,0.0,22,False
PGF,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,1.9912829164790509,0.0,22,False
CSH1,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,3.4807036015413053,0.0,22,False
PCDH7,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.6172729044864693,0.0,22,False
OBP2B,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,0.8710608710752383,0.0,22,False
IGSF3,2_minus_1,0.0,4.76837158203125e-07,3.629117398648649e-05,False,1.6141751901935364,0.0,22,False
KIAA0319,2_minus_1,1.0,9.5367431640625e-07,6.24545784883721e-05,False,0.9490721343263596,0.0,22,False
ENPP5,2_minus_1,1.0,9.5367431640625e-07,6.24545784883721e-05,True,-0.37279074713682675,-4.24754064916019,22,False
PRG2,2_minus_1,1.0,9.5367431640625e-07,6.24545784883721e-05,True,1.0787246184254866,37.500004497901536,22,False
