analyte_id,delta_comparison,W_statistic,p_value,q_value,significant,median_delta,log2fc,n_pairs,excluded
INSL4,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,1.2309745964273557,0.0,50,False
SERPINA6,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,0.49557986720772873,0.0,50,False
DDR1,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,0.7771543081895033,0.0,50,False
CSH1,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,2.8508712694952005,0.0,50,False
PZP,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,True,1.6105159457338327,36.63803850153404,50,False
CSF1R,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,0.535818420221595,0.0,50,False
CRLF1,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,True,-1.0788827011276516,-2.9895022296810017,50,False
IGSF3,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,1.5526790370958294,0.0,50,False
ERVV-1,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,1.652033443277742,0.0,50,False
FBN2,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,1.8803470735188053,0.0,50,False
SPINT1,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,1.339930593155425,0.0,50,False
SUSD4,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,1.0169336208173312,0.0,50,False
PGF,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,2.0154866372558278,0.0,50,False
STC2,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,True,-1.041111892115646,-1.821087429058836,50,False
AFP,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,True,1.8835322464387065,33.9877354195382,50,False
ALPP,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,2.7622542742234044,0.0,50,False
TFPI2,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,0.9076653580010763,0.0,50,False
NECTIN4,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,0.7504988250111537,0.0,50,False
DPEP2,2_minus_1,0.0,1.7763568394002505e-15,2.6327478209216345e-13,False,0.5792534572667882,0.0,50,False
ADM,2_minus_1,1.0,3.552713678800501e-15,3.8478621998085425e-13,False,0.5043370885538242,0.0,50,False
RET,2_minus_1,1.0,3.552713678800501e-15,3.8478621998085425e-13,False,0.5337172361107229,0.0,50,False
TREML2,2_minus_1,1.0,3.552713678800501e-15,3.8478621998085425e-13,False,0.828265303334462,0.0,50,False
SEMA7A,2_minus_1,1.0,3.552713678800501e-15,3.8478621998085425e-13,False,0.7883086563077569,0.0,50,False
CGB3_CGB5_CGB8,2_minus_1,1.0,3.552713678800501e-15,3.8478621998085425e-13,True,-2.170769555025558,-40.91665003246957,50,False
KIAA0319,2_minus_1,1.0,3.552713678800501e-15,3.8478621998085425e-13,False,1.0319419582982898,0.0,50,False
ENPP5,2_minus_1,1.0,3.552713678800501e-15,3.8478621998085425e-13,True,-0.31452178758950716,-2.4677326429905517,50,False
DBH,2_minus_1,2.0,5.329070518200751e-15,5.558023177501228e-13,True,-0.4285440780633976,-2.3357577496671005,50,False
CRIM1,2_minus_1,3.0,8.881784197001252e-15,8.337034766251843e-13,False,0.5556548096716045,0.0,50,False
LYPD3,2_minus_1,3.0,8.881784197001252e-15,8.337034766251843e-13,False,0.5607055796127894,0.0,50,False
LIFR,2_minus_1,3.0,8.881784197001252e-15,8.337034766251843e-13,False,0.7540820767046039,0.0,50,False
IGFBP4,2_minus_1,4.0,1.2434497875801753e-14,1.0942358130705543e-12,False,0.6622249100847024,0.0,50,False
SHBG,2_minus_1,4.0,1.2434497875801753e-14,1.0942358130705543e-12,True,0.4149859156422986,35.158097683815754,50,False
PCDH7,2_minus_1,5.0,1.7763568394002505e-14,1.5158245029548805e-12,False,0.582906431706437,0.0,50,False
OBP2B,2_minus_1,7.0,3.375077994860476e-14,2.7154913238648858e-12,False,0.7954136228908599,0.0,50,False
CD274,2_minus_1,7.0,3.375077994860476e-14,2.7154913238648858e-12,False,0.9618899204223755,0.0,50,False
PRTG,2_minus_1,9.0,5.861977570020827e-14,4.3440339045206966e-12,False,0.4640063115814258,0.0,50,False
PRSS8,2_minus_1,9.0,5.861977570020827e-14,4.3440339045206966e-12,False,0.6140173227300836,0.0,50,False
DLK1,2_minus_1,9.0,5.861977570020827e-14,4.3440339045206966e-12,False,0.8099679323331394,0.0,50,False
LAIR2,2_minus_1,10.0,7.638334409421077e-14,5.377387424232439e-12,True,-1.3659641247679226,-3.452254959788144,50,False
IGFBP1,2_minus_1,10.0,7.638334409421077e-14,5.377387424232439e-12,True,0.9190405664846117,37.49793250217661,50,False
GGT1,2_minus_1,11.0,9.769962616701378e-14,6.710296275275874e-12,True,-0.3760598255228845,-4.041248168191482,50,False
PRG2,2_minus_1,12.0,1.2434497875801753e-13,8.337034766251842e-12,True,1.0445764625286482,37.54937959781889,50,False
CD8A,2_minus_1,13.0,1.5631940186722204e-13,1.000444171950221e-11,True,-0.5008210183652195,-1.6622280423082598,50,False
MEPE,2_minus_1,13.0,1.5631940186722204e-13,1.000444171950221e-11,True,-0.2811010196081864,-36.99884698022406,50,False
NPTX2,2_minus_1,14.0,1.9539925233402755e-13,1.2227650990502702e-11,True,-0.568974935265173,-37.76531381236853,50,False
MMP12,2_minus_1,15.0,2.433608869978343e-13,1.458094165501918e-11,True,-0.7088441108714788,-2.347517159927271,50,False
GUSB,2_minus_1,15.0,2.433608869978343e-13,1.458094165501918e-11,False,0.5996764976601042,0.0,50,False
CR2,2_minus_1,16.0,3.0020430585864233e-13,1.761198594370702e-11,True,-0.386951039398898,-4.143520879945022,50,False
MDGA1,2_minus_1,17.0,3.6770586575585185e-13,2.0709194359369576e-11,True,-0.40968260060102435,-37.63786479881253,50,False
POMC,2_minus_1,17.0,3.6770586575585185e-13,2.0709194359369576e-11,True,1.1171768459834226,34.54236668536883,50,False
CBLN4,2_minus_1,18.0,4.4941828036826337e-13,2.4814938774843716e-11,True,-0.3513632790741915,-2.52095483540081,50,False
ENPP7,2_minus_1,20.0,6.590283874174929e-13,3.4367109980882595e-11,False,0.7493091149661179,0.0,50,False
LHB,2_minus_1,20.0,6.590283874174929e-13,3.4367109980882595e-11,True,-1.4978477250416016,-8.674717810330781,50,False
FLT4,2_minus_1,20.0,6.590283874174929e-13,3.4367109980882595e-11,False,0.5774059363347505,0.0,50,False
SOD2,2_minus_1,21.0,7.94031507211912e-13,3.992844150551329e-11,True,-0.3787581913447941,-4.204960179426848,50,False
DRAXIN,2_minus_1,21.0,7.94031507211912e-13,3.992844150551329e-11,True,-0.4335087246011937,-1.9536746913285299,50,False
MEGF10,2_minus_1,22.0,9.521272659185342e-13,4.544390475977276e-11,True,-0.23975294339490377,-2.132752813138048,50,False
FGFR4,2_minus_1,22.0,9.521272659185342e-13,4.544390475977276e-11,True,-0.30501519960409545,-1.5244782020420506,50,False
NOMO1,2_minus_1,22.0,9.521272659185342e-13,4.544390475977276e-11,False,0.3490165432823257,0.0,50,False
Timepoint,2_minus_1,0.0,1.5374597944280353e-12,7.215811301848913e-11,True,1.0,1.584962500721156,50,False
SPINK2,2_minus_1,25.0,1.6058265828178264e-12,7.413127306909834e-11,True,-0.3927725995675084,-3.487275328284054,50,False
