analyte_id,delta_comparison,W_statistic,p_value,q_value,significant,median_delta,log2fc,n_pairs,excluded
KIAA0319,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,1.2955713001003106,37.143658725013736,14,False
FGFR4,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,-0.29082340732985057,-1.976587803814467,14,False
FST,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,1.351793549124428,37.094589684904555,14,False
GC,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,0.28869610709666804,37.188096354120646,14,False
GPC5,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,-0.34913437864826935,-5.52258346202647,14,False
HYAL1,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,0.5222467289145665,37.531860632458724,14,False
AFP,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,1.9316750295985483,35.585128253489586,14,False
IL10RB,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,0.3095335829154157,35.3004527700557,14,False
IL1RL2,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,-0.5059131851792221,-1.5918717422747535,14,False
LAIR2,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,-1.8751038281136811,-3.9859319231061034,14,False
LHB,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,-1.6011624766033918,-40.61674551097859,14,False
LRIG1,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,0.4662015947254514,36.163867076265745,14,False
F11,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,-0.21574021667023968,-37.08830886540546,14,False
BPIFB2,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,0.6644922884750374,37.782073827776216,14,False
CCN5,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,0.8715811633932542,38.004532670655,14,False
CGB3_CGB5_CGB8,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,-2.234971843852927,-40.939904247699594,14,False
CHL1,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,-0.21914362003915677,-1.5919897249606176,14,False
CRLF1,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,-0.8793834250184824,-1.8597319663531338,14,False
CSF1,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,0.4741039159431345,35.40773906920092,14,False
DBH,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,-0.4709504009246418,-38.222051539871565,14,False
ENPP5,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,-0.2784363464192522,-1.9085258077336382,14,False
ADAM12,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,0.6303252330893789,37.382883331138075,14,False
PZP,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,1.9258358857293496,38.93958132111861,14,False
SUSD2,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,-0.16299978505043428,-1.394968337583435,14,False
PRSS22,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,0.5213232058165149,36.05819143133846,14,False
STC2,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,-1.0154377207393135,-1.6190653037117022,14,False
SPINK1,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,0.5839168852080501,37.698819602634735,14,False
SHBG,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,0.5889309555627819,36.725183529356215,14,False
ACVRL1,2_minus_1,0.0,0.0001220703125,0.00435126582278481,True,0.26549069123980035,33.151640062594424,14,False
