analyte_id,delta_comparison,W_statistic,p_value,q_value,significant,median_delta,log2fc,n_pairs,excluded
RSPO3,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,-0.1449627845138547,-32.808587830501985,15,False
DLK1,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,1.2731651932637624,38.441000913981824,15,False
SPINT1,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.9802033552261135,37.949269031055856,15,False
TNXB,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,-0.182389759373216,-3.21147730632323,15,False
GPC5,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,-0.30813933575085944,-3.2738951862445087,15,False
MAN1A2,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.5627156227550144,37.40139059689248,15,False
BGN,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.7835107502175408,32.73154262189009,15,False
GDF15,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,False,0.9178833750696117,0.0,15,False
DRAXIN,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,-0.3851882056851055,-36.76996041113179,15,False
STC2,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,-1.4820212268662283,-39.69429641592311,15,False
TINAGL1,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.8102237099946705,38.41381708383106,15,False
LAIR2,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,-1.174907178779434,-38.18537835702707,15,False
ERVV-1,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,1.041298645216399,37.41072275577951,15,False
CD200,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.5989242174091901,37.46921025162697,15,False
FLT4,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.9183326713087068,38.21819285688324,15,False
TFRC,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.27519255432943235,34.902075351719816,15,False
FAM171B,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.4939281721827744,36.74241632840362,15,False
FBN2,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.8899991231931816,38.74528512491757,15,False
TFF3,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.7600800724281571,36.518417643945504,15,False
OBP2B,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,False,0.5190016689703121,0.0,15,False
ISM2,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,-0.5530120538237917,-37.932437596594994,15,False
SDC1,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,1.5671020477578104,38.99842247652442,15,False
IGSF3,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,1.4546032292380362,38.77437985572651,15,False
SGSH,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.9283359183227862,37.42498266374594,15,False
MMP12,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,-0.5548891580026901,-36.30008364032109,15,False
DDR1,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,1.015841052061161,38.34876107308898,15,False
CSF1R,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.6947167472849713,37.26328501598273,15,False
CSF2RA,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.650060693773848,37.878251434059976,15,False
LTBP3,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,1.0905695371392992,36.770766225903,15,False
NECTIN4,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.8091807526152308,37.69590474085014,15,False
CSF3R,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,1.417561891312285,39.343458299785624,15,False
CSH1,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,1.1867325493020109,37.618795722374244,15,False
NRCAM,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,0.8034060011363244,37.869990817866764,15,False
HGFAC,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,-0.40948343073796856,-37.04220307468492,15,False
CRH,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,3.439649355381767,40.60010152131268,15,False
SIGLEC6,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,1.552230846516448,37.46620922067666,15,False
INSL4,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,True,1.0121711500045194,37.554125145819555,15,False
HSPB6,3_minus_2,0.0,6.103515625e-05,0.004523026315789474,False,0.6305450011957605,0.0,15,False
PGLYRP2,3_minus_2,1.0,0.0001220703125,0.005456349206349206,False,-0.18308960913111258,0.0,15,False
TFPI2,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.7330755407301205,37.63721447892916,15,False
C1QTNF6,3_minus_2,1.0,0.0001220703125,0.005456349206349206,False,0.5773904139430172,0.0,15,False
PCDH7,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.8041849173781448,37.1726183940706,15,False
KIT,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,-0.3015309962640965,-36.94025737307225,15,False
TREML2,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.7226851063544495,37.88695381414584,15,False
TREH,3_minus_2,1.0,0.0001220703125,0.005456349206349206,False,0.5798998423203332,0.0,15,False
GRN,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.8294447717863855,38.05954005225689,15,False
OLR1,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.8852030899768395,36.7451987591624,15,False
AFP,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.22206627064582027,6.371826751158557,15,False
Timepoint,3_minus_2,0.0,0.00010751117672950054,0.005456349206349206,True,1.0,1.222392421336448,15,False
ALPP,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,1.3670917987583384,39.41312627561627,15,False
ENPP5,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,-0.1746014143816689,-36.585010427298556,15,False
CCDC80,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,-0.27632732443408914,-37.55877441803333,15,False
CRIM1,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.8503589175066211,37.6376553487791,15,False
SEMA7A,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,1.1253227884156234,37.963164450152405,15,False
PRSS8,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.7037729462340143,37.20576438598987,15,False
SLC39A5,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.443357969085152,34.765666394531955,15,False
DPEP2,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.6807350881423706,36.346641442655034,15,False
PRTG,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.6716073749430499,38.25564141427791,15,False
CD274,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.8933478828214649,38.61603851199216,15,False
LIFR,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.5474983266465079,36.490005596375674,15,False
CSF2RB,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.8174231564438383,38.043339469557104,15,False
CD8A,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,-0.6904689280115566,-38.32863389302783,15,False
LYPD3,3_minus_2,1.0,0.0001220703125,0.005456349206349206,True,0.5491428809866303,35.51248693190251,15,False
ACTA2,3_minus_2,2.0,0.00018310546875,0.006967905405405405,False,0.3886943900138573,0.0,15,False
DAG1,3_minus_2,2.0,0.00018310546875,0.006967905405405405,True,0.7725573307028315,37.47309750888616,15,False
TNFSF12,3_minus_2,2.0,0.00018310546875,0.006967905405405405,True,-0.374808840914697,-37.268241703562666,15,False
TPP1,3_minus_2,2.0,0.00018310546875,0.006967905405405405,True,0.5389943235807289,36.27430504870347,15,False
B4GALT1,3_minus_2,2.0,0.00018310546875,0.006967905405405405,True,0.315587234992559,36.34080837407087,15,False
LGMN,3_minus_2,2.0,0.00018310546875,0.006967905405405405,True,0.5094606789052172,37.11344812410392,15,False
HS6ST2,3_minus_2,2.0,0.00018310546875,0.006967905405405405,True,0.4219005506666955,37.68696922195718,15,False
ARTN,3_minus_2,2.0,0.00018310546875,0.006967905405405405,True,0.6127335202274896,37.10263817706838,15,False
CRLF1,3_minus_2,2.0,0.00018310546875,0.006967905405405405,True,-0.8265764136745866,-38.60063286032882,15,False
TGFB1,3_minus_2,2.0,0.00018310546875,0.006967905405405405,True,0.9127910372525015,38.55449785790744,15,False
HRG,3_minus_2,2.0,0.00018310546875,0.006967905405405405,True,-0.5062579772804077,-37.30024746595921,15,False
COL2A1,3_minus_2,3.0,0.00030517578125,0.010353915662650601,True,-0.3567894563931433,-8.477312430963364,15,False
MYL3,3_minus_2,3.0,0.00030517578125,0.010353915662650601,False,0.7648973143263367,0.0,15,False
