analyte_id,delta_comparison,W_statistic,p_value,q_value,significant,median_delta,log2fc,n_pairs,excluded
A1BG,5_minus_4,,,,False,0.07481192129392479,,4,True
AAMDC,5_minus_4,,,,False,0.2017274343547219,,4,True
AARSD1,5_minus_4,,,,False,-0.011791892193674179,,4,True
ABCA2,5_minus_4,,,,False,-0.26480909736449126,,4,True
ABHD14B,5_minus_4,,,,False,-0.021284310558224717,,4,True
ABL1,5_minus_4,,,,False,0.14622767538330492,,4,True
ABO,5_minus_4,,,,False,0.5913464386225901,,4,True
ABRAXAS2,5_minus_4,,,,False,0.22644887666688399,,4,True
ACAA1,5_minus_4,,,,False,-0.5036314986859457,,4,True
ACADM,5_minus_4,,,,False,0.3835387741585526,,4,True
ACADSB,5_minus_4,,,,False,0.23237484085411417,,4,True
ACAN,5_minus_4,,,,False,0.08386254838626467,,4,True
ACE,5_minus_4,,,,False,0.15066019544281428,,4,True
ACE2,5_minus_4,,,,False,0.44948120703128785,,4,True
ACHE,5_minus_4,,,,False,0.04898009683417044,,4,True
ACOT13,5_minus_4,,,,False,0.25871251247651217,,4,True
ACOX1,5_minus_4,,,,False,0.7415083951126884,,4,True
ACP1,5_minus_4,,,,False,-0.20561819530551687,,4,True
ACP5,5_minus_4,,,,False,0.3861719458803718,,4,True
ACP6,5_minus_4,,,,False,-0.04547055580081416,,4,True
ACRBP,5_minus_4,,,,False,0.13081330793555596,,4,True
ACRV1,5_minus_4,,,,False,0.03886909823437956,,4,True
ACTA2,5_minus_4,,,,False,0.6894075511434514,,4,True
ACTN2,5_minus_4,,,,False,1.0442181329484543,,4,True
ACTN4,5_minus_4,,,,False,-0.11989382812932284,,4,True
ACVRL1,5_minus_4,,,,False,0.08386411698500812,,4,True
ACY1,5_minus_4,,,,False,0.5262489632574454,,4,True
ACY3,5_minus_4,,,,False,0.132753685920147,,4,True
ACYP1,5_minus_4,,,,False,0.5887741427941634,,4,True
ADA,5_minus_4,,,,False,0.06189256842431681,,4,True
ADA2,5_minus_4,,,,False,0.04620485296192306,,4,True
ADAM12,5_minus_4,,,,False,0.04568367078681375,,4,True
ADAM15,5_minus_4,,,,False,0.20872693418128874,,4,True
ADAM22,5_minus_4,,,,False,-0.0960261167157746,,4,True
ADAM23,5_minus_4,,,,False,-0.1270635984930428,,4,True
ADAM8,5_minus_4,,,,False,0.0,,4,True
ADAM9,5_minus_4,,,,False,0.33741117411103083,,4,True
ADAMTS1,5_minus_4,,,,False,0.24082935424590562,,4,True
ADAMTS13,5_minus_4,,,,False,-0.03712615608375905,,4,True
ADAMTS15,5_minus_4,,,,False,0.34624228632461396,,4,True
ADAMTS4,5_minus_4,,,,False,0.8542195923787965,,4,True
ADAMTS8,5_minus_4,,,,False,0.3717917835969399,,4,True
ADAMTSL2,5_minus_4,,,,False,0.5343748315624061,,4,True
ADAMTSL4,5_minus_4,,,,False,0.34327166526240016,,4,True
ADAMTSL5,5_minus_4,,,,False,-0.156496864507519,,4,True
ADCYAP1R1,5_minus_4,,,,False,-0.19349076355647649,,4,True
ADD1,5_minus_4,,,,False,0.39045618879559935,,4,True
ADGRB3,5_minus_4,,,,False,-0.13509875228652843,,4,True
ADGRD1,5_minus_4,,,,False,0.303739372083926,,4,True
ADGRE1,5_minus_4,,,,False,0.06360443377665417,,4,True
ADGRE2,5_minus_4,,,,False,0.15745347256247355,,4,True
ADGRE5,5_minus_4,,,,False,0.28920798611488086,,4,True
ADGRF5,5_minus_4,,,,False,0.5315542770955052,,4,True
ADGRG1,5_minus_4,,,,False,0.22015907337558094,,4,True
ADGRG2,5_minus_4,,,,False,0.3063982458732903,,4,True
ADGRV1,5_minus_4,,,,False,-0.5244360416691651,,4,True
ADH1B,5_minus_4,,,,False,0.2625599305427272,,4,True
ADH4,5_minus_4,,,,False,0.37308421568408845,,4,True
ADM,5_minus_4,,,,False,0.09208569802560809,,4,True
ADRA2A,5_minus_4,,,,False,0.3201118651002384,,4,True
AFAP1,5_minus_4,,,,False,0.13119012890773718,,4,True
AFM,5_minus_4,,,,False,0.18705925038053062,,4,True
AFP,5_minus_4,,,,False,0.09670673839218584,,4,True
AGER,5_minus_4,,,,False,-0.06875802659126734,,4,True
AGR2,5_minus_4,,,,False,0.7515757684811007,,4,True
AGR3,5_minus_4,,,,False,-0.05395325870558543,,4,True
AGRN,5_minus_4,,,,False,0.27237728276825635,,4,True
AGRP,5_minus_4,,,,False,-0.10192289678413274,,4,True
AGT,5_minus_4,,,,False,-0.13394021719722235,,4,True
AGXT,5_minus_4,,,,False,1.1639338425091053,,4,True
AHCY,5_minus_4,,,,False,0.7150684137699506,,4,True
AHNAK,5_minus_4,,,,False,0.2805106108306821,,4,True
AHNAK2,5_minus_4,,,,False,0.2759329128989938,,4,True
AHSA1,5_minus_4,,,,False,0.8124115732120825,,4,True
AHSG,5_minus_4,,,,False,-0.09029582170577796,,4,True
AHSP,5_minus_4,,,,False,1.3612875702961422,,4,True
AIDA,5_minus_4,,,,False,-0.8538151541974073,,4,True
AIF1,5_minus_4,,,,False,-0.05642806770656844,,4,True
AIF1L,5_minus_4,,,,False,0.5674883372538884,,4,True
AIFM1,5_minus_4,,,,False,0.09155602449722344,,4,True
AK1,5_minus_4,,,,False,0.9673093503743933,,4,True
AK2,5_minus_4,,,,False,-0.05572387914093434,,4,True
AKAP12,5_minus_4,,,,False,0.1143066888624055,,4,True
AKR1B1,5_minus_4,,,,False,0.10863350929262622,,4,True
AKR1B10,5_minus_4,,,,False,-0.38953972543944093,,4,True
AKR1C4,5_minus_4,,,,False,-0.08305976876417306,,4,True
AKR7L,5_minus_4,,,,False,0.125062012845161,,4,True
AKT1S1,5_minus_4,,,,False,-0.11811140507479012,,4,True
AKT2,5_minus_4,,,,False,-0.36764480203098543,,4,True
AKT3,5_minus_4,,,,False,-0.15719633922669884,,4,True
ALCAM,5_minus_4,,,,False,-0.26869923937564943,,4,True
ALDH1A1,5_minus_4,,,,False,0.5471026137080142,,4,True
ALDH2,5_minus_4,,,,False,0.21033724652675007,,4,True
ALDH3A1,5_minus_4,,,,False,-0.6029227050846435,,4,True
ALDH5A1,5_minus_4,,,,False,-0.24197442445757408,,4,True
ALMS1,5_minus_4,,,,False,1.0114315551055015,,4,True
ALPI,5_minus_4,,,,False,0.0970792546034043,,4,True
ALPP,5_minus_4,,,,False,-0.20142523607953583,,4,True
AMBN,5_minus_4,,,,False,0.3623823351836872,,4,True
AMBP,5_minus_4,,,,False,-0.00702065400751388,,4,True
AMDHD2,5_minus_4,,,,False,0.35588561317921663,,4,True
AMFR,5_minus_4,,,,False,0.0720528332051743,,4,True
AMIGO1,5_minus_4,,,,False,0.8717650388070126,,4,True
AMIGO2,5_minus_4,,,,False,-0.008791273846081499,,4,True
AMN,5_minus_4,,,,False,0.07248704655134859,,4,True
AMOT,5_minus_4,,,,False,-0.11086597968931794,,4,True
AMOTL2,5_minus_4,,,,False,0.35815633085117365,,4,True
AMPD3,5_minus_4,,,,False,0.15335402465114212,,4,True
AMY1A_AMY1B_AMY1C,5_minus_4,,,,False,0.04953075771662924,,4,True
AMY2A,5_minus_4,,,,False,0.022897615366256507,,4,True
AMY2B,5_minus_4,,,,False,0.12451527859397961,,4,True
ANG,5_minus_4,,,,False,0.09089730543441643,,4,True
ANGPT1,5_minus_4,,,,False,1.573309148190579,,4,True
ANGPT2,5_minus_4,,,,False,-0.3806706866828139,,4,True
ANGPTL1,5_minus_4,,,,False,0.6922915607675372,,4,True
ANGPTL2,5_minus_4,,,,False,-0.051372407591267696,,4,True
ANGPTL3,5_minus_4,,,,False,0.5422963147436363,,4,True
ANGPTL4,5_minus_4,,,,False,0.4345419250869731,,4,True
ANK2,5_minus_4,,,,False,-0.42801281088410614,,4,True
ANKMY2,5_minus_4,,,,False,-0.3167820034768557,,4,True
ANKRA2,5_minus_4,,,,False,1.3079444535392382,,4,True
ANKRD54,5_minus_4,,,,False,0.2703315050765175,,4,True
ANP32C,5_minus_4,,,,False,0.04228074368573283,,4,True
ANPEP,5_minus_4,,,,False,0.05330990212029021,,4,True
ANXA1,5_minus_4,,,,False,0.07609079962136045,,4,True
ANXA10,5_minus_4,,,,False,0.16953882702113987,,4,True
ANXA11,5_minus_4,,,,False,-0.08560807164997941,,4,True
ANXA2,5_minus_4,,,,False,0.5797748720061107,,4,True
ANXA3,5_minus_4,,,,False,0.25773249400590414,,4,True
ANXA4,5_minus_4,,,,False,0.33878688724070893,,4,True
ANXA5,5_minus_4,,,,False,0.3476333407434842,,4,True
AOC1,5_minus_4,,,,False,0.01859564660223123,,4,True
AOC3,5_minus_4,,,,False,0.012401261320228292,,4,True
AP1G2,5_minus_4,,,,False,0.5214486291932612,,4,True
