analyte_id,U_statistic,p_value,q_value,significant,median_group1,median_group2,fold_change,n_group1,n_group2,excluded
A1BG,,,,False,-0.02270382634658275,,,44,0,True
AAMDC,,,,False,-0.15731981263300432,,,44,0,True
AARSD1,,,,False,-0.4498673341044041,,,44,0,True
ABCA2,,,,False,-0.13622930325480526,,,44,0,True
ABHD14B,,,,False,-0.2674394045437752,,,44,0,True
ABL1,,,,False,-0.2836440770020103,,,44,0,True
ABO,,,,False,0.01720244949747045,,,44,0,True
ABRAXAS2,,,,False,-0.2592580599684206,,,44,0,True
ACAA1,,,,False,-0.1145379424413219,,,44,0,True
ACADM,,,,False,-0.23905722435540436,,,44,0,True
ACADSB,,,,False,-0.28169345344172025,,,44,0,True
ACAN,,,,False,-0.0055295350115737,,,44,0,True
ACE,,,,False,-0.00011480723945959991,,,44,0,True
ACE2,,,,False,-0.16339738943854765,,,44,0,True
ACHE,,,,False,0.07799968489216194,,,44,0,True
ACOT13,,,,False,-0.4164324944943584,,,44,0,True
ACOX1,,,,False,-0.0853942517257999,,,44,0,True
ACP1,,,,False,-0.22910184825267585,,,44,0,True
ACP5,,,,False,-0.22309903028050293,,,44,0,True
ACP6,,,,False,-0.09010415053789825,,,44,0,True
ACRBP,,,,False,-0.2000660594328792,,,44,0,True
ACRV1,,,,False,0.045455045158050794,,,44,0,True
ACTA2,,,,False,-0.2773889382349932,,,44,0,True
ACTN2,,,,False,-0.23157591804878191,,,44,0,True
ACTN4,,,,False,-0.168424596130065,,,44,0,True
ACVRL1,,,,False,-0.2116540507218751,,,44,0,True
ACY1,,,,False,-0.09200677663373219,,,44,0,True
ACY3,,,,False,-0.052342876469764696,,,44,0,True
ACYP1,,,,False,-0.40589507020247806,,,44,0,True
ADA,,,,False,-0.20889616134964017,,,44,0,True
ADA2,,,,False,-0.11203506619084484,,,44,0,True
ADAM12,,,,False,0.1023299482098733,,,44,0,True
ADAM15,,,,False,-0.0181129444882999,,,44,0,True
ADAM22,,,,False,-0.049618556709128694,,,44,0,True
ADAM23,,,,False,0.0360290209976292,,,44,0,True
ADAM8,,,,False,-0.1271516943689021,,,44,0,True
ADAM9,,,,False,-0.1195994964270288,,,44,0,True
ADAMTS1,,,,False,-0.020558387373672198,,,44,0,True
ADAMTS13,,,,False,0.0176096665803411,,,44,0,True
ADAMTS15,,,,False,-0.0867274430379185,,,44,0,True
ADAMTS4,,,,False,-0.010096575029651,,,44,0,True
ADAMTS8,,,,False,-0.03318034845367845,,,44,0,True
ADAMTSL2,,,,False,-0.2215870201384577,,,44,0,True
ADAMTSL4,,,,False,-0.18973714916811604,,,44,0,True
ADAMTSL5,,,,False,-0.11597144432522866,,,44,0,True
ADCYAP1R1,,,,False,-0.00010276805129635002,,,44,0,True
ADD1,,,,False,-0.3783455972611628,,,44,0,True
ADGRB3,,,,False,0.10380969484950464,,,44,0,True
ADGRD1,,,,False,-0.00485620815570245,,,44,0,True
ADGRE1,,,,False,-0.12213364070104606,,,44,0,True
ADGRE2,,,,False,-0.16990003269056386,,,44,0,True
ADGRE5,,,,False,-0.1369648760378954,,,44,0,True
ADGRF5,,,,False,-0.21866142006561215,,,44,0,True
ADGRG1,,,,False,-0.18499602910807972,,,44,0,True
ADGRG2,,,,False,-0.18903443578030985,,,44,0,True
ADGRV1,,,,False,-0.34935398187254346,,,44,0,True
ADH1B,,,,False,-0.2420398487077495,,,44,0,True
ADH4,,,,False,-0.3130636500840639,,,44,0,True
ADM,,,,False,-0.08676445047963541,,,44,0,True
ADRA2A,,,,False,0.03568142573479015,,,44,0,True
AFAP1,,,,False,-0.0443888017837509,,,44,0,True
AFM,,,,False,-0.09540709064509084,,,44,0,True
AFP,,,,False,-0.10755879005547031,,,44,0,True
AGER,,,,False,0.06606688765744109,,,44,0,True
AGR2,,,,False,0.245161975741885,,,44,0,True
AGR3,,,,False,-0.2474083228941532,,,44,0,True
AGRN,,,,False,-0.22661788582205175,,,44,0,True
AGRP,,,,False,-0.0759847245950584,,,44,0,True
AGT,,,,False,0.040798614602801,,,44,0,True
