analyte_id,delta_comparison,W_statistic,p_value,q_value,significant,median_delta,log2fc,n_pairs,excluded
HSPB6,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,0.6892092308872033,0.0,25,False
ERVV-1,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,1.6156270491436298,0.0,25,False
FBN2,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,2.211292333978415,0.0,25,False
PZP,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,True,1.644110153324414,34.39418707660647,25,False
MMP12,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,True,-0.7395720697347481,-2.793260587414217,25,False
GGT1,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,True,-0.3841761344938272,-5.555281679540884,25,False
STC2,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,True,-1.226653674547498,-2.2306449600764404,25,False
RET,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,0.5323364890540391,0.0,25,False
SPINT1,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,1.3593513862872286,0.0,25,False
IGFBP4,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,0.7612800434775471,0.0,25,False
AFP,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,1.969299925480196,0.0,25,False
IGSF3,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,1.619676066322834,0.0,25,False
INSL4,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,0.9998423879936811,0.0,25,False
LIFR,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,0.8008460599267104,0.0,25,False
LYPD3,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,0.5560774775878431,0.0,25,False
ALPP,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,3.075312823393766,0.0,25,False
SERPINA6,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,0.42859272316516683,0.0,25,False
NECTIN4,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,0.7753545852031075,0.0,25,False
TFPI2,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,1.0756564961744615,0.0,25,False
DRAXIN,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,True,-0.4743549902394504,-5.256410319102052,25,False
SUSD4,2_minus_1,0.0,5.960464477539063e-08,5.245208740234375e-06,False,0.9681015836585756,0.0,25,False
