analyte_id,delta_comparison,W_statistic,p_value,q_value,significant,median_delta,log2fc,n_pairs,excluded
Timepoint,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,1.0,1.584962500721156,11,False
DBH,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.38040211112701583,-1.201898226952735,11,False
PGF,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,2.266856702281961,37.433894945367804,11,False
PZP,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,1.2799137256932145,32.78980028005965,11,False
ROBO2,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.310149850996822,-36.5906560374021,11,False
CRLF1,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-1.0564152633953263,-4.328513913882559,11,False
SERPINA6,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,0.6395898923094956,35.03758261581291,11,False
AFP,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,1.2912917285030028,33.383157807511665,11,False
RECK,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.13047775218349228,-35.67608644799856,11,False
DRAXIN,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.2048249233929178,-0.6209087121880648,11,False
ANGPT2,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.2320761230340106,-1.7012572789359117,11,False
IGFBP1,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,0.6359023422085304,37.579011479765036,11,False
ITGBL1,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.23498431612093973,-2.3276615702025074,11,False
KIAA0319,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,0.9257814125670972,35.50674532116066,11,False
KIT,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.4124367085293007,-38.21520756646713,11,False
HRG,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.3471515650596078,-1.7294715613877125,11,False
LAIR2,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-1.3510127514566128,-4.782387084429804,11,False
HGFAC,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.43083104966292596,-38.27279676280946,11,False
GZMH,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.3985153274068177,-33.62047897088441,11,False
GGT1,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.31537691512214217,-37.752898571306204,11,False
F7,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,0.39839152605028993,35.785093251107426,11,False
EPHB4,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,0.25029107492766,33.76697281757048,11,False
ENPP5,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.30799445299144035,-3.4860660171094695,11,False
PRG2,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,0.975574384193606,37.13097980426161,11,False
CGB3_CGB5_CGB8,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-2.4612381290975085,-40.67385868479581,11,False
STC2,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-1.019307522544413,-2.211798862897686,11,False
CHAD,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.49633538927649157,-36.96241993564891,11,False
CD101,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,-0.1124780813948475,-34.549127390611424,11,False
ACP6,2_minus_1,0.0,0.0009765625,0.039285714285714285,True,0.22282406627173,2.51098027674898,11,False
