,analyte_ID,n_patients_elevated_at_earliest,percent_elevated_at_earliest,n_patient_elevated_at_first_two,percent_elevated_at_first_two,mean_MAD_score_at_earliest,mean_MAD_score_at_first_two
65,3-(dimethylamino)-1-(2-pyridyl)prop-2-en-1-one_POS,15,1.0,15,1.0,68.01211726195119,68.01211726195119
40,morpholino(quinolin-6-yl)methanone_POS,10,1.0,7,0.7,4.957983375084405,5.244254043289045
68,n867_NEG,12,1.0,8,0.6666666666666666,16.053210452376145,15.120104453941774
48,p3534_POS,29,1.0,19,0.6551724137931034,5.517215355447888,5.771351865071994
44,p4133_POS,14,1.0,9,0.6428571428571429,5.5404458684418945,5.404737707415634
31,p4603_POS,11,1.0,7,0.6363636363636364,6.399015772807423,6.08410186260822
12,p2327_POS,10,1.0,6,0.6,20.219841368679933,22.179784072752792
30,p4716_POS,15,1.0,9,0.6,6.702920663050691,7.271788714773196
43,p3294_POS,15,1.0,9,0.6,7.05337491134105,7.104681244926528
51,p3019_POS,12,1.0,7,0.5833333333333334,7.128361827672613,7.579846944513403
72,D-Raffinose_POS,12,1.0,7,0.5833333333333334,4.078693345078572,4.269845308053901
70,p3017_POS,14,1.0,8,0.5714285714285714,6.9325634125689914,6.880530204708193
64,p3584_POS,22,1.0,12,0.5454545454545454,7.934103812340732,7.817895918628089
18,p4955_POS,13,1.0,6,0.46153846153846156,5.308197886165568,5.212141816917032
55,p4134_POS,13,1.0,6,0.46153846153846156,5.84099246176525,5.706924569579148
74,p4531_POS,11,1.0,5,0.45454545454545453,6.600309911639712,6.487487557873233
38,p3162_POS,20,1.0,9,0.45,5.177072643835344,5.048535982887295
36,L-Histidine_POS,16,1.0,7,0.4375,5.500578844835919,5.69476989883536
5,p1452_POS,14,1.0,6,0.42857142857142855,4.378357095465966,4.192480963568126
42,Tetramethylene sulfoxide_POS,27,1.0,11,0.4074074074074074,11.387499985147063,10.590929123050433
52,p1734_POS,13,1.0,5,0.38461538461538464,4.900379570882141,5.75142288691057
27,p4530_POS,11,1.0,4,0.36363636363636365,6.350375471070451,7.189674175077674
2,p4974_POS,10,1.0,3,0.3,9.505670148304809,7.7503591315552995
16,p2967_POS,10,1.0,3,0.3,5.77409823545395,6.134087521521394
54,p4505_POS,10,1.0,3,0.3,4.406575139701552,4.421367539990087
73,p2202_POS,10,1.0,3,0.3,10.285885608591302,10.207522893605896
23,p1754_POS,14,1.0,4,0.2857142857142857,4.654140879208129,4.277819729332505
14,p4616_POS,10,1.0,2,0.2,37.591495864810256,50.04681538358987
20,p5527_POS,15,1.0,3,0.2,5.798349588470151,5.606904396967265
