,analyte_ID,n_patients_affected,mean_outlier_timepoints_per_patient_affected,mean_proportion_timepoints,max_consecutive_timepoints
100,p1647_POS,6,3.5,0.9545454545454546,"['A', 'B', 'C', 'D', 'E']"
170,Cotinine N-oxide_POS,8,3.5,0.9333333333333333,"['B', 'C', 'D']"
294,3-(dimethylamino)-1-(2-pyridyl)prop-2-en-1-one_POS,15,3.2,0.9230769230769231,"['A', 'B', 'C', 'D']"
119,p2503_POS,7,2.857142857142857,0.8695652173913044,[]
93,Ritodrine_POS,6,3.1666666666666665,0.8636363636363636,"['A', 'B', 'C', 'D', 'E']"
190,morpholino(quinolin-6-yl)methanone_POS,10,3.1,0.8611111111111112,"['B', 'C']"
266,p2652_POS,7,2.857142857142857,0.8333333333333334,[]
159,p4841_POS,5,2.8,0.8235294117647058,"['C', 'D']"
64,p2292_POS,21,3.238095238095238,0.8192771084337349,"['C', 'D']"
6,p5015_POS,30,3.2333333333333334,0.8151260504201681,"['B', 'C', 'D']"
154,p3343_POS,5,2.6,0.8125,"['A', 'B', 'C']"
105,p2967_POS,10,2.6,0.8125,[]
226,p3416_POS,6,2.8333333333333335,0.8095238095238095,[]
29,δ-Valerolactam_POS,6,3.0,0.7826086956521738,"['A', 'B', 'C']"
275,p2205_POS,6,3.0,0.7826086956521738,"['A', 'B', 'C']"
300,n867_NEG,12,2.75,0.7674418604651162,"['A', 'B', 'C']"
244,p3493_POS,6,2.6666666666666665,0.7619047619047619,[]
36,p1452_POS,14,2.5,0.7608695652173914,[]
269,p5660_POS,8,2.75,0.7586206896551724,[]
66,p5038_POS,7,2.5714285714285716,0.7500000000000001,[]
53,NP-020240_POS,7,2.5714285714285716,0.7500000000000001,"['A', 'B', 'C']"
60,Ethyl N2-acetyl-L-argininate_POS,8,2.625,0.75,"['A', 'B']"
343,p5296_POS,5,3.0,0.75,"['C', 'D']"
162,4-Nitrophenyl beta-D-xyloside_POS,15,2.6666666666666665,0.7407407407407407,"['B', 'C']"
338,p5160_POS,7,2.857142857142857,0.7407407407407407,"['B', 'C']"
194,tetrahomomethionine_POS,6,2.3333333333333335,0.736842105263158,"['A', 'B']"
228,n3023_NEG,9,2.7777777777777777,0.7352941176470588,"['D', 'E']"
240,p3019_POS,12,3.0,0.7346938775510204,"['B', 'C', 'D', 'E']"
156,p4527_POS,7,2.7142857142857144,0.7307692307692307,"['A', 'B', 'C']"
198,p5769_POS,7,2.7142857142857144,0.7307692307692307,"['A', 'B', 'C', 'D']"
9,p3473_POS,6,2.6666666666666665,0.7272727272727273,[]
73,p1072_POS,5,2.6,0.7222222222222222,"['A', 'B', 'C', 'D']"
97,p5485_POS,5,2.6,0.7222222222222222,[]
264,p5097_POS,14,2.9285714285714284,0.7192982456140351,"['B', 'C', 'D']"
261,p944_POS,12,2.75,0.717391304347826,"['A', 'B']"
210,p4133_POS,14,2.857142857142857,0.7142857142857143,"['B', 'C', 'D']"
129,"3-(2-methylpropyl)-octahydropyrrolo[1,2-a]pyrazine-1,4-dione_POS",13,2.4615384615384617,0.7111111111111111,"['A', 'B']"
284,p3584_POS,22,2.772727272727273,0.7093023255813954,[]
329,D-Raffinose_POS,12,2.8333333333333335,0.7083333333333334,"['A', 'B']"
147,p167_POS,5,2.4,0.7058823529411765,"['A', 'B', 'C']"
26,p4965_POS,7,2.7142857142857144,0.7037037037037037,[]
65,Dinorcapsaicin_POS,5,2.8,0.7,[]
195,Tetramethylene sulfoxide_POS,27,2.6666666666666665,0.6990291262135921,[]
75,"4-methoxyphenyl 3,5-dimethyl-1-phenyl-1H-pyrazole-4-carboxylate_POS",7,2.5714285714285716,0.6923076923076923,"['A', 'B', 'C']"
82,p5686_POS,7,2.5714285714285716,0.6923076923076923,"['A', 'B', 'C']"
289,p5101_POS,7,2.5714285714285716,0.6923076923076923,"['A', 'B', 'C']"
79,"2-Methyl-N-(3-morpholinopropyl)-1,5-diphenyl-1H-pyrrole-3-carboxamide_POS",8,2.75,0.6875,[]
251,n802_NEG,5,2.2,0.6875,"['C', 'D']"
342,p813_POS,5,2.2,0.6875,"['A', 'B', 'C']"
292,Acetazolamide_NEG,5,2.2,0.6875,[]
