,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
D3-Creatinine-ISTD_POS,D3-Creatinine-ISTD_POS,plasma,MTBL,B,24.50094642183047,0.09235114244766152
p3823_POS,p3823_POS,plasma,MTBL,B,14.459581179490497,0.35409173082610224
p1690_POS,p1690_POS,plasma,MTBL,B,21.619919589561952,0.17955632574489755
p5795_POS,p5795_POS,plasma,MTBL,B,14.011141777095862,0.05558538878668262
p2942_POS,p2942_POS,plasma,MTBL,B,14.777951844878386,0.06827791245272241
"N-(1,3-benzodioxol-5-yl)-2-methyl-5-(piperidinosulfonyl)-3-furamide_POS","N-(1,3-benzodioxol-5-yl)-2-methyl-5-(piperidinosulfonyl)-3-furamide_POS",plasma,MTBL,B,13.630676262928162,0.15329509913538608
"N1-(alpha-D-ribosyl)-5,6-dimethyl-benzimidazole_POS","N1-(alpha-D-ribosyl)-5,6-dimethyl-benzimidazole_POS",plasma,MTBL,B,16.877737319384877,0.6671984260886248
p3174_POS,p3174_POS,plasma,MTBL,B,15.477706101784225,0.13320015237110905
Methoxsalen_POS,Methoxsalen_POS,plasma,MTBL,B,14.943471826505549,0.1991884055981119
n3688_NEG,n3688_NEG,plasma,MTBL,B,11.973370155502927,0.156536634374846
p555_POS,p555_POS,plasma,MTBL,B,23.020559982912953,0.17376322298150093
"[6,7-dimethoxy-1-methyl-3,4-dihydro-2(1H)-isoquinolinyl](5-methyl-3-isoxazolyl)methanone_POS","[6,7-dimethoxy-1-methyl-3,4-dihydro-2(1H)-isoquinolinyl](5-methyl-3-isoxazolyl)methanone_POS",plasma,MTBL,B,13.56346661853213,0.07954924478203207
p5019_POS,p5019_POS,plasma,MTBL,B,15.6853169711025,0.12535068682207484
p3144_POS,p3144_POS,plasma,MTBL,B,18.649833541487034,0.2383522961251252
n2600_NEG,n2600_NEG,plasma,MTBL,B,16.34621064815699,0.3682220472120239
Caprolactam_POS,Caprolactam_POS,plasma,MTBL,B,19.048892712447163,0.6050686896816586
p5568_POS,p5568_POS,plasma,MTBL,B,11.334186112993402,0.04269485640517434
p1608_POS,p1608_POS,plasma,MTBL,B,20.400680487239157,0.1809681733081323
p5015_POS,p5015_POS,plasma,MTBL,B,11.932910483109161,0.13550436631543672
p281_POS,p281_POS,plasma,MTBL,B,24.207249775852144,0.09542721734254656
Glucuronic acid sulfate_NEG,Glucuronic acid sulfate_NEG,plasma,MTBL,B,9.850393606978628,0.026490496585943824
p98_POS,p98_POS,plasma,MTBL,B,26.281298549500267,0.1952127988971739
p851_POS,p851_POS,plasma,MTBL,B,18.530196239770675,0.4855042999449175
Indoline_POS,Indoline_POS,plasma,MTBL,B,21.323632252728693,0.2333969874455324
p3519_POS,p3519_POS,plasma,MTBL,B,15.680211968854968,0.1764159045025231
Vaccenyl carnitine_POS,Vaccenyl carnitine_POS,plasma,MTBL,B,13.94477099583511,0.24627197992107508
Imidazoleacetic acid_POS,Imidazoleacetic acid_POS,plasma,MTBL,B,20.477790484611305,0.2575718191812104
p4974_POS,p4974_POS,plasma,MTBL,B,15.48686446398573,0.09802522350909637
p3473_POS,p3473_POS,plasma,MTBL,B,18.758272225614007,0.3530168982979873
p5162_POS,p5162_POS,plasma,MTBL,B,18.187189864227285,0.15383329592646078
Gluconolactone_POS,Gluconolactone_POS,plasma,MTBL,B,17.839592082114258,0.27397601052428655
p1485_POS,p1485_POS,plasma,MTBL,B,20.164531435077542,0.19521278544545062
p4351_POS,p4351_POS,plasma,MTBL,B,11.114546401367488,0.12030944785116215
p1605_POS,p1605_POS,plasma,MTBL,B,20.330172981874227,0.1562764638438896
n2589_NEG,n2589_NEG,plasma,MTBL,B,18.487178216239926,0.2318115040541393
p4096_POS,p4096_POS,plasma,MTBL,B,18.70142397728528,0.2521195703732815
p2057_POS,p2057_POS,plasma,MTBL,B,19.498956909540517,0.2449109103334024
Venlafaxine N-Oxide_POS,Venlafaxine N-Oxide_POS,plasma,MTBL,B,12.881067155440935,0.1718408596938179
p2825_POS,p2825_POS,plasma,MTBL,B,20.463803286067392,0.1769451126094097
p5080_POS,p5080_POS,plasma,MTBL,B,12.895987730683235,0.134450634967485
p4193_POS,p4193_POS,plasma,MTBL,B,12.631452239007157,0.8981079727125305
Memnobotrin B_POS,Memnobotrin B_POS,plasma,MTBL,B,12.563420578661646,0.17079735544623098
p5561_POS,p5561_POS,plasma,MTBL,B,12.871403316618512,0.24702359457338297
n568_NEG,n568_NEG,plasma,MTBL,B,20.16159430867325,0.146672851092557
p1828_POS,p1828_POS,plasma,MTBL,B,21.37868675889483,0.20993825754390727
N-Docosahexaenoyl GABA_POS,N-Docosahexaenoyl GABA_POS,plasma,MTBL,B,12.99344920818618,0.18823254449484406
p3967_POS,p3967_POS,plasma,MTBL,B,13.869601747968293,0.1509436682003491
p4275_POS,p4275_POS,plasma,MTBL,B,16.8179322678164,0.22410812791334322
p1167_POS,p1167_POS,plasma,MTBL,B,20.470096587477514,0.2662225337031625
p3082_POS,p3082_POS,plasma,MTBL,B,12.919278690803388,0.12895036695647555
p790_POS,p790_POS,plasma,MTBL,B,20.432551195369392,0.13901561296591325
p231_POS,p231_POS,plasma,MTBL,B,24.008740563477957,0.15631432717662186
n3923_NEG,n3923_NEG,plasma,MTBL,B,9.682648739877582,0.06806284269635743
p2723_POS,p2723_POS,plasma,MTBL,B,15.576560798979466,0.2980172551585225
p3243_POS,p3243_POS,plasma,MTBL,B,15.603781308781826,0.14958424404882908
n1345_NEG,n1345_NEG,plasma,MTBL,B,18.928996917862,0.30231520384782584
p2887_POS,p2887_POS,plasma,MTBL,B,18.26581400714774,0.1703331122774312
p5424_POS,p5424_POS,plasma,MTBL,B,10.757968053082223,0.13176106647435581
p4222_POS,p4222_POS,plasma,MTBL,B,17.711493398488066,0.065941144356227
D3-Creatinine_POS,D3-Creatinine_POS,plasma,MTBL,B,24.497409617868286,0.14432276479671735
p207_POS,p207_POS,plasma,MTBL,B,25.54416564648158,0.12634834119300997
p959_POS,p959_POS,plasma,MTBL,B,20.617704083857227,0.23225911781586106
p5522_POS,p5522_POS,plasma,MTBL,B,12.763249221084749,0.23545415098626776
p4371_POS,p4371_POS,plasma,MTBL,B,16.20604665361848,0.1181401962775297
p3896_POS,p3896_POS,plasma,MTBL,B,18.816314662975827,0.2238448548740326
p5016_POS,p5016_POS,plasma,MTBL,B,15.182603347458382,0.08702135083755547
p3023_POS,p3023_POS,plasma,MTBL,B,11.476684925188373,0.1650945745370267
p3469_POS,p3469_POS,plasma,MTBL,B,14.942606014709572,0.43141571727136885
p131_POS,p131_POS,plasma,MTBL,B,23.908782156334652,0.23114099977856917
n537_NEG,n537_NEG,plasma,MTBL,B,22.720588349073118,0.09408078268077347
Galactitol_POS,Galactitol_POS,plasma,MTBL,B,18.207392072580063,0.5704916847851784
