,analyte_ID,n_patients_elevated_at_earliest,percent_elevated_at_earliest,n_patient_elevated_at_first_two,percent_elevated_at_first_two,mean_MAD_score_at_earliest,mean_MAD_score_at_first_two
56,FOLR3,13,1.0,12,0.9230769230769231,17.143682592014713,17.265746697003948
64,GSAP,10,1.0,8,0.8,7.682142681843487,7.965011528121469
118,PPP1R2,11,1.0,8,0.7272727272727273,4.844198210231836,4.70212945835715
12,BATF,10,1.0,7,0.7,5.079237096823386,5.344166655961447
94,NCLN,10,1.0,7,0.7,5.211412192724742,5.213490930729004
152,TXK,10,1.0,7,0.7,4.474061867545779,4.349787839033647
51,EIF2S2,14,1.0,9,0.6428571428571429,4.171076252916162,4.0919065803840695
35,DHRS4L2,10,1.0,6,0.6,4.728878381681779,4.696429228316813
37,DNAJB1,10,1.0,6,0.6,4.090530571341212,3.897184641835549
86,MAPRE3,10,1.0,6,0.6,5.371075512293609,5.5290939144858955
99,NFKB1,10,1.0,6,0.6,4.180105081504708,4.132466164742774
100,NFU1,10,1.0,6,0.6,4.14391004617831,4.289274729118211
138,SULT1A1,10,1.0,6,0.6,3.907117450047599,3.810872563206923
160,VPS4B,17,1.0,10,0.5882352941176471,4.605772913062529,4.452463905687906
71,IMPA1,12,1.0,7,0.5833333333333334,5.322983711900732,5.092272639558146
126,SEC31A,12,1.0,7,0.5833333333333334,4.511310407925682,4.503784209364646
70,IFNGR2,19,1.0,11,0.5789473684210527,4.52138622791758,4.6286138267055525
49,EIF2AK2,14,1.0,8,0.5714285714285714,4.692319537587162,4.863273575742755
145,TJAP1,16,1.0,9,0.5625,4.974060175705556,5.324434738080755
5,ARF6,11,1.0,6,0.5454545454545454,4.042814353498211,4.112941255648274
106,PCBP2,11,1.0,6,0.5454545454545454,4.689029918525892,4.708946037760565
87,MARS1,13,1.0,7,0.5384615384615384,4.2430356837808665,4.213817411705384
133,STAT5B,13,1.0,7,0.5384615384615384,4.290443890272565,4.291458143894125
46,EBAG9,15,1.0,8,0.5333333333333333,4.924768104690577,4.882384269958372
65,HARS1,15,1.0,8,0.5333333333333333,5.0376424888780615,4.9292399650213214
79,LACTB2,15,1.0,8,0.5333333333333333,4.385110672309636,4.479107101247828
0,AAMDC,10,1.0,5,0.5,4.908752712474596,4.733486963878815
10,ATP5IF1,10,1.0,5,0.5,4.3078182853923765,4.236004173032958
17,CALCOCO2,12,1.0,6,0.5,4.200253458976322,4.286372957926116
19,CC2D1A,14,1.0,7,0.5,4.447677299193403,4.4830790786218335
28,CNPY4,10,1.0,5,0.5,4.23658507846334,4.583068466577862
50,EIF2AK3,10,1.0,5,0.5,3.7599619853421666,3.7274993659278257
61,GMFG,14,1.0,7,0.5,4.153343117910405,4.0602636940056795
76,IST1,14,1.0,7,0.5,4.335091112282179,4.349254508184211
81,LRPAP1,10,1.0,5,0.5,5.891575667151948,5.89828138896206
82,LZTFL1,10,1.0,5,0.5,5.090507508049141,5.317730231066207
85,MAP4K5,10,1.0,5,0.5,4.057109569539337,3.9115167602995364
101,NMT1,12,1.0,6,0.5,4.218520027478745,4.323286326184374
109,PDLIM7,14,1.0,7,0.5,4.39796265274473,4.555674084947067
135,STK11,10,1.0,5,0.5,4.430195113930208,5.002588189417229
146,TMED8,14,1.0,7,0.5,4.532686126565084,4.621745814905933
30,CRKL,15,1.0,7,0.4666666666666667,4.540839926366448,4.508962669904446
53,FAM172A,15,1.0,7,0.4666666666666667,4.456901577917495,4.456805677757427
143,TBCC,15,1.0,7,0.4666666666666667,4.572743081231035,4.293968626071542
21,CDC42BPB,13,1.0,6,0.46153846153846156,4.304754410819301,4.370847423220599
24,CIRBP,13,1.0,6,0.46153846153846156,3.7073133035016905,3.8419129459301007
38,DNAJB14,13,1.0,6,0.46153846153846156,4.669926482451257,5.156821352714784
62,GORASP2,13,1.0,6,0.46153846153846156,4.427978893329608,4.547527922278286
89,MGMT,13,1.0,6,0.46153846153846156,3.806637020865797,3.955537617437612
91,MSRA,13,1.0,6,0.46153846153846156,4.255540987497053,4.062076129758963
1,AKT2,11,1.0,5,0.45454545454545453,4.448794120008327,4.7268726250124375
7,ARHGAP45,11,1.0,5,0.45454545454545453,4.232926496647012,4.389917894557228
9,ATG16L1,11,1.0,5,0.45454545454545453,4.37387177401387,4.463122207704627
34,DCTD,11,1.0,5,0.45454545454545453,3.963802776038776,4.200777192292842
40,DNAJC6,11,1.0,5,0.45454545454545453,4.66232951707489,4.880709573196584
43,DRG2,11,1.0,5,0.45454545454545453,4.567308916486216,4.659973592394482
67,HEXIM1,11,1.0,5,0.45454545454545453,4.187611848823894,4.440252415168467
77,JPT2,11,1.0,5,0.45454545454545453,4.511799391345398,4.431361729194756
80,LDLRAP1,11,1.0,5,0.45454545454545453,3.852477497674134,4.006244533644507
95,NDUFB7,11,1.0,5,0.45454545454545453,5.007294041331653,5.120187181372158
113,PLEKHO1,11,1.0,5,0.45454545454545453,4.1893320021869265,4.467863552802878
122,RGCC,11,1.0,5,0.45454545454545453,4.213591375524507,4.339233289311446
123,RHOC,11,1.0,5,0.45454545454545453,3.9715699499120807,3.881210442920524
125,SAMD9L,11,1.0,5,0.45454545454545453,4.362885479100487,4.903654919653641
142,TBCB,11,1.0,5,0.45454545454545453,4.004764384883728,4.026291280176227
149,TP53BP1,11,1.0,5,0.45454545454545453,4.1026336920604045,4.17036071739712
84,MAP2K6,18,1.0,8,0.4444444444444444,4.062960262413022,4.14648297818826
165,YWHAQ,18,1.0,8,0.4444444444444444,6.153566440349323,6.453892884907676
23,CIAPIN1,16,1.0,7,0.4375,4.377223449153251,4.637547998228009
6,ARFIP1,14,1.0,6,0.42857142857142855,4.049937917611254,3.9602771815491042
13,BCL2L1,14,1.0,6,0.42857142857142855,4.1733984390846475,4.230802829383889
52,FADD,14,1.0,6,0.42857142857142855,4.219196461299654,4.452306560959177
163,YARS1,14,1.0,6,0.42857142857142855,3.879675885935999,4.034125496836503
27,CMIP,19,1.0,8,0.42105263157894735,4.627901813798117,4.925551884082386
11,BACH1,12,1.0,5,0.4166666666666667,4.4363571421716825,4.259717340286241
25,CLPP,12,1.0,5,0.4166666666666667,4.544327028509806,4.669316489319078
59,GCC1,12,1.0,5,0.4166666666666667,3.865842755103843,3.8985820931731476
69,HSBP1,12,1.0,5,0.4166666666666667,4.349302669141963,4.455590448162376
75,IRAK4,12,1.0,5,0.4166666666666667,3.8142646782949776,3.7028483660390608
83,MAP2K1,12,1.0,5,0.4166666666666667,4.380771218312828,4.822036692475819
104,OGA,12,1.0,5,0.4166666666666667,4.335087439471413,4.429805556543272
119,PRDX5,12,1.0,5,0.4166666666666667,4.198696186492978,4.3189517815743725
132,SRPK2,12,1.0,5,0.4166666666666667,6.696959711963101,7.036802650409972
154,UFD1,12,1.0,5,0.4166666666666667,4.417459186750934,4.7450051503979935
164,YES1,12,1.0,5,0.4166666666666667,4.236213015967135,4.548013771043969
20,CDC37,17,1.0,7,0.4117647058823529,4.47012313831992,4.694095386796456
102,NRGN,17,1.0,7,0.4117647058823529,4.782990075522681,5.099917623334442
8,ARHGEF12,10,1.0,4,0.4,3.7151818667975904,3.9924055521599495
31,CRYZL1,10,1.0,4,0.4,4.001230090863866,4.0477779982317905
39,DNAJC21,10,1.0,4,0.4,4.745845370858364,4.73462257795903
44,DTD1,10,1.0,4,0.4,3.9518896234315912,4.3024872448134115
88,MESD,15,1.0,6,0.4,4.631901828146734,4.8152662156114685
92,MYDGF,10,1.0,4,0.4,4.689858163580335,5.228634415162521
108,PDLIM5,10,1.0,4,0.4,3.937593949225763,3.9298798607351
