,analyte_ID,n_patients_affected,mean_outlier_timepoints_per_patient_affected,mean_proportion_timepoints,max_consecutive_timepoints
258,FOLR3,13,3.6923076923076925,1.0,"['1', '2', '3']"
669,SUMF1,8,3.5,1.0,"['1', '2', '3']"
36,ARHGAP30,6,3.5,1.0,"['1', '2', '3', '4']"
738,USP47,5,3.8,1.0,[]
364,KDM3A,6,3.0,1.0,"['1', '2', '3', '4']"
41,ARMCX2,5,3.4,1.0,[]
363,KCNC4,5,4.0,1.0,[]
148,CRX,6,3.5,1.0,[]
744,VCPKMT,6,3.3333333333333335,1.0,"['2', '3', '4']"
336,IKZF2,7,3.142857142857143,1.0,"['1', '2', '3', '4']"
395,LYSMD3,9,3.6666666666666665,1.0,[]
631,SLK,7,3.5714285714285716,1.0,"['2', '3']"
12,ADGRV1,7,3.2857142857142856,1.0,[]
299,GSAP,10,3.5,0.9722222222222222,[]
56,BATF,10,3.3,0.9705882352941176,[]
402,MAPRE3,10,3.1,0.96875,[]
367,KLK1,18,3.388888888888889,0.9682539682539683,[]
507,PGR,9,3.111111111111111,0.9655172413793103,"['1', '2', '3', '4']"
272,GFOD2,9,2.888888888888889,0.9629629629629629,"['1', '2', '3', '4']"
347,IL5,8,3.25,0.9629629629629629,"['2', '3', '4']"
202,DUSP3,8,3.125,0.9615384615384616,[]
528,PPIE,7,3.142857142857143,0.9565217391304348,[]
386,LRFN2,6,3.6666666666666665,0.9565217391304347,[]
340,IL18RAP,7,3.0,0.9545454545454546,"['1', '2', '3', '4']"
755,VWA5A,6,3.0,0.9473684210526316,[]
697,TMPRSS11B,5,3.6,0.9473684210526316,"['1', '2', '3']"
155,CTNNA1,6,3.0,0.9473684210526316,"['2', '3']"
94,CD36,5,3.6,0.9473684210526316,[]
317,HIF1A,5,3.4,0.9444444444444444,"['2', '3', '4']"
342,IL21R,5,3.2,0.9411764705882354,"['1', '2', '3']"
301,GTF2IRD1,5,3.2,0.9411764705882354,[]
556,PXDNL,5,3.2,0.9411764705882354,[]
15,AIDA,5,3.2,0.9411764705882354,"['1', '2', '3', '4']"
51,ATP6V1F,5,3.0,0.9375,[]
372,LAMA1,6,2.5,0.9375,"['1', '2', '3']"
200,DTX2,5,3.0,0.9375,[]
590,RTN4IP1,5,3.0,0.9375,[]
445,NCLN,10,2.9,0.9354838709677419,"['2', '3']"
332,IFNGR2,19,3.0,0.9344262295081966,[]
656,STAU1,5,2.8,0.9333333333333332,"['1', '2', '3']"
487,PALM3,5,2.8,0.9333333333333332,"['1', '2', '3']"
300,GSTP1,5,2.8,0.9333333333333332,"['2', '3']"
18,ALDH2,5,2.8,0.9333333333333332,[]
622,SIGLEC10,5,2.6,0.9285714285714287,[]
495,PDE4D,7,3.5714285714285716,0.9259259259259259,"['1', '2', '3', '4', '5']"
45,ATF2,9,2.6666666666666665,0.923076923076923,[]
102,CDAN1,5,2.4,0.923076923076923,[]
319,HNF1A,6,3.8333333333333335,0.9199999999999999,[]
577,RICTOR,7,3.142857142857143,0.9166666666666667,[]
338,IL17RA,7,3.0,0.9130434782608696,"['2', '3', '4']"
