,analyte_ID,n_patients_affected,percent_complications_affected,mean_outlier_timepoints_per_patient,complication_types_represented
1731,PPP1R12A,20,25.97402597402597,2.55,"['FGR', 'HDP', 'SPTB']"
505,CMIP,19,24.675324675324674,2.4210526315789473,"['FGR', 'HDP', 'SPTB']"
1097,IFNGR2,19,24.675324675324674,3.0,"['SPTB', 'HDP', 'FGR']"
1365,MAP2K6,18,23.376623376623375,2.3333333333333335,"['FGR', 'HDP', 'SPTB']"
1245,KLK1,18,23.376623376623375,3.388888888888889,"['HDP', 'SPTB', 'FGR']"
2401,YWHAQ,18,23.376623376623375,2.5555555555555554,"['FGR', 'HDP', 'SPTB']"
1487,NCK2,18,23.376623376623375,2.5555555555555554,"['FGR', 'HDP', 'SPTB']"
504,CMC1,17,22.07792207792208,2.3529411764705883,"['FGR', 'HDP', 'SPTB']"
395,CDC37,17,22.07792207792208,2.5294117647058822,"['FGR', 'HDP', 'SPTB']"
2363,VPS4B,17,22.07792207792208,2.764705882352941,"['FGR', 'HDP', 'SPTB']"
2348,VAV3,17,22.07792207792208,2.3529411764705883,"['FGR', 'HDP', 'SPTB']"
1556,NRGN,17,22.07792207792208,2.5294117647058822,"['HDP', 'FGR', 'SPTB']"
2316,TXNDC9,17,22.07792207792208,2.8823529411764706,"['SPTB', 'FGR', 'HDP']"
2310,TWF2,17,22.07792207792208,2.6470588235294117,"['FGR', 'HDP', 'SPTB']"
2381,WASF1,16,20.77922077922078,2.375,"['HDP', 'SPTB', 'FGR']"
2346,VASP,16,20.77922077922078,2.5625,"['FGR', 'HDP', 'SPTB']"
470,CIAPIN1,16,20.77922077922078,2.375,"['FGR', 'HDP', 'SPTB']"
2344,VASH1,16,20.77922077922078,2.875,"['FGR', 'HDP', 'SPTB']"
622,DAB2,16,20.77922077922078,2.5625,"['FGR', 'HDP', 'SPTB']"
2206,TIA1,16,20.77922077922078,2.6875,"['FGR', 'HDP', 'SPTB']"
2364,VPS53,16,20.77922077922078,2.75,"['FGR', 'HDP', 'SPTB']"
101,ANXA4,16,20.77922077922078,2.25,"['FGR', 'HDP', 'SPTB']"
2215,TJAP1,16,20.77922077922078,2.6875,"['FGR', 'HDP', 'SPTB']"
1057,HPCAL1,16,20.77922077922078,2.3125,"['FGR', 'HDP', 'SPTB']"
2071,SNX9,16,20.77922077922078,2.375,"['FGR', 'HDP', 'SPTB']"
894,FXN,16,20.77922077922078,2.125,"['FGR', 'HDP', 'SPTB']"
102,AOC1,15,19.480519480519483,2.933333333333333,"['SPTB', 'HDP', 'FGR']"
1269,LACTB2,15,19.480519480519483,2.4,"['FGR', 'HDP', 'SPTB']"
2163,TBC1D23,15,19.480519480519483,2.2,"['HDP', 'SPTB', 'FGR']"
2167,TBCC,15,19.480519480519483,2.533333333333333,"['FGR', 'HDP', 'SPTB']"
2338,USP25,15,19.480519480519483,2.1333333333333333,"['FGR', 'HDP', 'SPTB']"
821,FAM172A,15,19.480519480519483,2.533333333333333,"['FGR', 'HDP', 'SPTB']"
1393,MESD,15,19.480519480519483,2.533333333333333,"['FGR', 'HDP', 'SPTB']"
1598,OTUD6B,15,19.480519480519483,2.2666666666666666,"['FGR', 'HDP', 'SPTB']"
722,EBAG9,15,19.480519480519483,2.466666666666667,"['FGR', 'HDP', 'SPTB']"
1023,HARS1,15,19.480519480519483,2.7333333333333334,"['FGR', 'HDP', 'SPTB']"
561,CRKL,15,19.480519480519483,2.3333333333333335,"['FGR', 'HDP', 'SPTB']"
2236,TNFAIP8L2,14,18.181818181818183,2.4285714285714284,"['FGR', 'HDP', 'SPTB']"
817,FADD,14,18.181818181818183,2.357142857142857,"['FGR', 'HDP', 'SPTB']"
1730,PPP1CC,14,18.181818181818183,2.4285714285714284,"['FGR', 'HDP', 'SPTB']"
629,DBNL,14,18.181818181818183,2.2857142857142856,"['FGR', 'HDP', 'SPTB']"
965,GMFG,14,18.181818181818183,2.5,"['FGR', 'HDP', 'SPTB']"
2224,TMED8,14,18.181818181818183,2.5,"['FGR', 'HDP', 'SPTB']"
192,BCL2L1,14,18.181818181818183,2.5,"['FGR', 'HDP', 'SPTB']"
2396,YARS1,14,18.181818181818183,2.2142857142857144,"['HDP', 'SPTB', 'FGR']"
300,CC2D1A,14,18.181818181818183,2.5,"['FGR', 'HDP']"
292,CASP7,14,18.181818181818183,2.642857142857143,"['FGR', 'HDP', 'SPTB']"
195,BCR,14,18.181818181818183,2.642857142857143,"['FGR', 'HDP']"
124,ARFIP1,14,18.181818181818183,2.2142857142857144,"['FGR', 'HDP', 'SPTB']"
1642,PDLIM7,14,18.181818181818183,2.5714285714285716,"['FGR', 'HDP', 'SPTB']"
