,most_persistent,most_prevalent,early_warning,complication_specific,most_extreme,super_candidate
AAMDC,0,0,1,0,0,False
ADGRV1,1,0,0,0,0,False
AIDA,1,0,0,0,0,False
AKT2,0,0,1,0,0,False
ALDH2,1,0,0,0,0,False
ANXA3,0,0,1,0,0,False
ANXA4,0,1,1,0,0,False
AOC1,0,1,1,1,0,True
AREG,0,0,0,0,1,False
ARF6,0,0,1,0,0,False
ARFIP1,0,1,1,0,0,False
ARHGAP30,1,0,0,0,0,False
ARHGAP45,0,0,1,0,0,False
ARHGEF12,0,0,1,0,1,False
ARMCX2,1,0,0,0,0,False
ATF2,1,0,0,0,0,False
ATG16L1,0,0,1,0,0,False
ATP5IF1,0,0,1,0,0,False
ATP6V1F,1,0,0,0,0,False
BACH1,0,0,1,0,0,False
BATF,1,0,1,0,0,False
BCL2L1,0,1,1,0,0,False
BCR,0,1,1,0,0,False
BLOC1S3,0,0,1,0,0,False
BRAP,0,0,0,0,1,False
CACYBP,0,0,1,0,0,False
CALCOCO2,0,0,1,0,0,False
CAMSAP1,0,0,0,0,1,False
CASP3,0,0,0,0,1,False
CASP7,0,1,1,0,0,False
CC2D1A,0,1,1,0,0,False
CCL16,0,0,0,0,1,False
CD2,0,0,0,0,1,False
CD36,1,0,0,0,0,False
CD6,0,0,0,0,1,False
CD69,0,0,0,0,1,False
CDAN1,1,0,0,0,0,False
CDC37,0,1,1,0,0,False
CDC42BPB,0,0,1,0,0,False
CHMP1A,0,0,1,0,0,False
CIAPIN1,0,1,1,0,0,False
CIRBP,0,0,1,0,1,False
CLPP,0,0,1,0,0,False
CMC1,0,1,1,0,0,False
CMIP,0,1,1,0,0,False
CNPY4,0,0,1,0,0,False
COL4A1,0,0,0,0,1,False
COMT,0,0,0,0,1,False
CRADD,0,0,1,0,0,False
CRKL,0,1,1,0,0,False
CRX,1,0,0,0,0,False
CRYBB1,0,0,0,0,1,False
CRYZL1,0,0,1,0,0,False
CTNNA1,1,0,0,0,0,False
CXCL6,0,0,0,0,1,False
DAB2,0,1,1,1,0,True
DAPP1,0,0,0,0,1,False
DBN1,0,0,0,0,1,False
DBNL,0,1,1,0,0,False
DCTD,0,0,1,0,1,False
DEFA1_DEFA1B,0,0,0,0,1,False
DHRS4L2,0,0,1,0,0,False
DMD,0,0,1,0,0,False
