,analyte_ID,tissue,datatype,timepoint,control_median,control_MAD
A1BG,A1BG,plasma,PROT,1,-0.241134404130077,0.2177461664736772
AAMDC,AAMDC,plasma,PROT,1,-0.045961481159877055,0.19500076755403495
AARSD1,AARSD1,plasma,PROT,1,-0.13381629479894008,0.41293201856990897
ABCA2,ABCA2,plasma,PROT,1,-0.0081471156154221,0.34938404144627033
ABHD14B,ABHD14B,plasma,PROT,1,-0.053438205658431104,0.3542796188287777
ABL1,ABL1,plasma,PROT,1,-0.2202734576364565,0.3116073096690564
ABO,ABO,plasma,PROT,1,0.018,1.2009083785704717
ABRAXAS2,ABRAXAS2,plasma,PROT,1,-0.11828487195722315,0.516272925701336
ACAA1,ACAA1,plasma,PROT,1,-0.07835809293266821,0.8450358446505
ACADM,ACADM,plasma,PROT,1,0.0636651196854547,0.5439
ACADSB,ACADSB,plasma,PROT,1,0.005730624814291549,0.6537171522139132
ACAN,ACAN,plasma,PROT,1,0.04534257473114995,0.22126038863903236
ACE,ACE,plasma,PROT,1,0.0188843941880043,0.17617696208303385
ACE2,ACE2,plasma,PROT,1,-0.3525381883699418,0.43199829670976764
ACHE,ACHE,plasma,PROT,1,0.00270118406603125,0.24825042615016546
ACOT13,ACOT13,plasma,PROT,1,-0.10604637034438935,0.8667548380138559
ACOX1,ACOX1,plasma,PROT,1,0.00445427400822925,0.4017999013621072
ACP1,ACP1,plasma,PROT,1,0.094619533281423,0.4091571168916664
ACP5,ACP5,plasma,PROT,1,-0.00253731365611335,0.2963569923692102
ACP6,ACP6,plasma,PROT,1,-0.13449256401620924,0.3534912634543035
ACRBP,ACRBP,plasma,PROT,1,-0.0565388572991008,0.16593781856615347
ACRV1,ACRV1,plasma,PROT,1,-0.10686246301377395,0.33779494239055563
ACTA2,ACTA2,plasma,PROT,1,-0.3124711874440651,0.1780202543876937
ACTN2,ACTN2,plasma,PROT,1,-0.16320138375886725,0.36681556375445923
ACTN4,ACTN4,plasma,PROT,1,0.00344745799411725,0.17463437167528995
ACVRL1,ACVRL1,plasma,PROT,1,-0.3820773742990921,0.16392161756149648
ACY1,ACY1,plasma,PROT,1,-0.32345612416619207,0.5522188656303434
ACY3,ACY3,plasma,PROT,1,-0.1089353662878432,0.39811762948737006
ACYP1,ACYP1,plasma,PROT,1,-0.0657104016067856,0.38214675008270865
ADA,ADA,plasma,PROT,1,0.0300035415664446,0.20916674010503233
ADA2,ADA2,plasma,PROT,1,-0.0760491478243249,0.3603194214481284
ADAM12,ADAM12,plasma,PROT,1,-0.3370015780931267,0.27997666548198763
ADAM15,ADAM15,plasma,PROT,1,-0.19972470138832885,0.2569233573069606
ADAM22,ADAM22,plasma,PROT,1,0.0001391482946589502,0.2258492615086451
ADAM23,ADAM23,plasma,PROT,1,0.03796792265367695,0.23484114439683212
ADAM8,ADAM8,plasma,PROT,1,0.1383130773951445,0.39795519095846615
ADAM9,ADAM9,plasma,PROT,1,-0.102175,0.26427500000000004
ADAMTS1,ADAMTS1,plasma,PROT,1,-0.1336521959089937,0.24241733189906753
ADAMTS13,ADAMTS13,plasma,PROT,1,0.12079508111299239,0.3293079577043069
ADAMTS15,ADAMTS15,plasma,PROT,1,0.0565961766223773,0.295206644959874
ADAMTS4,ADAMTS4,plasma,PROT,1,-0.13686123445905515,0.31409107042219264
ADAMTS8,ADAMTS8,plasma,PROT,1,0.0236485257163288,0.3736848593520301
ADAMTSL2,ADAMTSL2,plasma,PROT,1,-0.2144441489839598,0.3044106634747599
ADAMTSL4,ADAMTSL4,plasma,PROT,1,-0.2838954666598445,0.2350067287706269
ADAMTSL5,ADAMTSL5,plasma,PROT,1,-0.4432068750164543,0.30015713001680455
ADCYAP1R1,ADCYAP1R1,plasma,PROT,1,0.055985915645740944,0.2024218985768205
ADD1,ADD1,plasma,PROT,1,-0.04831022264745145,0.4502800461377603
ADGRB3,ADGRB3,plasma,PROT,1,0.10281882086360766,0.20666419918013465
ADGRD1,ADGRD1,plasma,PROT,1,-0.2523638377718777,0.3472583110972989
ADGRE1,ADGRE1,plasma,PROT,1,-0.21216004364336585,0.423829518555412
ADGRE2,ADGRE2,plasma,PROT,1,-0.38268172672048645,0.3236199017164139
ADGRE5,ADGRE5,plasma,PROT,1,-0.3621860192603501,0.3269514849145858
ADGRF5,ADGRF5,plasma,PROT,1,-0.3543315708775955,0.30638762214242543
ADGRG1,ADGRG1,plasma,PROT,1,-0.1717801676694545,0.2386942089932751
ADGRG2,ADGRG2,plasma,PROT,1,-0.16570889409824968,0.24948538964867767
ADGRV1,ADGRV1,plasma,PROT,1,0.3212596576672616,0.9517928760707153
ADH1B,ADH1B,plasma,PROT,1,0.053471021090934906,0.7007427897288157
ADH4,ADH4,plasma,PROT,1,-0.371004823214681,0.8818244278302054
ADM,ADM,plasma,PROT,1,-0.6588155489962071,0.22529454408826294
ADRA2A,ADRA2A,plasma,PROT,1,0.29046030127742306,0.7275192305208896
AFAP1,AFAP1,plasma,PROT,1,-0.0580279928232762,0.7983397593887319
AFM,AFM,plasma,PROT,1,-0.3699287612345302,0.267611257425866
AFP,AFP,plasma,PROT,1,-1.904135174728878,0.6270351747288779
AGER,AGER,plasma,PROT,1,0.1202897736650958,0.3788106903395364
AGR2,AGR2,plasma,PROT,1,0.015224945845312251,0.7213749458453123
AGR3,AGR3,plasma,PROT,1,-0.6643636468247391,0.6675791713454768
AGRN,AGRN,plasma,PROT,1,-0.10281370558171815,0.2646265490091234
AGRP,AGRP,plasma,PROT,1,-0.162580224504161,0.3374778965162112
AGT,AGT,plasma,PROT,1,0.032803669972732596,0.2078038299562316
AGXT,AGXT,plasma,PROT,1,-0.16549838662284544,0.780142472372263
AHCY,AHCY,plasma,PROT,1,-0.32043540422517947,0.4982376345292632
AHNAK,AHNAK,plasma,PROT,1,-0.098275,0.33671034916789916
AHNAK2,AHNAK2,plasma,PROT,1,-0.15437407144606075,0.20394484412308173
AHSA1,AHSA1,plasma,PROT,1,0.038760010253597946,0.571724092463636
AHSG,AHSG,plasma,PROT,1,-0.24563394238883052,0.26991685722000686
AHSP,AHSP,plasma,PROT,1,0.19068282600959297,0.623878501734247
AIDA,AIDA,plasma,PROT,1,0.17831877875032004,1.0039627278992018
AIF1,AIF1,plasma,PROT,1,-0.0876422955883906,0.6533672955883906
AIF1L,AIF1L,plasma,PROT,1,0.09164999999999995,0.32534278552960044
AIFM1,AIFM1,plasma,PROT,1,-0.23732399001694043,0.7727
AK1,AK1,plasma,PROT,1,-0.12272822210324086,0.5589753375926421
AK2,AK2,plasma,PROT,1,-0.22860000000000003,0.7735036636666441
AKAP12,AKAP12,plasma,PROT,1,0.0318536416685292,0.20950113954552502
AKR1B1,AKR1B1,plasma,PROT,1,-0.3356317578407323,0.4909407763181524
AKR1B10,AKR1B10,plasma,PROT,1,-0.050577008930504055,0.7583835910722263
AKR1C4,AKR1C4,plasma,PROT,1,0.00324313927943795,0.5285312788055867
