"m.z" "r.t" "p.value" "t.score"
1054.97362 21.6374852635058 0.0000000001 -33.8282641742
538.48299 6.64984389580239 0.0000000001 -33.4705124312
736.49228 7.94913734105586 0.0000000001 -32.7368416208
806.68683 17.5470926919131 0.0000000001 -33.7406586566
561.48883 13.1581818237378 0.0000000001 -34.0389450156
1097.02057 21.8577031791158 0.0000000001 -35.0945127867
1071.00492 21.8021031932053 0.0000000001 -33.4970424580
1075.03622 22.2272700293582 0.0000000001 -33.4913958441
808.66610 15.2926862036791 0.0000000001 -31.1014205952
831.63745 12.3309298603856 0.0000000001 -31.1080014310
790.69192 18.9613743988494 0.0000000001 -30.9650883891
838.69192 19.2785591862241 0.0000000001 -31.0874021517
884.73378 18.1777721222614 0.0000000001 -31.0121057648
798.52796 10.0199104253459 0.0000000001 -31.0127970768
800.52008 7.00529186720658 0.0000000001 -31.0938319433
832.70248 17.9104454003649 0.0000000001 -30.9887658781
932.73378 18.7780916692925 0.0000000001 -31.0041846668
744.66531 20.9369401257098 0.0000000001 -30.9409906495
832.70248 18.9964478641512 0.0000000001 -31.0740845018
831.63745 12.5092239702787 0.0000000001 -30.9548666160
910.74943 17.7345957013036 0.0000000001 -31.0042116648
872.58000 10.9374339665835 0.0000000001 -31.0514432144
780.67118 19.0957418247026 0.0000000001 -31.0247165997
780.67118 18.9099025139418 0.0000000001 -31.0034531070
798.52556 9.96851421522603 0.0000000001 -31.0365275235
824.61638 11.9954974542944 0.0000000001 -31.0817943025
598.54050 15.5084030975704 0.0000000001 -31.0372853775
634.61327 17.6319395883584 0.0000000001 -31.0134941909
892.60381 14.3065056849868 0.0000000001 -31.0987982600
832.70248 19.1785617031494 0.0000000001 -30.9544834668
692.61875 17.6306018998363 0.0000000001 -31.0429747487
826.71305 17.9751998039885 0.0000000001 -31.1169041041
819.61093 10.7711743305582 0.0000000001 -31.5313861269
750.50443 6.90835286677073 0.0000000001 -31.0216424417
788.52248 8.630284343459 0.0000000001 -31.0794964214
803.66367 7.49280608940534 0.0000000001 -31.0222227031
872.57759 11.4901192517225 0.0000000001 -31.0484462558
838.69192 18.8158373469008 0.0000000001 -31.0452928743
1008.89537 21.1674514292546 0.0000000001 -31.0518205702
730.54050 11.6714273823859 0.0000000001 -31.1528788156
838.55926 5.90826679290631 0.0000000001 -30.9274918085
808.70248 19.7207297847253 0.0000000001 -31.0203957386
838.55926 6.29566271833174 0.0000000001 -30.9106572644
582.50920 12.5131635258936 0.0000000001 -30.9004615366
838.55926 6.97461568849113 0.0000000001 -30.8801962236
1008.89537 21.3493391355033 0.0000000001 -31.0770923071
1106.75610 13.4691689992642 0.0000000001 -31.0305883297
838.55926 11.5171097840673 0.0000000001 -31.0068773920
834.71813 19.7024842141707 0.0000000001 -30.8508569585
682.64966 21.2500256419296 0.0000000001 -30.9331399668
593.51395 14.7986388488556 0.0000000001 -31.0224713773
886.78582 19.6966578494945 0.0000000001 -30.9720249258
942.81203 20.5328877850625 0.0000000001 -31.1023211059
955.77251 20.9201143944706 0.0000000001 -31.0267804242
842.56943 9.99018256168592 0.0000000001 -30.9386441976
832.70248 17.6077147587415 0.0000000001 -31.0039395412
828.55966 9.00662114892922 0.0000000001 -30.9325380712
1024.67785 8.65224253047407 0.0000000001 -31.3145088560
763.63876 17.9344687427686 0.0000000001 -31.0133558231
694.59802 17.7874457901788 0.0000000001 -33.6716899075
818.56943 10.6752780889912 0.0000000001 -31.2234062360
927.61096 14.2420765502054 0.0000000001 -31.0649077844
888.64528 15.1423347059567 0.0000000001 -31.0233325627
866.66333 16.1311032822682 0.0000000001 -31.0471292631
808.66610 15.0654361565242 0.0000000001 -31.1656273493
694.63440 18.598961260615 0.0000000001 -31.0216996528
694.63440 18.3553007082915 0.0000000001 -31.0464783431
521.42005 4.56245991383664 0.0000000001 -31.0378358711
682.64966 21.2037438795692 0.0000000001 -30.9338501742
774.60073 16.2362152812099 0.0000000001 -31.0782686697
902.74435 17.2563816857018 0.0000000001 -30.8404336929
878.56943 7.3036778221345 0.0000000001 -30.9833606100
956.73251 18.2063702884559 0.0000000001 -32.6655546679
634.61327 17.2609706958659 0.0000000001 -31.0032388534
620.59762 16.7396977575606 0.0000000001 -30.9559920388
