"m.z" "r.t" "p.value" "t.score"
1054.97362 21.6374852635058 0.0000000001 -33.7178212938
561.48883 13.1581818237378 0.0000000001 -34.3784010363
806.68683 17.5470926919131 0.0000000001 -33.5294856154
538.48299 6.64984389580239 0.0000000001 -34.0494991069
736.49228 7.94913734105586 0.0000000001 -32.0024556397
956.73251 18.2063702884559 0.0000000001 -34.0065758949
692.61875 17.6306018998363 0.0000000001 -5.5405557550
780.67118 18.9099025139418 0.0000000001 -3.3534911368
620.59762 16.4863827907993 0.0000000001 -4.3484146808
955.77251 20.9201143944706 0.0000000001 -33.4778315970
824.61638 11.9954974542944 0.0000000001 -6.5666038489
634.61327 17.046546987421 0.0000000001 -5.2251523156
832.70248 19.1785617031494 0.0000000001 -3.3212445093
872.57759 11.4901192517225 0.0000000001 -5.5261039762
798.52556 9.96851421522603 0.0000000001 -6.7475454773
754.53813 9.88018527485945 0.0000000001 -5.3385140554
634.61327 17.6319395883584 0.0000000001 -4.8871535584
832.70248 17.9104454003649 0.0000000001 -6.1217928329
832.70248 17.6077147587415 0.0000000001 -4.9196895747
808.66610 15.2926862036791 0.0000000001 -33.4896389191
1008.89537 21.3493391355033 0.0000000001 -6.0061508995
1071.00492 21.8021031932053 0.0000000001 -30.5362959483
1008.89537 21.1674514292546 0.0000000001 -4.6803164054
736.49118 7.95376324806415 0.0000000001 -3.7217048355
808.66610 15.0654361565242 0.0000000001 -7.6674290982
832.70248 18.9964478641512 0.0000000001 -3.3087462719
780.67118 19.0957418247026 0.0000000001 -3.7440938438
878.56943 7.3036778221345 0.0000000001 -6.7781739171
831.63745 12.5092239702787 0.0000000001 -6.1269169973
682.64966 21.2037438795692 0.0000000001 -5.0127252587
521.42005 4.56245991383664 0.0000000001 -4.3091296706
744.66531 20.9369401257098 0.0000000001 -7.0773663941
694.63440 18.3553007082915 0.0000000001 -5.6171841456
694.63440 18.598961260615 0.0000000001 -5.9268611557
902.74435 17.2563816857018 0.0000000001 -33.3990718522
902.74435 17.6365384225453 0.0000000001 -33.2063304624
1024.67785 8.65224253047407 0.0000000001 -4.3207427309
828.55966 9.00662114892922 0.0000000001 -33.4829427960
932.73378 18.7780916692925 0.0000000001 -5.2340079780
826.71305 17.9751998039885 0.0000000001 -6.4077161543
788.52248 8.630284343459 0.0000000001 -4.5196494499
1106.75610 13.4691689992642 0.0000000001 -6.2762772320
768.55138 8.9843632360349 0.0000000001 -3.4021784243
942.81203 20.5328877850625 0.0000000001 -33.4644994361
872.58000 10.9374339665835 0.0000000001 -5.3179868700
942.81203 19.4462315033979 0.0000000001 -33.4263756329
927.61096 14.2420765502054 0.0000000001 -7.1645735028
942.81203 19.2286735879301 0.0000000001 -33.4440263674
598.54050 15.5084030975704 0.0000000001 -3.8793739224
831.63745 12.3309298603856 0.0000000001 -5.2213126136
750.50443 6.90835286677073 0.0000000001 -4.7325244130
803.66367 7.49280608940534 0.0000000001 -4.9769697197
582.50920 12.5131635258936 0.0000000001 -5.7367982584
1075.03622 22.2272700293582 0.0000000001 -30.5040854747
946.71892 15.6794470700887 0.0000000001 -4.6609626102
936.76508 18.5186099282481 0.0000000001 -5.8435276010
512.46734 6.90917724543291 0.0000000001 -4.7462396473
906.75452 20.0215279646577 0.0000000001 -4.2753048770
842.56943 9.99018256168592 0.0000000001 -7.2875687336
1000.92667 21.0634287715864 0.0000000001 -33.5246239763
888.64528 15.1423347059567 0.0000000001 -5.3933905483
878.61994 8.43416308088934 0.0000000001 -6.6151176634
892.60381 14.3065056849868 0.0000000001 -4.1635838671
838.55926 5.42834274301472 0.0000000001 -33.3063560610
682.64966 21.2500256419296 0.0000000001 -4.9108763110
838.55926 5.56502084678931 0.0000000001 -33.1583233783
838.55926 5.74322668110538 0.0000000001 -33.4109988018
