"m.z" "r.t" "p.value" "t.score"
1054.97362 21.6374852635058 0.0000000001 -33.5824454892
806.68683 17.5470926919131 0.0000000001 -33.3876026619
561.48883 13.1581818237378 0.0000000001 -34.6721031085
538.48299 6.64984389580239 0.0000000001 -34.4466188822
736.49228 7.94913734105586 0.0000000001 -30.7781455322
956.73251 18.2063702884559 0.0000000001 -5.4330807708
788.52248 8.630284343459 0.0000000428 -2.7832673433
906.71813 16.7899063087552 0.0000000412 -2.7990672297
798.52796 10.0199104253459 0.0000000397 -2.8737783483
1075.03622 22.2272700293582 0.0000000078 0.0000000000
1024.67785 8.65224253047407 0.0000000282 -2.6327497977
942.81203 20.5328877850625 0.0000000412 -2.8589947738
1097.02057 21.8577031791158 0.0000000241 -33.3509887607
620.59762 16.4863827907993 0.0000000397 -2.7836843783
868.73887 19.5012183316609 0.0000000316 -2.6342699748
828.55966 9.00662114892922 0.0000000412 -2.7121161359
634.61327 17.6319395883584 0.0000000412 -2.9051425172
800.52008 7.00529186720658 0.0000000368 -2.6768128960
955.77251 20.9201143944706 0.0000000428 -2.7337796544
936.76508 18.5186099282481 0.0000000428 -2.8088378861
942.81203 19.2286735879301 0.0000000428 -2.7888675297
634.61327 17.2609706958659 0.0000000146 -2.7578446067
634.61327 17.046546987421 0.0000000382 -2.7068918447
664.60271 20.6638709867292 0.0000000251 -2.1720561108
790.69192 18.9613743988494 0.0000000412 -3.0566252303
890.72322 19.3382342296112 0.0000000199 -2.4583373897
890.72322 19.4435201936027 0.0000000293 -2.5198070744
736.49118 7.95376324806415 0.0000000445 -2.7563152661
906.75452 20.0215279646577 0.0000000271 -2.4772339493
1040.95797 21.5668988741834 0.0000000428 -2.8401870152
1040.95797 21.0951352585558 0.0000000428 -2.7851674715
938.81712 19.8425766580366 0.0000000098 -2.5115063119
744.66531 20.9369401257098 0.0000000412 -2.9217973512
521.42005 4.56245991383664 0.0000000354 -2.7492537587
682.64966 21.2037438795692 0.0000000397 -2.8121011800
512.46734 6.90917724543291 0.0000000428 -2.8003679445
910.74943 17.7345957013036 0.0000000412 -2.8185775116
694.63440 18.3553007082915 0.0000000412 -2.8412029553
694.63440 18.598961260615 0.0000000412 -2.8574501935
919.73613 19.1677797138039 0.0000000397 -2.7865223663
916.73887 19.4646229304789 0.0000000316 -2.4420142798
838.55926 11.5171097840673 0.0000000412 -2.8576006348
838.55926 5.56502084678931 0.0000000397 -2.7432956181
838.55926 11.9920506155625 0.0000000412 -2.8713336896
1071.00492 21.8021031932053 0.0000000081 0.0000000000
598.54050 15.5084030975704 0.0000000412 -2.8322886629
916.73887 19.687053728927 0.0000000304 -2.6740553812
886.78582 19.9591459073843 0.0000000368 -3.1302637668
932.73378 18.7780916692925 0.0000000428 -2.8650222123
886.78582 19.6966578494945 0.0000000091 -2.6113466699
926.81712 19.9961071843996 0.0000000293 -2.6932437215
692.61875 17.6306018998363 0.0000000428 -2.8021887455
780.67118 19.0957418247026 0.0000000428 -2.8028318245
582.50920 12.5131635258936 0.0000000293 -2.9672317262
593.51395 14.7986388488556 0.0000000428 -2.8075697255
838.69192 19.1221229252974 0.0000000445 -2.8631222554
892.60381 14.3065056849868 0.0000000428 -2.6341691976
754.69192 18.9316579655695 0.0000000125 -3.6333914098
818.56703 10.0990382757739 0.0000000445 -2.6713668650
760.64497 17.9993307313395 0.0000000412 -2.9555709398
878.61994 8.43416308088934 0.0000000412 -2.8689514683
582.50920 12.7753852773845 0.0000000428 -2.7578594801
682.64966 21.2500256419296 0.0000000397 -2.8317733403
763.63876 17.9344687427686 0.0000000215 -3.0142320011
872.57759 11.4901192517225 0.0000000428 -2.8083667720
927.61096 14.2420765502054 0.0000000428 -2.8588526180
808.66610 15.2926862036791 0.0000000412 -2.8186246820
884.73378 18.2921117320691 0.0000000445 -2.7137142035
750.50443 6.90835286677073 0.0000000428 -2.7839515159
884.73378 17.9493702637135 0.0000000428 -2.8080123571
908.73378 17.5335121646671 0.0000000412 -2.8034486917
798.52556 9.96851421522603 0.0000000397 -2.8832878513
831.63745 12.3309298603856 0.0000000428 -2.7102109348
831.63745 12.5092239702787 0.0000000412 -2.7151841047
938.78073 19.4082545818847 0.0000000445 -2.7304934176
826.71305 17.9751998039885 0.0000000428 -2.8544481532
824.61638 11.9954974542944 0.0000000412 -2.8348535467
1000.92667 21.7006674697822 0.0000000304 -2.7903366166
946.71892 15.6794470700887 0.0000000445 -2.7159162305
803.66367 7.49280608940534 0.0000000412 -2.8756872811
1000.92667 21.0634287715864 0.0000000341 -2.5255590505
838.69192 18.8158373469008 0.0000000412 -2.7665142511
838.69192 19.2785591862241 0.0000000382 -2.6402110806
834.71813 19.5884635380838 0.0000000135 -2.4972278153
834.71813 19.7024842141707 0.0000000081 -2.5497657683
754.53813 9.88018527485945 0.0000000328 -2.8186608500
768.55138 8.9843632360349 0.0000000428 -2.7348684265
754.69192 18.7537397440771 0.0000000095 -4.2423869501
818.56943 10.6752780889912 0.0000000125 -2.6972371042
780.67118 18.9099025139418 0.0000000382 -2.7093799427
1106.75610 13.4691689992642 0.0000000412 -2.8688160165
888.64528 15.1423347059567 0.0000000412 -2.8355239264
866.66333 16.1311032822682 0.0000000445 -2.7181829864
620.59762 16.7396977575606 0.0000000125 -2.7105216832
832.70248 19.3221789584865 0.0000000428 -2.6457961623
872.58000 10.9374339665835 0.0000000428 -2.8139365398
832.70248 18.9964478641512 0.0000000184 -2.7088523670
878.56943 7.3036778221345 0.0000000412 -2.7908004904
864.64768 14.4603596661296 0.0000000328 -2.8148387434
645.54525 17.326768853654 0.0000000304 -2.6057127224
808.70248 19.53252474725 0.0000000081 -2.5245046687
808.70248 19.7207297847253 0.0000000146 -2.6684091187
1008.89537 21.1674514292546 0.0000000428 -2.7428865009
1008.89537 21.3493391355033 0.0000000445 -2.6428070399
832.70248 17.9104454003649 0.0000000428 -2.8136227915
774.60073 16.2362152812099 0.0000000445 -2.7780332285
832.70248 17.6077147587415 0.0000000428 -2.8060207485
842.56943 9.99018256168592 0.0000000382 -2.7971000024
942.81203 20.1232368911019 0.0000000462 -2.5839994013
819.61093 10.7711743305582 0.0000000462 -1.9230990696
936.76508 19.1179883382877 0.0000000462 -2.7114859652
832.70248 19.1785617031494 0.0000000462 -2.6523174025
808.66610 15.0654361565242 0.0000000479 -2.7336337991
730.54050 11.6714273823859 0.0000000479 -2.6866064193
890.72322 19.6916151495635 0.0000000517 -2.7350105600
884.73378 18.1777721222614 0.0000000698 -2.7103073732
838.55926 6.29566271833174 0.0000001011 -2.7633604886
838.55926 5.42834274301472 0.0000001355 -2.8293479662
778.53573 8.83688841170851 0.0000001568 -2.1158849056
902.74435 17.6365384225453 0.0000001626 -2.7068220338
902.74435 17.2563816857018 0.0000001626 -2.7358831477
918.81203 19.3009013520459 0.0000001812 -2.7111257858
942.81203 19.4462315033979 0.0000001879 -2.7195455447
966.84842 20.353538437359 0.0000001948 -2.5214619704
838.55926 5.90826679290631 0.0000002093 -2.8057378652
694.59802 17.7874457901788 0.0000002788 -30.1795459485
838.55926 5.74322668110538 0.0000002889 -2.7066001489
838.55926 6.97461568849113 0.0000003330 -2.8063500225
