"m.z" "r.t" "p.value" "t.score"
956.77017 19.9634717117313 0.0000920533 -32.5291708081
872.57759 11.4901192517225 0.0000358813 -2.7663509101
880.76000 18.8551280257099 0.0000358813 -4.1287625673
860.61638 10.814572123533 0.0000730563 -32.5676558666
860.61638 10.4766470056212 0.0000730563 -32.5095408274
580.56632 15.6431414919584 0.0000578099 -3.1796878481
539.43062 4.05616896686207 0.0000730563 -32.7161190575
806.68683 17.5470926919131 0.0000358813 -33.7362064144
644.59762 15.2198626568904 0.0000730563 -32.5391884551
942.81203 20.5328877850625 0.0000358813 -2.7437447247
942.81203 20.1232368911019 0.0000358813 -2.7223970766
634.61327 17.046546987421 0.0000358813 -2.6243115058
634.61327 17.2609706958659 0.0000358813 -2.3809605187
816.55138 9.00539700019513 0.0000920533 -32.5517641107
624.32719 2.37772744078826 0.0000730563 -32.5818155911
770.56943 12.3151054857801 0.0000920533 -32.5662590166
743.60615 14.7694142748399 0.0000578099 0.0000000000
802.53573 8.15660751544341 0.0000578099 -32.5355785040
626.34284 3.15904989717205 0.0000730563 -32.5597587289
942.81203 19.4462315033979 0.0000358813 -2.3033806577
932.77017 19.8525281248487 0.0000730563 -32.4743370493
942.81203 19.2286735879301 0.0000358813 -2.4989084407
776.52008 7.4031156410416 0.0000920533 -32.4628977045
674.64457 17.6769971067008 0.0000730563 -32.5346900052
819.61093 10.7711743305582 0.0000358813 -1.8914354802
857.51856 6.78720399650259 0.0000157586 -1.8088609230
932.73378 18.7780916692925 0.0000358813 -2.7083115235
826.53573 8.05664216501058 0.0000920533 -32.5334213634
826.53573 7.74611818368022 0.0000920533 -32.5994383291
620.59762 16.7396977575606 0.0000358813 -2.3756480463
966.84842 20.353538437359 0.0000358813 -4.8760555264
864.64768 14.4603596661296 0.0000358813 -2.4274718486
862.63203 12.2833803435442 0.0000920533 -32.5477971610
862.63203 11.9512535006425 0.0000730563 -32.4930061735
916.60381 13.1587670191815 0.0000920533 -32.5527265624
608.59762 17.1278515911952 0.0000920533 -32.5171673075
752.52008 7.93427582991434 0.0000920533 -32.6931049998
564.53502 13.016760221587 0.0000920533 -32.5404577907
694.59802 17.7874457901788 0.0000358813 -28.4031745757
793.55889 8.66615893672386 0.0000920533 -32.5812488736
818.56703 10.0990382757739 0.0000358813 -2.1906964715
666.63949 17.0532694771335 0.0000730563 -32.5316311956
736.49228 7.94913734105586 0.0000157586 -31.3956677358
754.53813 9.88018527485945 0.0000358813 -2.4163019678
620.59762 16.4863827907993 0.0000358813 -2.6484325202
634.61327 17.6319395883584 0.0000358813 -2.1816810166
860.61398 14.0406008432365 0.0000920533 -32.5439756690
780.52901 7.25572502669142 0.0000920533 -32.5490284419
753.59050 8.67537806258626 0.0000730563 -32.5075551543
964.83277 20.4689942462704 0.0000730563 -32.5155173740
796.54629 7.98897680006058 0.0000920533 -32.5459481724
1040.95797 21.0951352585558 0.0000358813 -2.1754447792
907.53311 7.80151880012668 0.0000358813 -34.6829797025
640.60271 20.8730521925162 0.0000578099 -32.8496095675
832.70248 19.3221789584865 0.0000358813 -2.2589737414
891.70483 18.8863638533251 0.0000920533 -32.5144354350
763.63876 17.9344687427686 0.0000358813 -2.5940606830
832.70248 19.1785617031494 0.0000358813 -2.2002813157
886.78582 19.9591459073843 0.0000358813 -2.0003531875
593.51395 14.7986388488556 0.0000358813 -2.5351816950
774.60073 16.2362152812099 0.0000358813 -2.7083705774
832.70248 17.9104454003649 0.0000358813 -2.6449463923
808.66610 15.0654361565242 0.0000358813 -2.8237687011
832.70248 17.6077147587415 0.0000358813 -2.6695350795
808.66610 15.2926862036791 0.0000358813 -2.6980024398
779.60615 8.88831180841904 0.0000578099 -32.4181057623
825.68440 14.7942929438249 0.0000920533 -32.5092877141
927.61096 14.2420765502054 0.0000358813 -2.7361459814
791.61366 12.3881898744884 0.0000920533 -32.5330333356
