"m.z" "r.t" "p.value" "t.score"
768.55488 13.0541579667641 0.0000000001 0.8238379767
764.52358 11.249843012875 0.0000000001 0.6788370293
764.52248 10.0117698170554 0.0000000001 0.8657149477
790.53923 11.3707863287423 0.0000000001 1.1295716312
738.50793 10.3223454629904 0.0000000001 0.6651354082
766.53813 11.4098198392024 0.0000000001 0.8574354721
792.55378 11.5036067657378 0.0000000001 1.0554098334
718.53813 12.5773093985538 0.0000000001 0.7937283540
978.84842 20.8363407855246 0.0000000001 0.6524002853
774.60073 16.239879683181 0.0000000001 0.7932164762
716.52358 11.9465095907597 0.0000000001 1.0536160041
792.55378 12.2489819937957 0.0000000001 0.7526221488
790.53923 12.0710857916984 0.0000000001 0.7278231840
740.52248 10.4417155448795 0.0000000001 0.7321496760
826.67666 15.9411548377082 0.0000000001 0.6486962309
876.57601 8.19824993908171 0.0000000001 -31.8920744018
764.52358 10.4697163186512 0.0000000001 0.5610682633
792.55488 13.6628891651468 0.0000000001 0.8796967368
748.49228 8.77720742785254 0.0000000001 0.6084065294
766.53813 10.5906541623826 0.0000000001 0.5901744395
794.56703 13.4993131154608 0.0000000001 0.9968258319
838.63203 13.2259585884285 0.0000000001 0.7817938574
714.50793 10.6346404336776 0.0000000001 0.7568182298
766.53813 10.6408584802938 0.0000000001 0.6550806018
790.53813 9.86387168759099 0.0000000001 0.0000000000
768.55378 12.0939846851885 0.0000000001 0.6770135216
770.56943 14.0563745517994 0.0000000001 0.0000000000
666.63949 17.0532694771335 0.0000000002 0.0000000000
831.63745 12.5092239702787 0.0000000002 0.0000000000
848.54361 10.4299192267077 0.0000000002 0.0000000000
748.54870 7.53976224564786 0.0000000002 0.0000000000
848.54361 10.047191338987 0.0000000002 0.0000000000
803.66367 7.49280608940534 0.0000000002 0.0000000000
860.54361 9.05982176456638 0.0000000002 0.0000000000
564.53502 13.016760221587 0.0000000002 0.0000000000
860.54361 8.38474410173571 0.0000000002 0.0000000000
805.62180 10.0358196364818 0.0000000002 0.0000000000
860.61398 14.0406008432365 0.0000000002 0.0000000000
916.73887 19.687053728927 0.0000000002 0.0000000000
642.56672 17.8943152494222 0.0000000001 0.0000000000
642.56672 17.5627122923697 0.0000000002 0.0000000000
798.52556 9.96851421522603 0.0000000002 0.0000000000
816.55138 9.00539700019513 0.0000000002 0.0000000000
524.50372 11.3822844500956 0.0000000002 0.0000000000
770.56943 13.1877330009195 0.0000000001 0.0000000000
770.56943 12.3151054857801 0.0000000002 0.0000000000
824.61638 11.9954974542944 0.0000000002 0.0000000000
626.34284 3.15904989717205 0.0000000002 0.0000000000
1149.88206 11.9145627667086 0.0000000002 0.0000000000
860.54361 7.08624726430884 0.0000000002 0.0000000000
620.59762 16.4863827907993 0.0000000002 0.0000000000
771.63745 16.0121158351908 0.0000000002 0.0000000000
536.50372 10.509208423509 0.0000000002 0.0000000000
831.63745 12.3309298603856 0.0000000002 0.0000000000
860.61398 12.8436534231233 0.0000000002 0.0000000000
819.63745 13.1161312191406 0.0000000002 0.0000000000
838.78582 20.3699000055068 0.0000000002 -32.2364458976
644.59762 15.2198626568904 0.0000000002 0.0000000000
774.60073 16.2362152812099 0.0000000002 0.0000000000
746.56943 14.616686840722 0.0000000001 0.0000000000
832.70248 19.3221789584865 0.0000000002 0.0000000000
848.61638 11.5896624503375 0.0000000002 0.0000000000
848.61638 12.4766974271809 0.0000000002 0.0000000000
779.60615 8.88831180841904 0.0000000001 0.0000000000
808.66610 15.0654361565242 0.0000000001 0.0000000000
730.54050 11.6714273823859 0.0000000002 0.0000000000
808.66610 15.2926862036791 0.0000000002 0.0000000000
658.54050 14.1221329561315 0.0000000002 0.0000000000
557.45644 4.03606346915314 0.0000000002 0.0000000000
832.70248 19.1785617031494 0.0000000002 0.0000000000
872.58000 10.9374339665835 0.0000000002 0.0000000000
832.70248 18.9964478641512 0.0000000002 0.0000000000
768.55138 12.8482763736528 0.0000000002 0.5440162836
1106.75610 13.4691689992642 0.0000000002 0.0000000000
826.71305 17.9751998039885 0.0000000002 0.0000000000
766.53573 10.1042840974005 0.0000000001 0.5960541820
674.64457 17.6769971067008 0.0000000002 0.0000000000
716.52248 10.7508630510489 0.0000000001 0.6138084620
682.64966 21.2500256419296 0.0000000002 0.0000000000
792.48101 7.38003461304003 0.0000000002 0.0000000000
842.62695 9.03822113025416 0.0000000001 0.0000000000
783.45714 2.98186299648712 0.0000000002 0.0000000000
791.61366 12.3881898744884 0.0000000002 0.0000000000
927.61096 14.2420765502054 0.0000000002 0.0000000000
814.50175 8.28706860620359 0.0000000002 0.0000000000
750.50443 6.90835286677073 0.0000000002 0.0000000000
780.52901 7.25572502669142 0.0000000002 0.0000000000
753.59050 8.67537806258626 0.0000000002 0.0000000000
752.52008 8.38462031932374 0.0000000001 0.0000000000
552.53502 13.5982849335961 0.0000000002 0.0000000000
618.58197 16.8515136611189 0.0000000002 0.0000000000
568.56632 15.451306688055 0.0000000002 0.0000000000
889.57765 10.2944029330796 0.0000000002 0.0000000000
784.66610 16.4558181851827 0.0000000002 0.3613751000
822.56435 8.43735291513157 0.0000000002 0.0000000000
740.63401 20.5689674938009 0.0000000002 0.0000000000
763.63876 17.9344687427686 0.0000000002 0.0000000000
820.51231 9.20583662612468 0.0000000002 0.0000000000
754.53813 9.88018527485945 0.0000000002 0.0000000000
936.76508 19.1179883382877 0.0000000002 0.0000000000
582.50920 12.5131635258936 0.0000000002 0.0000000000
700.48878 7.51491353390292 0.0000000002 0.0000000000
932.73378 18.7780916692925 0.0000000002 0.0000000000
634.61327 17.6319395883584 0.0000000002 0.0000000000
