"m.z" "r.t" "p.value" "t.score"
844.51231 8.40001784466841 0.0000000001 -27.9114726576
1056.98927 21.7393811083369 0.0000000001 -28.0121589466
794.56943 10.0512169828038 0.0000000001 -28.5084799939
798.56435 7.40936832634803 0.0000000001 -28.2825101360
714.50793 10.6346404336776 0.0000000001 0.6722099880
798.56435 7.74104100674684 0.0000000002 -28.1219628497
734.47663 7.85423995381365 0.0000000001 -29.8356821868
798.56435 9.39019550686799 0.0000000001 -28.2249217358
912.57251 10.1489104584263 0.0000000001 -28.3685335811
904.60621 15.7121643288585 0.0000000002 -28.7104706789
911.56200 10.3169881981364 0.0000000001 -28.5954421725
998.91102 21.3514110167093 0.0000000001 -28.5530991084
826.59565 5.41358206450525 0.0000000001 -27.6200783222
756.63480 14.9382181617438 0.0000000001 -28.7848880820
826.59565 6.30493958316165 0.0000000001 -27.7950006865
826.59565 6.61402762876569 0.0000000001 -28.1257856866
843.70723 18.4689944607603 0.0000000001 -27.7877233382
743.60615 14.7694142748399 0.0000000002 0.0000000000
892.60621 14.269776412408 0.0000000002 -29.0779468730
902.57531 7.8476288981191 0.0000000002 -29.4392762306
902.57531 8.40777597764156 0.0000000001 -28.5466213059
892.60621 14.1193307211879 0.0000000002 -28.7488614721
913.74910 19.302198557412 0.0000000001 -28.0056252904
774.66062 18.9367944515235 0.0000000001 -28.3756770385
774.66062 19.10110760512 0.0000000001 -28.1629618342
970.84333 20.787414113719 0.0000000001 -28.0617395147
796.66610 15.6209886249695 0.0000000001 -27.9153720151
796.66610 15.453594050896 0.0000000001 -27.8873968931
894.69463 17.26798736618 0.0000000002 -28.5490440662
882.59833 11.2774711133797 0.0000000001 -27.8869266573
862.74943 18.3761521168708 0.0000000002 -28.2564892972
828.51740 8.78639476467082 0.0000000001 -27.9126077292
538.51937 12.6347754672218 0.0000000001 -28.8643870945
686.55655 8.93954766289255 0.0000000001 -27.9942701104
914.58816 11.4549287797669 0.0000000001 -28.4767360653
886.55686 8.74647435991662 0.0000000001 -29.1068292076
886.55686 9.77556956966247 0.0000000001 -29.2328697805
690.50683 10.254350732483 0.0000000001 -32.0249412827
914.58816 12.1295437681812 0.0000000002 -29.2660776602
886.55686 9.91590302768569 0.0000000002 -28.7924791188
886.63203 14.1498379234974 0.0000000001 -27.9027554965
878.57531 8.00328355330391 0.0000000002 -29.6170554223
864.76508 18.5487957679309 0.0000000002 -28.2296655405
716.52358 11.9465095907597 0.0000000002 0.7210541412
942.84842 21.2651997878172 0.0000000002 -27.3978450125
844.51231 7.60670784244211 0.0000000002 -25.8665030459
842.66333 16.4569772072823 0.0000000002 -29.3475425479
916.79638 18.7577446168061 0.0000000002 -29.2836056531
972.73457 15.9008881752571 0.0000000001 -27.9022361034
838.55686 11.6489497894507 0.0000000001 -28.3198947994
650.64457 18.2046555342791 0.0000000001 -28.7540690260
738.50793 10.3223454629904 0.0000000001 0.4468641203
720.66531 20.8553086450585 0.0000000001 -28.3628727072
935.76743 19.7157583960086 0.0000000002 -28.0142104666
950.81712 20.1666057797395 0.0000000001 -28.3744461553
886.55926 8.57816991215886 0.0000000001 -29.1504861480
836.54361 9.52829618383562 0.0000000001 -28.4693317887
836.54361 6.69187420605594 0.0000000001 -28.0902131498
836.54361 5.89059209797699 0.0000000001 -28.2178702002
776.63988 15.4470356803124 0.0000000002 -28.8281836374
836.54361 5.56437474523934 0.0000000002 -27.5348784265
648.32719 2.17865509719125 0.0000000001 -28.3344696447
790.65553 16.5310349134248 0.0000000001 -29.4652177699
782.53415 13.6397363078019 0.0000000001 -30.0114050248
449.36254 4.69384636354502 0.0000000001 -28.1665815291
476.27717 1.86263426161962 0.0000000001 -28.5263051910
886.74943 18.4161279046149 0.0000000002 0.0000000000
606.28375 2.14189733332432 0.0000000001 -29.7847818189
742.53573 10.0062373355179 0.0000000001 -28.4547940070
690.50683 10.2633397689426 0.0000000001 -32.0220266703
