"m.z" "r.t" "p.value" "t.score"
633.50646 17.0899299089191 0.0000000001 0.0000000000
911.56200 10.3169881981364 0.0000000005 0.0000000000
592.56632 15.263897634046 0.0000000004 0.0000000000
742.53573 10.0062373355179 0.0000000006 0.0000000000
892.60621 14.269776412408 0.0000000006 0.0000000000
914.58816 11.4549287797669 0.0000000004 0.0000000000
886.63203 14.1498379234974 0.0000000004 0.0000000000
756.63480 14.9382181617438 0.0000000005 0.0000000000
878.57531 8.33550877663642 0.0000000006 0.0000000000
886.55926 8.57816991215886 0.0000000004 0.0000000000
844.51231 7.60670784244211 0.0000000003 0.0000000000
844.51231 8.40001784466841 0.0000000006 0.0000000000
902.57531 8.40777597764156 0.0000000004 0.0000000000
902.57531 7.8476288981191 0.0000000006 0.0000000000
812.54361 10.7224346048556 0.0000000005 0.0000000000
670.59802 18.7985306813644 0.0000000001 0.0000000000
912.57251 10.1489104584263 0.0000000004 0.0000000000
648.32719 2.17865509719125 0.0000000005 0.0000000000
798.56435 9.39019550686799 0.0000000006 0.0000000000
886.55686 8.74647435991662 0.0000000004 0.0000000000
540.49864 8.7195918250089 0.0000000006 0.0000000000
449.36254 4.69384636354502 0.0000000004 0.0000000000
1071.00492 21.8021031932053 0.0000000001 0.0000000000
794.56943 9.62792156052975 0.0000000003 0.0000000000
794.56943 9.80425172899345 0.0000000006 0.0000000000
794.56943 10.0512169828038 0.0000000002 0.0000000000
1056.98927 21.7393811083369 0.0000000005 0.0000000000
828.51740 8.78639476467082 0.0000000006 0.0000000000
882.59833 11.2774711133797 0.0000000004 0.0000000000
790.53573 8.61770766977979 0.0000000005 0.0000000000
894.69463 17.26798736618 0.0000000004 0.0000000000
476.27717 1.86263426161962 0.0000000005 0.0000000000
886.62963 14.1753157763862 0.0000000004 0.0000000000
1075.03622 22.2272700293582 0.0000000002 0.0000000000
904.79638 19.6350400633875 0.0000000002 0.0000000000
886.55686 9.77556956966247 0.0000000006 0.0000000000
828.61130 11.736746831848 0.0000000001 0.0000000000
827.66367 13.4443841781333 0.0000000004 0.0000000000
774.66062 18.9367944515235 0.0000000005 0.0000000000
890.65632 11.3010359829542 0.0000000005 0.0000000000
904.60621 15.7121643288585 0.0000000005 0.0000000000
686.55655 8.93954766289255 0.0000000004 0.0000000000
774.66062 19.10110760512 0.0000000005 0.0000000000
972.73457 15.9008881752571 0.0000000004 0.0000000000
838.55686 11.6489497894507 0.0000000008 0.0000000000
796.66610 15.453594050896 0.0000000007 0.0000000000
828.70757 19.682232899643 0.0000000008 0.0000000000
992.77017 19.6172518313539 0.0000000007 0.0000000000
796.66610 15.6209886249695 0.0000000008 0.0000000000
878.57531 8.00328355330391 0.0000000008 0.0000000000
826.59565 5.41358206450525 0.0000000008 0.0000000000
970.87972 21.3626190675767 0.0000000007 0.0000000000
970.84333 20.787414113719 0.0000000008 0.0000000000
842.66333 16.4569772072823 0.0000000007 0.0000000000
828.70757 19.5893528903648 0.0000000009 0.0000000000
790.65553 16.0535794870784 0.0000000009 29.1931795855
886.55686 9.91590302768569 0.0000000009 0.0000000000
812.54361 8.69583647723979 0.0000000009 0.0000000000
