"m.z" "r.t" "p.value" "t.score"
716.52248 10.5192519460083 0.0000000001 0.7762086092
716.52248 10.7508630510489 0.0000000001 0.7306155504
718.53813 12.5773093985538 0.0000000001 0.8928611510
764.52248 10.0117698170554 0.0000000001 0.8404053385
978.84842 20.8363407855246 0.0000000001 0.5550996205
764.52248 11.4149055732965 0.0000000001 0.7297104795
766.53573 12.6762752449308 0.0000000001 0.7942444363
778.53573 10.989356969197 0.0000000003 0.6454491205
633.50646 17.0899299089191 0.0000000004 -30.6706022071
798.56435 9.39019550686799 0.0000000047 -29.1336263955
970.87972 21.0948246984237 0.0000000047 -29.2753247788
862.62502 9.24482835869706 0.0000000015 -3.2666621849
892.60621 14.269776412408 0.0000000026 -29.5812553155
911.56200 10.3169881981364 0.0000000047 -29.0354206386
892.60621 14.1193307211879 0.0000000024 -29.3811140547
914.58816 12.1295437681812 0.0000000019 -29.6961529556
914.58816 11.4549287797669 0.0000000019 -29.1991608072
886.63203 14.1498379234974 0.0000000026 -29.0986025654
912.57251 10.1489104584263 0.0000000047 -29.0970130108
798.56435 7.40936832634803 0.0000000047 -29.0720977976
812.54361 8.69583647723979 0.0000000039 -29.0067015288
798.56435 7.74104100674684 0.0000000017 -29.5171436732
812.54361 10.7224346048556 0.0000000039 -28.9919008145
1002.94232 21.625995387222 0.0000000013 -28.9629102513
720.66531 20.8553086450585 0.0000000047 -29.2314908524
538.51937 12.6347754672218 0.0000000017 -29.5608795893
878.57531 8.33550877663642 0.0000000052 -29.1424341256
878.57531 8.00328355330391 0.0000000052 -29.1860799709
774.60073 16.239879683181 0.0000000006 0.6690398697
970.84333 20.787414113719 0.0000000039 -29.1105423327
774.66062 18.9367944515235 0.0000000047 -29.0074981375
774.66062 19.10110760512 0.0000000047 -29.0206801737
886.55686 9.91590302768569 0.0000000052 -29.4027557517
886.55686 9.77556956966247 0.0000000026 -29.3414725275
992.77017 19.6172518313539 0.0000000052 -29.4757765428
827.66367 13.4443841781333 0.0000000017 -29.4763451175
650.64457 18.2046555342791 0.0000000026 -29.1576116388
826.59565 5.41358206450525 0.0000000021 -29.0425199377
844.51231 7.60670784244211 0.0000000019 -29.3164102566
844.51231 8.40001784466841 0.0000000047 -29.0132597792
836.54361 5.56437474523934 0.0000000047 -29.0224768537
836.54361 5.89059209797699 0.0000000047 -29.0415405276
836.54361 6.69187420605594 0.0000000047 -29.0120044486
836.54361 9.52829618383562 0.0000000017 -29.2269202902
838.55686 11.6489497894507 0.0000000024 -29.1509974147
648.32719 2.17865509719125 0.0000000029 -29.1143940276
