"m.z" "r.t" "p.value" "t.score"
838.55926 6.29566271833174 0.0000000041 2.4952804958
813.69426 20.5201278422302 0.0000000003 -34.1456969225
944.82768 20.8102044715988 0.0000000026 -30.6301642625
1068.98927 21.7209722491142 0.0000000013 -32.4263129971
918.81203 19.3009013520459 0.0000000041 2.3007145383
814.53813 12.2523247458168 0.0000000021 -30.8563767158
782.72322 19.5597745781931 0.0000000016 -34.0989408180
940.60621 12.272387208172 0.0000000006 0.0000000000
878.56943 7.3036778221345 0.0000000041 2.4313913011
890.72322 19.3382342296112 0.0000000031 2.8376637563
1024.67785 8.65224253047407 0.0000000041 2.1224640998
790.65553 16.5310349134248 0.0000000013 -29.9632620742
768.55138 8.9843632360349 0.0000000041 2.3985452775
828.55966 9.00662114892922 0.0000000041 2.4496435339
872.58000 10.9374339665835 0.0000000041 2.3684290291
1071.00492 21.8021031932053 0.0000000003 -2.4593368966
750.50443 6.90835286677073 0.0000000041 2.3878557012
890.72322 19.4435201936027 0.0000000041 2.6173693570
572.48847 12.7974983020348 0.0000000001 33.9983660130
572.48847 13.085586598735 0.0000000001 34.1398764477
694.63440 18.598961260615 0.0000000041 2.4091076478
824.61638 11.9954974542944 0.0000000041 2.3505999445
818.56703 10.0990382757739 0.0000000041 2.3654369134
902.74435 17.2563816857018 0.0000000041 2.5241371913
598.54050 15.5084030975704 0.0000000041 2.3876903720
780.67118 18.9099025139418 0.0000000041 2.3535296333
780.67118 19.0957418247026 0.0000000041 2.3741032846
942.81203 19.2286735879301 0.0000000041 2.3082366125
942.81203 19.4462315033979 0.0000000041 2.5468937378
788.52248 8.630284343459 0.0000000041 2.3751452176
942.81203 20.1232368911019 0.0000000041 2.4643100565
942.81203 20.5328877850625 0.0000000041 2.3202424739
880.76000 18.8551280257099 0.0000000037 2.1772435432
796.73887 19.7977855137768 0.0000000037 -31.8610509839
754.65553 17.7675590795001 0.0000000037 0.0000000000
966.84842 20.353538437359 0.0000000021 2.5561660285
932.73378 18.7780916692925 0.0000000041 2.4124836148
714.50683 8.93825499182348 0.0000000019 -30.7732814472
760.64497 17.9993307313395 0.0000000041 2.4600151919
744.66531 20.9369401257098 0.0000000041 2.4814534719
521.42005 4.56245991383664 0.0000000041 2.3762029967
682.64966 21.2037438795692 0.0000000041 2.4709312422
1075.03622 22.2272700293582 0.0000000003 -2.4503457806
902.74435 17.6365384225453 0.0000000041 2.5166441496
544.45717 10.6548749156376 0.0000000003 31.3835144940
798.52556 9.96851421522603 0.0000000041 2.4058478107
890.72322 19.6916151495635 0.0000000041 2.4378214129
838.55926 5.56502084678931 0.0000000041 2.7447631270
838.55926 5.42834274301472 0.0000000041 2.5703937513
803.66367 7.49280608940534 0.0000000041 2.3969541528
812.66101 15.4849345277848 0.0000000003 0.0000000000
842.56943 9.99018256168592 0.0000000041 2.4957610747
661.52790 9.69447754506992 0.0000000018 -30.8031941188
620.59762 16.4863827907993 0.0000000041 2.4277050910
826.71305 17.9751998039885 0.0000000041 2.3266542990
798.52796 10.0199104253459 0.0000000041 2.4278774487
800.52008 7.00529186720658 0.0000000041 2.3111363092
892.60381 14.3065056849868 0.0000000041 2.2769092898
743.60615 14.7694142748399 0.0000000012 -32.8070093138
620.59762 16.7396977575606 0.0000000041 2.3606640230
864.64768 14.4603596661296 0.0000000041 2.3764080180
808.66610 15.2926862036791 0.0000000041 2.3424239158
808.66610 15.0654361565242 0.0000000041 2.2615628675
872.57759 11.4901192517225 0.0000000041 2.3761437139
682.64966 21.2500256419296 0.0000000041 2.4716512033
754.53813 9.88018527485945 0.0000000041 2.3392864679
838.55926 5.74322668110538 0.0000000041 2.4895278457
831.63745 12.5092239702787 0.0000000041 2.4376689429
831.63745 12.3309298603856 0.0000000041 2.2915231081
838.55926 5.90826679290631 0.0000000041 2.4145185427
940.60381 12.0061833729497 0.0000000006 0.0000000000
1040.95797 21.0951352585558 0.0000000041 2.4470004459
1040.95797 21.5668988741834 0.0000000041 2.4136211469
906.71813 16.7899063087552 0.0000000041 2.3813612522
1106.75610 13.4691689992642 0.0000000041 2.3963184816
730.54050 11.6714273823859 0.0000000041 2.2916647497
866.66333 16.1311032822682 0.0000000041 2.3604876277
888.64528 15.1423347059567 0.0000000041 2.3992808827
818.56943 10.6752780889912 0.0000000037 2.1782619864
832.70248 19.3221789584865 0.0000000041 2.3223125904
774.60073 16.2362152812099 0.0000000041 2.3710532753
936.76508 18.5186099282481 0.0000000041 2.4554478151
936.76508 19.1179883382877 0.0000000041 2.4815572333
904.79638 19.6350400633875 0.0000000012 -31.3206631592
645.54525 17.326768853654 0.0000000041 2.3273303366
927.61096 14.2420765502054 0.0000000041 2.3733516126
838.55926 11.9920506155625 0.0000000041 2.3789419900
838.55926 11.5171097840673 0.0000000041 2.4169208448
838.55926 6.97461568849113 0.0000000041 2.4834147381
955.77251 20.9201143944706 0.0000000041 2.4145659054
936.82260 19.8146090045997 0.0000000003 0.0000000000
832.70248 19.1785617031494 0.0000000041 2.4120683222
694.63440 18.3553007082915 0.0000000041 2.3865200575
832.70248 17.9104454003649 0.0000000041 2.4270354165
834.71813 19.7024842141707 0.0000000041 2.4301448171
834.71813 19.5884635380838 0.0000000041 2.2905509718
876.80147 20.8894861974896 0.0000000019 0.3426614051
781.63166 19.5054389752395 0.0000000019 -30.7209158748
906.77565 19.1793709313384 0.0000000023 -30.6013233782
736.49118 7.95376324806415 0.0000000041 2.3934704919
884.73378 18.2921117320691 0.0000000041 2.4116956722
886.78582 19.9591459073843 0.0000000041 2.8169524569
593.51395 14.7986388488556 0.0000000041 2.4019628793
884.73378 18.1777721222614 0.0000000041 2.3908643345
884.73378 17.9493702637135 0.0000000041 2.4619659251
866.81712 20.6864549321464 0.0000000023 -32.5437862426
778.53573 8.83688841170851 0.0000000009 1.7372177716
1000.92667 21.7006674697822 0.0000000041 2.3898093721
1000.92667 21.0634287715864 0.0000000037 2.4539501727
832.70248 18.9964478641512 0.0000000041 2.3229604356
838.69192 19.2785591862241 0.0000000041 2.3436758300
908.73378 17.5335121646671 0.0000000041 2.3782132902
946.71892 15.6794470700887 0.0000000041 2.3699866587
582.50920 12.5131635258936 0.0000000041 2.4460270302
926.81712 19.9961071843996 0.0000000041 2.5851713607
938.78073 19.4082545818847 0.0000000041 2.5135410060
582.50920 12.7753852773845 0.0000000041 2.2615031554
