"m.z" "r.t" "p.value" "t.score"
884.73378 18.1777721222614 0.0000000127 0.8598295524
832.70248 17.6077147587415 0.0000000127 0.8476441777
832.70248 17.9104454003649 0.0000000127 0.8631157876
878.56943 7.3036778221345 0.0000000127 0.8460240492
808.66610 15.0654361565242 0.0000000134 0.8257356058
1106.75610 13.4691689992642 0.0000000127 0.8279964693
808.66610 15.2926862036791 0.0000000127 0.8195424819
832.70248 18.9964478641512 0.0000000127 0.8293917208
832.70248 19.1785617031494 0.0000000142 0.8445331632
832.70248 19.3221789584865 0.0000000127 0.8267592137
826.71305 17.9751998039885 0.0000000127 0.8272972462
813.69426 20.5201278422302 0.0000000120 0.0000000000
782.72322 19.5597745781931 0.0000000077 -32.2503010698
598.54050 15.5084030975704 0.0000000127 0.8386949570
730.54050 11.6714273823859 0.0000000127 0.8088164770
620.59762 16.7396977575606 0.0000000150 0.8482882355
750.50443 6.90835286677073 0.0000000127 0.8304125623
824.61638 11.9954974542944 0.0000000127 0.8166333522
942.81203 20.1232368911019 0.0000000142 0.8385174952
645.54525 17.326768853654 0.0000000158 0.8597123090
942.81203 19.4462315033979 0.0000000134 0.8287098880
942.81203 19.2286735879301 0.0000000134 0.8627131631
842.56943 9.99018256168592 0.0000000127 0.8062942358
798.52556 9.96851421522603 0.0000000127 0.8346602080
678.56672 16.2927558222061 0.0000000120 -31.6316265988
1035.00492 22.09824741533 0.0000000114 1.3698441650
780.67118 19.0957418247026 0.0000000134 0.8528174172
780.67118 18.9099025139418 0.0000000134 0.8354161545
864.64768 14.4603596661296 0.0000000134 0.8375861596
774.60073 16.2362152812099 0.0000000127 0.8284449679
760.64497 17.9993307313395 0.0000000134 0.8014114373
692.61875 17.6306018998363 0.0000000127 0.8270008805
812.66101 15.4849345277848 0.0000000158 32.3508700651
942.81203 20.5328877850625 0.0000000134 0.8326564324
788.52248 8.630284343459 0.0000000127 0.8138548624
1008.89537 21.3493391355033 0.0000000142 0.8502882852
1000.92667 21.7006674697822 0.0000000150 0.8003625484
804.51850 11.3263225046212 0.0000000143 0.0000000000
872.58000 10.9374339665835 0.0000000127 0.8392702303
838.69192 19.2785591862241 0.0000000150 0.7899303702
838.69192 19.1221229252974 0.0000000142 0.8224924834
838.69192 18.8158373469008 0.0000000142 0.8255122471
892.60381 14.3065056849868 0.0000000134 0.8500257751
866.81712 20.6864549321464 0.0000000142 0.0000000000
1024.67785 8.65224253047407 0.0000000158 0.7983548686
694.63440 18.598961260615 0.0000000134 0.8287090198
694.63440 18.3553007082915 0.0000000127 0.8316389074
734.47663 7.85423995381365 0.0000000143 0.0000000000
800.52008 7.00529186720658 0.0000000142 0.8132262480
768.55138 8.9843632360349 0.0000000127 0.8531320723
884.73378 17.9493702637135 0.0000000127 0.8456972958
682.64966 21.2037438795692 0.0000000127 0.8279209990
521.42005 4.56245991383664 0.0000000134 0.8283926934
1008.89537 21.1674514292546 0.0000000150 0.8682034284
908.73378 17.5335121646671 0.0000000127 0.8307065883
808.70248 19.7207297847253 0.0000000134 0.8922832706
606.28375 2.14189733332432 0.0000000111 0.0000000000
763.63876 17.9344687427686 0.0000000082 0.7761757277
808.70248 19.53252474725 0.0000000142 0.8614172871
678.56672 16.431549127195 0.0000000120 -31.5615315183
834.71813 19.7024842141707 0.0000000134 0.8715866439
798.52796 10.0199104253459 0.0000000127 0.8267493504
743.60615 14.7694142748399 0.0000000127 -31.2462846563
938.78073 19.4082545818847 0.0000000158 0.8121922601
884.73378 18.2921117320691 0.0000000134 0.8451459875
828.55966 9.00662114892922 0.0000000127 0.8382350584
744.66531 20.9369401257098 0.0000000127 0.8209439494
682.64966 21.2500256419296 0.0000000127 0.8321271149
782.53415 13.6397363078019 0.0000000117 0.0000000000
918.81203 19.3009013520459 0.0000000150 0.8441678212
774.52906 7.87181094106 0.0000000106 0.0000000000
838.55926 6.97461568849113 0.0000000077 0.8841800836
872.57759 11.4901192517225 0.0000000127 0.8333101779
974.87463 20.3029731425367 0.0000000069 -3.0850575553
838.55926 11.5171097840673 0.0000000127 0.8176014501
838.55926 11.9920506155625 0.0000000127 0.8359013021
955.77251 20.9201143944706 0.0000000127 0.8040668288
803.66367 7.49280608940534 0.0000000127 0.8295275689
634.61327 17.6319395883584 0.0000000127 0.8330472019
620.59762 16.4863827907993 0.0000000142 0.8306395418
512.46734 6.90917724543291 0.0000000134 0.8297126489
910.74943 17.7345957013036 0.0000000127 0.8343929221
919.73613 19.1677797138039 0.0000000134 0.8678218812
906.71813 16.7899063087552 0.0000000127 0.8396051184
582.50920 12.5131635258936 0.0000000134 0.7962466054
790.65553 16.5310349134248 0.0000000134 0.0000000000
866.66333 16.1311032822682 0.0000000150 0.8251574797
972.85898 20.1777156725036 0.0000000150 0.0000000000
926.81712 19.9961071843996 0.0000000158 0.8245703261
1040.95797 21.5668988741834 0.0000000134 0.8289583155
878.61994 8.43416308088934 0.0000000127 0.8296772027
1040.95797 21.0951352585558 0.0000000134 0.8207363132
582.50920 12.7753852773845 0.0000000127 0.8297475869
888.64528 15.1423347059567 0.0000000127 0.8345673654
831.63745 12.5092239702787 0.0000000134 0.7984839775
838.55926 6.29566271833174 0.0000000120 0.8409271044
902.74435 17.6365384225453 0.0000000077 0.8883579059
932.73378 18.7780916692925 0.0000000127 0.8366205209
904.79638 19.6350400633875 0.0000000142 0.0000000000
936.76508 19.1179883382877 0.0000000150 0.8270814309
890.72322 19.6916151495635 0.0000000150 0.8320249204
890.72322 19.4435201936027 0.0000000150 0.8158542244
946.71892 15.6794470700887 0.0000000134 0.8252006884
890.72322 19.3382342296112 0.0000000134 0.8567639596
790.69192 18.9613743988494 0.0000000158 0.7764576944
927.61096 14.2420765502054 0.0000000127 0.8324318201
736.49118 7.95376324806415 0.0000000127 0.8329044327
936.76508 18.5186099282481 0.0000000127 0.8330007682
936.82260 19.8146090045997 0.0000000127 32.3692327377
754.53813 9.88018527485945 0.0000000142 0.8530454463
634.61327 17.046546987421 0.0000000150 0.8183817681
