"m.z" "r.t" "p.value" "t.score"
796.66610 15.6209886249695 0.0000190735 -30.2213050179
1106.75610 13.4691689992642 0.0000190735 0.0000000000
893.72048 18.9673373341336 0.0000190735 -30.2352839735
593.51395 14.7986388488556 0.0000190735 0.0000000000
720.66531 20.8553086450585 0.0000190735 -30.3079208463
888.76508 18.4553307275951 0.0000190735 -29.7425434432
888.76508 18.2461233448749 0.0000190735 -29.9813027354
886.74943 18.4161279046149 0.0000190735 -30.4962795940
476.27717 1.86263426161962 0.0000190735 -30.2645583726
730.54050 11.6714273823859 0.0000190735 0.0000000000
868.73887 19.5012183316609 0.0000190735 0.0000000000
864.76508 18.5487957679309 0.0000190735 -30.2750401317
634.61327 17.6319395883584 0.0000190735 0.0000000000
862.74943 18.3761521168708 0.0000190735 -30.3256965307
690.50683 10.2541770466429 0.0000190735 -30.9502227775
892.79638 19.2859606993813 0.0000190735 -30.1873879542
843.70723 18.4689944607603 0.0000190735 -30.1994006825
774.60073 16.2362152812099 0.0000190735 0.0000000000
634.61327 17.046546987421 0.0000190735 0.0000000000
796.66610 15.453594050896 0.0000190735 -30.2090276001
561.48883 13.1581818237378 0.0000190735 0.0000000000
740.63401 20.5689674938009 0.0000190735 0.0000000000
760.64497 17.9993307313395 0.0000190735 0.0000000000
754.69192 18.9316579655695 0.0000190735 0.0000000000
754.69192 18.7537397440771 0.0000190735 0.0000000000
876.57601 8.19824993908171 0.0000190735 -30.4240425483
956.73251 18.2063702884559 0.0000190735 0.0000000000
814.53813 12.2523247458168 0.0000190735 0.0000000000
878.56943 7.3036778221345 0.0000190735 0.0000000000
774.52906 7.87181094106 0.0000190735 0.0000000000
608.52485 12.9131676509597 0.0000190735 -30.0695705457
634.61327 17.2609706958659 0.0000190735 0.0000000000
778.53573 8.83688841170851 0.0000190735 0.0000000000
906.75452 20.0215279646577 0.0000190735 0.0000000000
540.49864 8.7195918250089 0.0000190735 -30.2292552418
678.56672 16.2927558222061 0.0000190735 0.0000000000
538.48299 6.64984389580239 0.0000190735 0.0000000000
864.64768 14.4603596661296 0.0000190735 0.0000000000
813.69426 20.5201278422302 0.0000190735 -31.3941389646
714.60310 16.4127143615306 0.0000190735 -29.8292704644
992.77017 19.6172518313539 0.0000190735 -30.7800817449
970.87972 21.3626190675767 0.0000190735 -30.2701386068
