"m.z" "r.t" "p.value" "t.score"
848.54361 10.4299192267077 0.0001220703 0.0000000000
878.56943 7.3036778221345 0.0001220703 32.9173163435
878.58816 12.7629630372409 0.0001220703 0.0000000000
800.54361 11.5977043071417 0.0001220703 0.0000000000
608.52485 12.9131676509597 0.0001220703 0.0000000000
768.55138 8.9843632360349 0.0001220703 32.9615857658
904.60621 15.7121643288585 0.0001220703 0.0000000000
872.58000 10.9374339665835 0.0001220703 32.8715187839
848.61638 12.4766974271809 0.0000610352 0.0000000000
848.61638 11.5896624503375 0.0001220703 0.0000000000
686.55655 8.93954766289255 0.0001220703 0.0000000000
822.56435 8.43735291513157 0.0001220703 0.0000000000
822.56435 7.46586625635427 0.0001220703 0.0000000000
822.56435 6.98915339023115 0.0001220703 0.0000000000
750.50443 6.90835286677073 0.0001220703 32.9754588936
842.62695 9.03822113025416 0.0000610352 0.0000000000
792.48101 7.38003461304003 0.0000610352 0.0000000000
848.54361 10.047191338987 0.0001220703 0.0000000000
678.47045 4.03781475879018 0.0001220703 29.2905244411
860.54361 8.38474410173571 0.0001220703 0.0000000000
860.54361 7.08624726430884 0.0001220703 0.0000000000
824.61638 11.9954974542944 0.0001220703 32.9201084420
798.52556 9.96851421522603 0.0001220703 32.8793431010
664.58745 16.9059194033 0.0000610352 0.0000000000
940.60381 12.0061833729497 0.0001220703 1.0300073201
780.51740 7.52666946501343 0.0001220703 0.0000000000
814.50175 8.28706860620359 0.0001220703 0.0000000000
820.51231 9.20583662612468 0.0001220703 0.0000000000
820.51231 8.44617022668243 0.0001220703 0.0000000000
822.52796 7.86313854524781 0.0001220703 0.0000000000
940.60621 12.272387208172 0.0001220703 1.0308846424
820.54870 9.30071755361875 0.0001220703 0.0000000000
814.53813 12.2523247458168 0.0001220703 0.0000000000
842.70796 17.694879108752 0.0001220703 0.0000000000
752.52008 7.93427582991434 0.0001220703 0.0000000000
564.53502 13.016760221587 0.0001220703 0.0000000000
666.63949 17.0532694771335 0.0001220703 0.0000000000
834.75452 19.8122443409182 0.0001220703 0.0000000000
674.64457 17.6769971067008 0.0001220703 0.0000000000
795.63745 17.2437848228664 0.0001220703 0.0000000000
644.59762 15.2198626568904 0.0001220703 0.0000000000
743.60615 14.7694142748399 0.0001220703 0.0000000000
