"m.z" "r.t" "p.value" "t.score"
972.80147 20.1841074795638 0.0625000000 0.0000000000
593.51395 14.7986388488556 0.0625000000 0.4212807996
812.54361 10.7224346048556 0.0625000000 0.0000000000
812.54361 8.69583647723979 0.0625000000 0.0000000000
812.54361 4.75777593475662 0.0625000000 0.0113521931
778.53573 8.83688841170851 0.0625000000 0.1488245582
898.78582 20.6126099765998 0.0625000000 -0.5136997412
664.60271 20.6638709867292 0.0625000000 0.5223455479
900.80147 20.701114540079 0.0625000000 -0.3448873818
742.53813 12.0213414389539 0.0625000000 0.0000000000
886.78582 19.9591459073843 0.0625000000 0.4900576918
906.75452 20.0215279646577 0.0625000000 0.4255997871
742.53813 11.3931641140085 0.0625000000 0.0000000000
512.46734 6.90917724543291 0.0625000000 0.4227333485
910.74943 17.7345957013036 0.0625000000 0.4344621753
912.76508 17.8787071922527 0.0625000000 0.1146001658
742.53813 10.9538884115265 0.0625000000 0.0000000000
919.73613 19.1677797138039 0.0625000000 0.4377107614
916.73887 19.4646229304789 0.0625000000 0.5967124508
916.73887 19.687053728927 0.0625000000 0.3197983425
650.64457 18.2046555342791 0.0625000000 0.0000000000
540.49864 8.7195918250089 0.0625000000 0.0000000000
899.76983 19.5192648001211 0.0625000000 0.0041307979
884.77017 19.3221372557493 0.0625000000 0.0000000000
882.75452 19.2639297982881 0.0625000000 0.0000000000
838.78582 21.0177456000067 0.0625000000 0.3544727602
834.75452 19.623617780153 0.0625000000 0.0000000000
834.75452 19.8122443409182 0.0625000000 0.0000000000
507.44188 10.2344286229577 0.0312500000 0.0000000000
848.77017 18.1875551675254 0.0625000000 -1.5053072288
634.61327 17.046546987421 0.0625000000 0.4229334450
634.61327 17.2609706958659 0.0625000000 0.4639706144
843.70723 18.4689944607603 0.0625000000 0.0000000000
862.74943 18.3761521168708 0.0625000000 0.0000000000
744.59254 17.5258161752218 0.0625000000 0.0000000000
634.61327 17.6319395883584 0.0625000000 0.4353231893
864.76508 18.5487957679309 0.0625000000 0.0000000000
850.56036 7.46523297334516 0.0312500000 0.8588686610
872.77017 17.4569158865644 0.0625000000 -0.2001913391
868.73887 19.5012183316609 0.0625000000 0.5409513455
476.27717 1.86263426161962 0.0625000000 0.0000000000
742.53923 13.051048931761 0.0312500000 -0.3693090356
576.29431 3.59203282784882 0.0312500000 0.0000000000
862.62502 9.24482835869706 0.0625000000 0.0000000000
796.54629 7.98897680006058 0.0625000000 0.0000000000
358.29628 3.67315702398483 0.0312500000 0.0660727831
