"m.z" "r.t" "p.value" "t.score"
774.66062 18.9367944515235 0.0000002509 0.0000000000
592.56632 15.263897634046 0.0000002509 0.0000000000
680.41443 3.78815629557579 0.0000001223 30.2297444323
904.79638 19.6350400633875 0.0000001870 0.0000000000
843.70723 18.4689944607603 0.0000002509 0.0000000000
862.74943 18.3761521168708 0.0000002509 -27.8350542103
864.76508 18.5487957679309 0.0000002897 0.0000000000
720.66531 20.8553086450585 0.0000002509 0.0000000000
476.27717 1.86263426161962 0.0000002509 0.0000000000
886.74943 18.4161279046149 0.0000002897 0.0000000000
912.57251 10.1489104584263 0.0000002509 0.0000000000
790.65553 16.5310349134248 0.0000002897 -28.5454824299
738.50793 10.3223454629904 0.0000000362 0.4466846141
1056.98927 21.7393811083369 0.0000002509 0.0000000000
540.49864 8.7195918250089 0.0000002509 0.0000000000
916.79638 18.7577446168061 0.0000002897 -29.2264153487
857.51856 6.78720399650259 0.0000001390 31.3199184480
650.64457 18.2046555342791 0.0000002509 -28.1605096087
580.49355 11.105666543637 0.0000000260 0.0000000000
913.74910 19.302198557412 0.0000002509 0.0000000000
911.56200 10.3169881981364 0.0000002509 0.0000000000
950.81712 20.1666057797395 0.0000002509 0.0000000000
892.60621 14.269776412408 0.0000002897 0.0000000000
914.58816 11.4549287797669 0.0000002509 0.0000000000
886.63203 14.1498379234974 0.0000002509 0.0000000000
998.91102 21.3514110167093 0.0000002509 -28.4272772646
942.84842 21.2651997878172 0.0000002897 0.0000000000
878.57531 8.00328355330391 0.0000002897 -28.6154518338
776.63988 15.4470356803124 0.0000002897 0.0000000000
935.76743 19.7157583960086 0.0000002509 0.0000000000
449.36254 4.69384636354502 0.0000002509 0.0000000000
970.87972 21.0948246984237 0.0000002509 0.0000000000
756.63480 14.9382181617438 0.0000002897 -28.5523392286
796.66610 15.453594050896 0.0000002509 0.0000000000
826.59565 6.30493958316165 0.0000002509 0.0000000000
798.56435 9.39019550686799 0.0000002509 0.0000000000
798.56435 7.40936832634803 0.0000002509 0.0000000000
826.59565 6.61402762876569 0.0000002509 0.0000000000
886.55686 9.91590302768569 0.0000002897 0.0000000000
886.55686 9.77556956966247 0.0000002509 0.0000000000
886.55686 8.74647435991662 0.0000002509 -27.9041451023
742.53573 10.0062373355179 0.0000002509 0.0000000000
690.50683 10.2633397689426 0.0000001012 -32.3763926979
842.66333 16.4569772072823 0.0000002509 -28.5525650243
838.55686 11.6489497894507 0.0000002509 0.0000000000
