"m.z" "r.t" "p.value" "t.score"
820.54870 7.51647340501577 0.0000025630 0.0000000000
774.60073 16.2362152812099 0.0000025630 32.4578138546
582.50920 12.5131635258936 0.0000025630 32.3497132289
740.63401 20.5689674938009 0.0000019670 4.0282876874
932.73378 18.7780916692925 0.0000025630 32.3990815590
927.61096 14.2420765502054 0.0000025630 32.3777732597
831.63745 12.3309298603856 0.0000025630 32.4921950648
803.66367 7.49280608940534 0.0000025630 32.3375603271
919.73613 19.1677797138039 0.0000025630 32.2929690098
910.74943 17.7345957013036 0.0000025630 32.3218595397
512.46734 6.90917724543291 0.0000025630 32.3449689338
620.59762 16.4863827907993 0.0000025630 32.5041066843
902.74435 17.6365384225453 0.0000008345 32.0919204236
770.56943 13.1877330009195 0.0000025630 0.0000000000
956.79130 19.4535207201066 0.0000008345 0.0000000000
872.57759 11.4901192517225 0.0000025630 32.4399298187
593.51395 14.7986388488556 0.0000025630 32.3297848737
891.70483 18.8863638533251 0.0000025630 0.0000000000
864.64768 14.4603596661296 0.0000025630 32.3677584982
620.59762 16.7396977575606 0.0000025630 32.2157667843
826.53573 8.05664216501058 0.0000025630 0.0000000000
796.54629 7.98897680006058 0.0000025630 0.0000000000
790.65553 16.0535794870784 0.0000008345 0.0000000000
1026.94232 21.4520957667081 0.0000025630 0.0000000000
880.76000 18.8551280257099 0.0000008345 31.0655576882
730.54050 11.6714273823859 0.0000025630 32.4842590544
956.73251 18.2063702884559 0.0000010207 0.0000000000
955.77251 20.9201143944706 0.0000025630 32.3652492544
832.70248 19.1785617031494 0.0000025630 32.1800740241
832.70248 19.3221789584865 0.0000025630 32.3559518535
744.66531 20.9369401257098 0.0000025630 32.2534372543
521.42005 4.56245991383664 0.0000025630 32.6669475870
682.64966 21.2037438795692 0.0000025630 32.2957972503
622.54050 14.2298657740344 0.0000025630 0.0000000000
694.63440 18.3553007082915 0.0000025630 32.3199730127
694.63440 18.598961260615 0.0000025630 32.3258226101
645.56051 18.3142285392967 0.0000004172 0.0000000000
796.54870 6.73042125074951 0.0000025630 0.0000000000
524.50372 11.3822844500956 0.0000025630 0.0000000000
572.48847 12.7974983020348 0.0000025630 34.3906699516
780.67118 18.9099025139418 0.0000025630 32.1793722872
650.57180 15.9704632345045 0.0000025630 0.0000000000
1024.67785 8.65224253047407 0.0000025630 32.5117994928
932.79130 17.8258773830643 0.0000025630 0.0000000000
828.55966 9.00662114892922 0.0000025630 32.3502888026
1134.78740 15.346940214106 0.0000025630 0.0000000000
942.81203 19.2286735879301 0.0000025630 32.2414197458
996.64655 6.94142941247537 0.0000025630 0.0000000000
942.81203 19.4462315033979 0.0000025630 32.3333739918
942.81203 20.1232368911019 0.0000025630 32.6417456447
942.81203 20.5328877850625 0.0000025630 32.4624747222
1106.75610 13.4691689992642 0.0000025630 32.3950137535
780.67118 19.0957418247026 0.0000025630 32.2663030417
800.52008 7.00529186720658 0.0000025630 31.9670794994
572.48847 13.085586598735 0.0000025630 0.0000000000
798.52796 10.0199104253459 0.0000025630 32.3614955376
745.62180 16.1458603866542 0.0000025630 0.0000000000
936.76508 18.5186099282481 0.0000025630 32.3153605571
936.76508 19.1179883382877 0.0000025630 32.6295393622
814.50175 8.28706860620359 0.0000025630 0.0000000000
1035.00492 22.09824741533 0.0000025630 1.8162332121
798.52556 9.96851421522603 0.0000025630 32.3739559095
824.61638 11.9954974542944 0.0000025630 32.2457027715
860.54361 7.08624726430884 0.0000014901 0.0000000000
750.50443 6.90835286677073 0.0000025630 32.2978820095
822.56435 7.46586625635427 0.0000014901 0.0000000000
796.73887 19.7977855137768 0.0000025630 -34.0080983388
790.59565 10.1741571526494 0.0000025630 0.0000000000
872.58000 10.9374339665835 0.0000025630 32.4121914990
826.71305 17.9751998039885 0.0000025630 32.3379262791
878.58816 12.7629630372409 0.0000025630 0.0000000000
878.56943 7.3036778221345 0.0000025630 32.3279595661
564.53502 13.016760221587 0.0000025630 0.0000000000
808.66610 15.2926862036791 0.0000025630 32.4074909227
808.66610 15.0654361565242 0.0000025630 32.6627888842
674.64457 17.6769971067008 0.0000025630 0.0000000000
760.64497 17.9993307313395 0.0000025630 32.3031492817
644.59762 15.2198626568904 0.0000025630 0.0000000000
763.63876 17.9344687427686 0.0000014901 32.5411874142
682.64966 21.2500256419296 0.0000025630 32.3041984008
768.55138 8.9843632360349 0.0000025630 32.4128231269
832.70248 18.9964478641512 0.0000025630 32.2220164128
812.66101 15.4849345277848 0.0000025630 0.0000000000
866.66333 16.1311032822682 0.0000025630 32.2677659700
634.61327 17.6319395883584 0.0000025630 32.3762498977
1040.95797 21.0951352585558 0.0000025630 32.2033514036
634.61327 17.2609706958659 0.0000025630 32.3060078520
776.58000 9.99120757874444 0.0000025630 0.0000000000
842.56943 9.99018256168592 0.0000025630 32.4199841504
634.61327 17.046546987421 0.0000025630 32.5008091925
1040.95797 21.5668988741834 0.0000025630 32.2997459822
838.55926 5.06340574600331 0.0000008345 0.0000000000
838.55926 5.42834274301472 0.0000008345 31.9047519135
838.55926 5.56502084678931 0.0000008345 31.7938024829
838.55926 5.74322668110538 0.0000025630 32.3643588132
936.82260 19.8146090045997 0.0000025630 32.2119236998
838.55926 5.90826679290631 0.0000014901 32.2870827549
838.55926 6.97461568849113 0.0000008345 32.2551281710
838.55926 11.5171097840673 0.0000025630 32.3632329371
838.55926 11.9920506155625 0.0000025630 32.3795551403
906.71813 16.7899063087552 0.0000025630 32.3807867916
804.61130 11.6613723077388 0.0000025630 0.0000000000
822.56194 7.2826229910224 0.0000011325 0.0000000000
666.53033 6.64359598509578 0.0000019670 0.0000000000
664.58745 16.9059194033 0.0000014901 0.0000000000
881.68650 17.350154695584 0.0000014901 0.0000000000
881.68650 17.4836337700889 0.0000014901 0.0000000000
888.64528 15.1423347059567 0.0000025630 32.3495072954
838.55926 6.29566271833174 0.0000019670 32.3619670986
832.70248 17.9104454003649 0.0000025630 32.2939044064
902.74435 17.2563816857018 0.0000025630 32.4619137616
754.69192 18.9316579655695 0.0000025630 30.9446501822
918.68762 13.7460953575189 0.0000025630 0.0000000000
878.61994 8.43416308088934 0.0000025630 32.3812365497
970.71892 14.152363837516 0.0000025630 0.0000000000
832.70248 17.6077147587415 0.0000025630 32.3278500574
838.69192 18.8158373469008 0.0000025630 32.3307287133
1000.92667 21.7006674697822 0.0000025630 32.2595144671
633.50646 17.0899299089191 0.0000025630 0.0000000000
938.78073 19.4082545818847 0.0000025630 32.6030775245
1008.89537 21.3493391355033 0.0000025630 32.0309026464
813.69426 20.5201278422302 0.0000025630 0.0000000000
692.52248 12.0416949597893 0.0000025630 0.0000000000
598.54050 15.5084030975704 0.0000025630 32.3148355089
692.61875 17.6306018998363 0.0000025630 32.3242296873
1008.89537 21.1674514292546 0.0000025630 32.1077304130
808.70248 19.7207297847253 0.0000025630 32.0964714507
538.48299 6.64984389580239 0.0000025630 0.0000000000
582.50920 12.7753852773845 0.0000025630 32.3664178087
908.73378 17.5335121646671 0.0000025630 32.3371566151
736.49118 7.95376324806415 0.0000025630 32.3685537872
690.60310 16.9847488289727 0.0000025630 0.0000000000
690.60310 16.8133125031881 0.0000025630 0.0000000000
788.52248 8.630284343459 0.0000025630 32.3927198034
884.73378 18.2921117320691 0.0000025630 32.3153797284
686.57180 15.9654149812827 0.0000025630 0.0000000000
884.73378 18.1777721222614 0.0000025630 32.3002145881
782.72322 19.5597745781931 0.0000025630 0.0000000000
884.73378 17.9493702637135 0.0000025630 32.3454078239
946.71892 15.6794470700887 0.0000025630 32.3929693578
971.70991 19.4800049739226 0.0000025630 0.0000000000
940.60381 12.0061833729497 0.0000032783 2.1222318209
940.60621 12.272387208172 0.0000032783 2.1263404423
660.55615 14.1730374212904 0.0000032783 0.0000000000
754.65553 17.7675590795001 0.0000032783 0.8166249391
848.61638 11.5896624503375 0.0000032783 0.0000000000
752.52008 8.38462031932374 0.0000032783 0.0000000000
842.62695 9.03822113025416 0.0000041723 0.0000000000
796.54870 7.97134259044364 0.0000041723 0.0000000000
826.63203 10.8441037589627 0.0000041723 0.0000000000
1149.88206 11.9145627667086 0.0000041723 0.0000000000
1132.77175 13.3299254915796 0.0000041723 0.0000000000
672.54090 8.20773676598412 0.0000052452 0.0000000000
1004.86407 21.0179301694015 0.0000052452 0.0000000000
1034.91102 21.6242738234341 0.0000052452 0.0000000000
624.55615 15.2359536765845 0.0000052452 0.0000000000
796.70248 18.7920251571022 0.0000052452 0.0000000000
762.50683 8.7867781831381 0.0000052452 0.0000000000
834.71813 19.7024842141707 0.0000052452 31.9130301178
552.53502 13.5982849335961 0.0000052452 0.0000000000
1108.77175 15.1342740346312 0.0000052452 0.0000000000
618.58197 16.8515136611189 0.0000065565 0.0000000000
906.60661 10.9954806200241 0.0000065565 0.0000000000
624.32719 2.37772744078826 0.0000065565 0.0000000000
892.60381 14.3065056849868 0.0000065565 32.2572976448
744.59254 17.5258161752218 0.0000065565 0.0000000000
956.77017 19.9634717117313 0.0000065565 0.0000000000
746.68096 21.2352965492086 0.0000065565 0.0000000000
822.56435 8.43735291513157 0.0000065565 0.0000000000
1000.92667 21.0634287715864 0.0000065565 32.2341417792
918.81203 19.3009013520459 0.0000065565 31.5815155918
762.50443 8.7639163553579 0.0000065565 0.0000000000
1136.80305 16.5401036363083 0.0000065565 0.0000000000
871.53421 8.44473902873824 0.0000079647 29.2744202530
953.75686 20.3308731897674 0.0000081658 0.0000000000
838.69192 19.1221229252974 0.0000081658 32.3308117991
764.67627 18.9609767038825 0.0000081658 0.0000000000
930.75452 19.5970339347887 0.0000081658 0.0000000000
712.64497 18.7308969181232 0.0000081658 2.1599253757
568.56632 15.451306688055 0.0000081658 0.0000000000
834.71813 19.5884635380838 0.0000081658 31.9475595933
798.52906 7.04077675779076 0.0000079647 0.0000000000
626.57180 16.9606438751328 0.0000081658 0.0000000000
780.52901 7.25572502669142 0.0000081658 0.0000000000
716.56711 9.64189199345199 0.0000081658 0.0000000000
953.75686 20.4907993543649 0.0000081658 0.0000000000
914.58816 10.9428386356678 0.0000081658 0.0000000000
808.70248 19.53252474725 0.0000081658 31.9187190695
750.50683 8.87963413499846 0.0000081658 0.0000000000
1134.78740 15.0179941635531 0.0000081658 0.0000000000
790.69192 18.9613743988494 0.0000081658 32.0422598021
838.69192 19.2785591862241 0.0000081658 32.0957335510
771.63745 16.0121158351908 0.0000081658 0.0000000000
1022.66220 7.16196778049472 0.0000081658 0.0000000000
831.63745 12.5092239702787 0.0000081658 32.6651777625
