"m.z" "r.t" "p.value" "t.score"
884.77017 19.3221372557493 0.0039062500 0.0000000000
572.48847 13.085586598735 0.0039062500 0.0000000000
804.61130 11.6613723077388 0.0039062500 0.0000000000
598.50412 13.7863523370105 0.0039062500 0.0000000000
544.45717 10.6548749156376 0.0039062500 0.6934012826
838.55926 11.9920506155625 0.0039062500 0.9290344520
838.55926 11.5171097840673 0.0039062500 0.9913044816
838.55926 6.97461568849113 0.0039062500 0.8730739372
838.55926 6.29566271833174 0.0039062500 1.0164353576
838.55926 5.90826679290631 0.0039062500 0.9768859948
572.48847 12.7974983020348 0.0039062500 0.4753517892
838.55926 5.74322668110538 0.0039062500 1.0568344657
838.55926 5.06340574600331 0.0039062500 0.0000000000
862.69192 18.8890142787847 0.0039062500 0.0000000000
842.56943 9.99018256168592 0.0039062500 0.8742519287
776.58000 9.99120757874444 0.0039062500 0.0000000000
826.59565 6.30493958316165 0.0039062500 0.0000000000
826.59565 5.41358206450525 0.0039062500 0.0000000000
912.57251 10.1489104584263 0.0039062500 0.0000000000
798.56435 9.39019550686799 0.0039062500 0.0000000000
798.56435 7.74104100674684 0.0039062500 0.0000000000
838.55926 5.42834274301472 0.0039062500 1.0316796523
1071.00492 21.8021031932053 0.0039062500 0.0000000000
972.85898 20.1777156725036 0.0039062500 0.0000000000
1103.06752 22.3870488232244 0.0039062500 0.0000000000
974.87463 20.3029731425367 0.0039062500 0.0000000000
820.54870 7.51647340501577 0.0039062500 0.0000000000
736.49228 7.94913734105586 0.0039062500 0.0000000000
648.32719 2.17865509719125 0.0039062500 0.0000000000
944.82768 20.8102044715988 0.0039062500 0.0000000000
1068.98927 21.7209722491142 0.0039062500 0.0000000000
866.66333 16.1311032822682 0.0039062500 0.8119435659
888.64528 15.1423347059567 0.0039062500 0.9055499128
1099.03622 22.0229615972476 0.0039062500 0.0000000000
854.62695 11.710716483512 0.0039062500 0.0000000000
666.56672 16.7917730699918 0.0039062500 0.0000000000
818.56943 10.6752780889912 0.0039062500 0.7124547821
816.64768 14.1567685630827 0.0039062500 0.0000000000
836.54361 6.69187420605594 0.0039062500 0.0000000000
836.54361 5.89059209797699 0.0039062500 0.0000000000
836.54361 5.56437474523934 0.0039062500 0.0000000000
558.47282 19.3047972289926 0.0039062500 0.0000000000
948.89537 21.406196054594 0.0039062500 -0.2641322034
790.65553 16.0535794870784 0.0039062500 0.2476156980
790.65553 16.5310349134248 0.0039062500 0.0000000000
886.55926 8.57816991215886 0.0039062500 0.0000000000
798.52796 10.0199104253459 0.0039062500 0.8021221297
814.50175 8.28706860620359 0.0039062500 0.0000000000
906.71813 16.7899063087552 0.0039062500 0.8802547418
886.55686 9.77556956966247 0.0039062500 0.0000000000
936.76508 19.1179883382877 0.0039062500 1.1708650391
