"m.z" "r.t" "p.value" "t.score"
758.62932 17.6912907215723 0.0002441406 1.4734844909
600.29431 3.49984980830846 0.0000610352 0.0000000000
768.55138 12.8482763736528 0.0002441406 0.7892616240
857.51856 6.78720399650259 0.0000610352 0.0000000000
566.55067 14.9770299074136 0.0002441406 0.6161422962
880.71774 19.7805826656054 0.0002441406 0.5742812705
718.53813 12.5773093985538 0.0002441406 0.8724486084
796.58508 14.4598345498102 0.0002441406 1.0309534535
790.53923 11.3707863287423 0.0000610352 1.6657630807
790.53923 12.0710857916984 0.0000610352 0.9336338752
746.56943 14.616686840722 0.0002441406 0.0000000000
909.54986 8.85308910423651 0.0000610352 0.3846201315
792.55378 12.2489819937957 0.0002441406 1.0229201566
912.76508 17.8787071922527 0.0002441406 28.4459959962
917.72048 18.7076729355266 0.0002441406 0.0000000000
704.63401 20.8362749700071 0.0002441406 -0.0711483280
792.55378 11.5036067657378 0.0002441406 1.5700519474
940.73887 19.3919776691838 0.0002441406 -0.1099117264
778.53573 10.989356969197 0.0002441406 1.0985073810
881.51746 7.67061403001131 0.0002441406 -0.0852270536
792.55488 13.6628891651468 0.0001220703 1.2736663747
716.52248 10.5192519460083 0.0002441406 0.6556885868
890.57531 8.56170672772429 0.0002441406 -0.1649276312
732.55378 13.7898606452611 0.0002441406 1.2207885386
716.52248 10.7508630510489 0.0002441406 0.6491090000
738.50793 10.3223454629904 0.0000610352 0.8120997498
819.58980 10.106011857773 0.0002441406 0.0000000000
660.62892 16.8651646243239 0.0002441406 -0.3669476117
845.72288 18.8317151343534 0.0002441406 -0.0334320118
768.55378 12.0939846851885 0.0002441406 0.9866536859
670.63440 18.5185223829866 0.0002441406 0.0000000000
920.82768 20.4830579070842 0.0002441406 1.6520800084
920.82768 20.6273148520773 0.0002441406 1.6422232932
835.53421 9.07165114702388 0.0000610352 0.8470475845
932.62226 10.990910959421 0.0002441406 0.0000000000
744.55378 13.1816891747472 0.0002441406 0.8869580428
798.68175 16.9964989272478 0.0002441406 0.4050814897
774.60073 16.239879683181 0.0002441406 1.0871669260
766.53923 11.9637099189358 0.0001220703 0.8484018811
858.75452 20.2874561402326 0.0002441406 0.5200925046
784.64497 18.4519098295377 0.0002441406 0.0000000000
752.52008 8.38462031932374 0.0002441406 0.0000000000
772.58508 14.8183615857382 0.0002441406 1.1223060125
794.56703 13.4993131154608 0.0002441406 1.5758623618
920.82768 20.1359677045881 0.0002441406 1.7798173121
768.55488 13.0541579667641 0.0000610352 1.2305441180
934.87972 20.9370845076923 0.0002441406 0.9256813183
790.53813 9.86387168759099 0.0002441406 0.0000000000
792.51740 8.51720523089222 0.0002441406 1.1454594408
784.64497 18.1130067841994 0.0002441406 0.0000000000
790.53813 10.1376915294494 0.0002441406 0.0000000000
782.65045 15.1582073084874 0.0002441406 0.4395516494
714.50793 10.6346404336776 0.0000610352 0.9393989306
840.72870 20.1467182274454 0.0002441406 0.0000000000
764.52248 10.0117698170554 0.0002441406 0.9084198079
978.84842 20.8363407855246 0.0002441406 0.7879426632
764.52358 11.249843012875 0.0000610352 0.9059239732
622.61327 17.6665487371794 0.0002441406 0.4070491034
806.56242 5.8302685831104 0.0002441406 0.0000000000
995.89771 21.7376585462497 0.0002441406 -32.9839044628
882.60073 11.2291958892711 0.0002441406 1.2741583094
872.77017 20.4651812734825 0.0002441406 0.4056699858
766.53573 10.1042840974005 0.0002441406 1.0862407898
700.57220 10.2433176901315 0.0002441406 0.0000000000
716.52358 11.9465095907597 0.0000610352 1.5858001287
728.52358 11.4838282938149 0.0000610352 0.9092859932
960.89537 21.0543832240577 0.0002441406 0.5788840122
860.60937 7.69006025387614 0.0002441406 0.2009532746
778.69192 17.9411885302442 0.0002441406 0.0000000000
842.59056 6.44734556710153 0.0002441406 -0.1723069213
846.52906 7.84948201325996 0.0000610352 -30.9243439699
764.52248 11.4149055732965 0.0002441406 1.0134232255
762.50793 9.88437228359852 0.0000610352 1.1027279549
696.57728 15.8457917899866 0.0002441406 -0.2495655573
924.80147 20.5899344752001 0.0002441406 0.3025781639
766.53573 12.6762752449308 0.0002441406 0.5672426981
770.56943 14.0563745517994 0.0002441406 0.0000000000
878.78073 19.5099114299722 0.0002441406 0.8774293204
624.29431 3.21329177627375 0.0000610352 0.0000000000
937.74669 18.1964243961727 0.0002441406 37.4482016109
818.55528 6.92229191705089 0.0000610352 28.7199649153
766.53813 10.5906541623826 0.0002441406 1.0276060555
748.49228 8.77720742785254 0.0001220703 0.7931181860
764.52358 10.4697163186512 0.0000610352 0.8908278660
766.53813 11.4098198392024 0.0002441406 0.9968376307
766.53813 10.6408584802938 0.0002441406 1.0700772347
768.55378 12.8432310112672 0.0002441406 0.8863752598
936.80147 20.3239508673701 0.0002441406 0.0000000000
740.52248 10.4417155448795 0.0002441406 1.0529028840
