"m.z" "r.t" "p.value" "t.score"
972.80147 20.1841074795638 0.0136718750 -28.6415895409
689.56906 18.965613712175 0.0048828125 0.0000000000
784.66610 16.4558181851827 0.0136718750 0.3484797898
568.56632 15.451306688055 0.0136718750 0.0000000000
618.58197 16.8515136611189 0.0136718750 0.0000000000
552.53502 13.5982849335961 0.0136718750 0.0000000000
752.52008 8.38462031932374 0.0136718750 0.0000000000
748.64497 18.8205068382173 0.0136718750 0.0000000000
754.69192 18.7537397440771 0.0136718750 32.2065821546
754.69192 18.9316579655695 0.0136718750 32.1669907420
756.63480 14.9382181617438 0.0136718750 0.0000000000
743.60615 14.7694142748399 0.0136718750 0.0000000000
644.59762 15.2198626568904 0.0136718750 0.0000000000
760.64497 17.9993307313395 0.0136718750 31.9377941263
795.63745 17.2437848228664 0.0136718750 0.0000000000
674.64457 17.6769971067008 0.0136718750 0.0000000000
666.63949 17.0532694771335 0.0136718750 0.0000000000
564.53502 13.016760221587 0.0136718750 0.0000000000
682.64966 21.2500256419296 0.0136718750 32.0266745877
763.63876 17.9344687427686 0.0136718750 32.1656276955
814.53813 12.2523247458168 0.0136718750 0.0000000000
716.52248 10.7508630510489 0.0019531250 0.5742151068
822.56435 8.43735291513157 0.0136718750 0.0000000000
848.61638 11.5896624503375 0.0136718750 0.0000000000
848.61638 12.4766974271809 0.0136718750 0.0000000000
766.50175 8.15633711614708 0.0048828125 0.0000000000
872.58000 10.9374339665835 0.0136718750 31.9829914597
808.66610 15.2926862036791 0.0136718750 32.0873050065
904.60621 15.7121643288585 0.0136718750 0.0000000000
768.55138 8.9843632360349 0.0136718750 32.0012242304
752.52008 7.93427582991434 0.0097656250 0.0000000000
808.66610 15.0654361565242 0.0136718750 32.1137990631
796.66610 15.453594050896 0.0136718750 0.0000000000
834.52796 7.92853126333138 0.0097656250 0.0000000000
800.54361 11.5977043071417 0.0136718750 0.0000000000
878.58816 12.7629630372409 0.0136718750 0.0000000000
844.58508 10.7854915782518 0.0136718750 0.0000000000
766.53573 12.6762752449308 0.0029296875 0.6204092565
878.56943 7.3036778221345 0.0136718750 32.0445062567
940.60621 12.272387208172 0.0136718750 3.1531838594
796.66610 15.6209886249695 0.0136718750 0.0000000000
822.56435 7.46586625635427 0.0136718750 0.0000000000
634.54050 13.3829831408155 0.0136718750 0.3300298338
661.52790 9.69447754506992 0.0136718750 0.0000000000
902.78073 19.570113456069 0.0136718750 0.0000000000
881.68650 17.4836337700889 0.0136718750 0.0000000000
881.68650 17.350154695584 0.0136718750 0.0000000000
634.61327 17.046546987421 0.0136718750 32.0908893458
634.61327 17.2609706958659 0.0136718750 32.2897823823
854.72322 19.7196279872418 0.0136718750 0.0000000000
854.72322 19.9405815392757 0.0136718750 0.0000000000
843.70723 18.4689944607603 0.0136718750 0.0000000000
1097.02057 21.8577031791158 0.0136718750 0.0000000000
860.77017 20.5551104196995 0.0136718750 0.3125518590
930.75452 19.5970339347887 0.0136718750 0.0000000000
862.74943 18.3761521168708 0.0136718750 0.0000000000
906.81203 19.9086914544665 0.0136718750 0.0000000000
634.61327 17.6319395883584 0.0136718750 31.9817418071
