"m.z" "r.t" "p.value" "t.score"
972.80147 20.1841074795638 0.0312500000 0.0000000000
826.59565 6.61402762876569 0.0312500000 0.0000000000
826.59565 6.30493958316165 0.0312500000 0.0000000000
358.29628 3.67315702398483 0.0156250000 0.1863414283
826.59565 5.41358206450525 0.0312500000 0.0000000000
912.57251 10.1489104584263 0.0312500000 0.0000000000
840.57601 8.68447863864778 0.0312500000 -0.2804055568
798.56435 9.39019550686799 0.0312500000 0.0000000000
862.62502 9.24482835869706 0.0312500000 0.0000000000
798.56435 7.74104100674684 0.0312500000 0.0000000000
812.54361 10.7224346048556 0.0312500000 0.0000000000
790.53813 12.8512910956349 0.0312500000 0.0000000000
812.54361 8.69583647723979 0.0312500000 0.0000000000
686.55655 8.93954766289255 0.0312500000 0.0000000000
714.60310 16.4127143615306 0.0312500000 0.0000000000
906.77565 19.1793709313384 0.0312500000 0.0000000000
886.55686 9.91590302768569 0.0312500000 0.0000000000
886.55686 8.74647435991662 0.0312500000 0.0000000000
774.66062 19.10110760512 0.0312500000 0.0000000000
814.55926 5.97949093240209 0.0156250000 0.6311083783
774.66062 18.9367944515235 0.0312500000 0.0000000000
742.53573 10.0062373355179 0.0312500000 0.0000000000
854.62695 11.710716483512 0.0312500000 0.0000000000
836.54361 6.69187420605594 0.0312500000 0.0000000000
664.38313 3.46430112791016 0.0156250000 -0.3646771265
279.23295 3.97452791301577 0.0312500000 1.2189679480
836.54361 5.56437474523934 0.0312500000 0.0000000000
844.51231 8.40001784466841 0.0312500000 0.0000000000
844.51231 7.60670784244211 0.0312500000 0.0000000000
886.55926 8.57816991215886 0.0312500000 0.0000000000
830.59166 11.2053244385669 0.0156250000 -0.0722763581
886.63203 14.1498379234974 0.0312500000 0.0000000000
914.58816 11.4549287797669 0.0312500000 0.0000000000
842.66333 16.4569772072823 0.0312500000 0.0000000000
911.56200 10.3169881981364 0.0312500000 0.0000000000
670.63440 18.5185223829866 0.0312500000 31.4840793972
894.62296 11.1820495510885 0.0156250000 -0.2326373749
670.59802 18.7985306813644 0.0312500000 -31.0492617907
970.84333 20.787414113719 0.0312500000 0.0000000000
772.54870 7.78099368630519 0.0312500000 0.5741357790
878.57531 8.33550877663642 0.0312500000 0.0000000000
814.55926 6.37993733446262 0.0156250000 0.6266487366
642.56672 17.3170901896051 0.0312500000 0.0000000000
946.84333 20.3755432478324 0.0312500000 0.0000000000
998.91102 21.3514110167093 0.0312500000 0.0000000000
1075.03622 22.2272700293582 0.0312500000 0.0000000000
592.56632 15.263897634046 0.0312500000 0.0000000000
1089.05187 22.2640553517993 0.0312500000 0.0000000000
913.74910 19.302198557412 0.0312500000 0.0000000000
