"m.z" "r.t" "p.value" "t.score"
368.29060 9.539 0.0000031671 1.4814448928
253.11817 6.996 0.0000305694 0.5584840630
304.21170 8.215 0.0033452897 0.5344901805
332.24293 9.13 0.0020573441 0.6214261190
314.10399 1.109 0.0031591012 0.4001976471
269.12427 6.213 0.0033452897 0.5453865145
270.14455 2.03 0.0035414194 0.7319354699
286.20122 8.266 0.0037479560 0.2937545480
286.11304 3.568 0.0031591012 0.4641034607
386.29005 10.099 0.0041942040 0.6730203417
247.07463 5.361 0.0067379486 0.4077854461
250.09194 4.245 0.0073627004 0.4541363684
148.09673 1.053 0.0072337436 -0.3827209393
292.10265 4.358 0.0050460635 0.3776175634
186.11232 1.189 0.0071068175 0.2747464785
504.19209 4.399 0.0055281421 -0.5304627074
274.09202 4.35 0.0062729114 0.3865827656
172.13316 10.041 0.0080389322 -0.3788757218
399.00121 4.353 0.0087702473 0.4273127650
484.11632 6.412 0.0084708726 -0.3804523569
394.06541 4.359 0.0098938950 0.3376650450
311.11621 4.393 0.0117214778 0.2842319485
293.10580 4.402 0.0117214778 0.2752018240
360.27419 9.882 0.0119197665 0.6398116227
132.01237 1.107 0.0110355380 0.4081994993
213.08687 4.215 0.0125325930 0.4559563620
293.08000 4.163 0.0194275162 1.1196446895
195.00279 3.281 0.0157763613 0.2390130567
310.11317 4.359 0.0133930182 0.2484207317
366.09636 7.781 0.0160340759 0.3557175859
119.08935 8.379 0.0191225138 -0.3055897526
453.34324 11.443 0.0188217056 0.5133360233
286.11297 3.237 0.0168295575 0.3444309937
206.10213 7.553 0.0155222971 0.4122712620
241.11818 4.001 0.0182324830 0.7404364114
387.11457 4.695 0.0153292657 0.4877790465
233.16464 8.003 0.0185250443 -2.1655813499
146.11750 1.01 0.0160340759 0.2345710694
428.17595 5.331 0.0188217056 0.1069129000
296.06290 8.912 0.0157763613 0.1327385602
104.10691 0.87 0.0230732575 0.1506087443
263.06945 7.465 0.0223692646 0.4437059327
112.98566 0.822 0.0231790500 -0.0710708157
749.28143 8.045 0.0216840218 0.1678236167
264.10762 4.391 0.0256908896 0.3568592161
287.20448 8.172 0.0264844397 0.1912944633
155.08145 4.526 0.0268890950 0.3832286913
283.01886 4.973 0.0256908896 0.2069181598
237.06323 5.045 0.0268890950 0.3535630017
274.10333 9.932 0.0289933949 0.3534743706
199.10766 1.192 0.0298739787 0.5580253297
209.10187 7.766 0.0307774579 0.1714783175
335.07362 4.851 0.0321766258 0.1667299211
422.12271 9.002 0.0331393930 0.4769145563
487.21320 1.261 0.0361769336 0.2970728053
193.07191 9.637 0.0367055963 -0.1725330642
384.27429 9.895 0.0351390597 0.5340505925
324.15515 8.925 0.0356547754 0.2791094946
125.07084 7.724 0.0351390597 0.3299232082
218.09233 9.74 0.0383312365 0.4168024686
234.02555 7.3 0.0387205116 0.5781532186
396.17634 11.274 0.0383312365 -0.2406736771
206.10212 7.546 0.0405936373 0.3612586834
253.97315 8.892 0.0417666517 0.0882757878
162.04070 1.02 0.0449063157 0.3764110278
202.11847 7.688 0.0448253143 0.3134054081
339.14247 1.732 0.0448253143 -0.4411758961
110.54135 1.15 0.0454591950 0.2183506258
711.35205 0.788 0.0441989046 0.0632202083
227.10252 8.1 0.0461006135 0.1500248170
159.02767 9.366 0.0441989046 0.1211477653
362.16528 4.352 0.0480707666 0.4292692214
278.06352 4.931 0.0480707666 0.1846493888
147.06505 1.173 0.0508072580 0.1428222005
578.33769 11.623 0.0501111857 0.3524978865
370.84376 0.896 0.0490033369 -0.1575315043
225.15960 4.95 0.0508072580 0.4694276483
546.20261 7.369 0.0515114107 0.3653708746
147.06506 1.174 0.0544102093 0.1442885950
183.10151 7.762 0.0544102093 -0.0955183402
211.14400 8.227 0.0536730428 0.3612907656
185.09207 8.077 0.0559098945 0.5778474361
522.20270 6.707 0.0566725535 -0.2424040940
218.13864 1.641 0.0574438505 0.3266530332
205.06811 1.166 0.0614323830 0.2233238011
677.35813 0.746 0.0590126411 0.0840487264
276.18030 6.017 0.0614323830 0.4493522644
313.94851 4.815 0.0606168333 0.1590734764
335.09466 5.656 0.0606168333 0.3269833577
204.12300 1.134 0.0630907468 0.0662177053
368.05174 5.31 0.0632176393 -0.2534685731
197.09188 3.808 0.0639337044 0.3728475717
234.02548 7.033 0.0649888327 0.4525671280
188.12787 1.079 0.0665185430 0.1724141443
174.04073 5.897 0.0677222098 -0.1837913092
192.06881 8.473 0.0673990518 0.1202693754
248.08750 4.032 0.0700982806 0.1661740354
276.15524 2.264 0.0710174998 0.1174883955
304.06595 9.858 0.0719465786 0.0901463631
749.28168 8.355 0.0728855898 0.0223740145
398.12904 8.593 0.0767424214 -0.2307365943
482.19781 5.208 0.0757629491 0.1324548981
308.09890 4.389 0.0764944907 0.2881266501
358.25866 9.463 0.0757629491 0.3702433307
211.00130 6.054 0.0785646803 -0.2081567494
367.12106 4.391 0.0787323344 0.6689745129
246.18112 5.56 0.0962050916 0.1351036582
177.02448 0.894 0.0893203599 0.0881292968
198.09708 1.025 0.0962050916 0.1799639338
155.08144 7.304 0.0938644859 0.5605485845
190.10735 1.996 0.0838911920 0.2917619351
549.17516 1.087 0.0873057398 0.4915919811
272.00780 7.356 0.0882124607 0.1465655598
129.05447 1.176 0.0849551068 0.1262912800
270.15466 8.79 0.0871156678 0.2032206260
256.05938 2.052 0.0839400790 -0.1214112651
334.54416 8.744 0.0973927860 -0.1922307682
243.15903 11.152 0.0904394387 -0.3206992426
132.06542 7.913 0.0973927860 0.2407853541
184.08956 1.156 0.0838911920 0.2196583139
97.07592 1.9 0.0860299076 0.1646063501
403.06216 7.753 0.0919617747 -0.3631671339
206.07133 1.146 0.0838911920 0.1838923505
435.20817 3.87 0.0904394387 0.2816281188
330.13933 5.645 0.0882124607 0.0733629668
215.01614 1.778 0.0838911920 0.4522227830
340.01015 5.144 0.0973927860 0.0927061929
101.02431 5.536 0.0968152415 -0.1491189661
255.13731 2.227 0.0973927860 0.4664807550
183.53880 4.335 0.0915697704 0.1052246754
388.18186 4.623 0.0985921720 0.3559040541
230.99008 1.757 0.1010263098 0.6013120190
323.07974 9.878 0.1010263098 0.0741559948
522.20261 6.644 0.1022612068 -0.1863312291
364.11676 7.662 0.1035080859 0.1457677049
364.11708 7.605 0.1047670193 0.1253506463
367.12068 4.351 0.1166517138 0.4622144292
237.08679 10.036 0.1125777897 -0.0693482294
269.08802 9.874 0.1222626848 -0.1628360627
414.16032 4.543 0.1152810654 0.1552260239
344.05842 9.96 0.1073213376 0.1280227293
245.14932 3.643 0.1194313839 0.1260521678
194.04396 9.931 0.1180351299 0.1130468368
384.93551 0.806 0.1197675963 -0.0439413827
229.15465 2.479 0.1208405457 0.0137156830
250.13964 7.201 0.1222626848 0.2019361999
203.13895 2.948 0.1099247369 0.2613600361
207.07227 1.171 0.1125777897 0.1793430851
199.10747 1.209 0.1208405457 0.5540048508
401.21400 7.351 0.1180351299 0.2501849820
225.01568 5.238 0.1086168663 0.1844853740
175.05754 1.118 0.1139231142 0.0793630222
161.04547 5.275 0.1084848048 -0.2173851478
274.14081 2.308 0.1183089099 0.1612703115
175.05755 1.115 0.1139231142 0.0793630222
438.83107 0.889 0.1126130717 -0.1714828534
137.04580 8.895 0.1208405457 0.0439319973
132.06544 4.619 0.1139231142 0.1171745970
202.14367 10.423 0.1251461728 0.1292745561
191.04831 6.148 0.1266076595 -0.1816877018
286.11313 1.941 0.1341152521 0.6515615758
180.10182 5.99 0.1310719120 0.2068578134
396.98694 4.37 0.1335373970 0.2376639326
550.27159 5.808 0.1341152521 0.2691065144
127.03883 5.235 0.1341152521 0.1736327076
207.00519 5.095 0.1356572753 0.1858827522
246.09050 6.954 0.1435735731 0.5111299217
240.10186 8.55 0.1468375290 0.0632396290
258.16988 6.191 0.1484906436 0.2236767788
276.13419 9.223 0.1587092034 0.9487615394
617.20521 4.391 0.1610003163 0.4466821237
231.08376 7.806 0.1622311036 0.1336010810
183.08621 4.378 0.1604628508 0.1927624934
219.09747 5.959 0.1622311036 0.1559422156
368.27942 10.215 0.1622311036 0.2484717429
427.09496 6.147 0.1640140212 -0.1113849580
243.02643 4.847 0.1658116625 0.0788904722
187.10761 2.5 0.1676240857 0.1376174148
228.03717 0.908 0.1694513487 0.1552087663
213.12327 1.257 0.1750227445 0.2010243037
124.05843 7.189 0.1731506218 0.1749544997
745.34525 0.797 0.1731506218 0.0701269458
183.06268 5.814 0.1750227445 0.3064896823
308.09086 6.148 0.1750227445 -0.1506159241
118.08619 0.98 0.1807297204 0.0633861874
272.18540 6.959 0.1826624288 0.1208943735
210.05000 6.964 0.1826624288 0.0667220631
210.05008 6.966 0.1826624288 0.0667220631
322.07684 9.92 0.1788122393 0.0645103556
487.16576 6.706 0.1846104175 -0.1814632010
116.07054 0.954 0.1865737387 0.0849861700
138.04275 9.833 0.1885524439 -0.1823926269
148.06035 3.26 0.1905465842 0.0645249332
342.26372 9.845 0.1925562096 0.1295850114
520.91036 0.794 0.1925293550 -0.0426709611
221.10330 9.242 0.1945813698 -0.0970646049
167.08138 4.161 0.1986784889 0.2628407144
267.15507 2.084 0.1986784889 -0.1178582610
295.12860 7.59 0.1986784889 -0.1745855919
146.08106 7.583 0.2049418747 0.2007315306
111.04386 1.208 0.2049418747 0.2700293669
159.06513 8.866 0.2070612429 0.1952893711
217.12940 5.155 0.2156977576 0.1341001819
198.04285 4.271 0.2178968587 0.2359707077
262.12850 3.663 0.2201120307 -0.2434586717
162.07599 3.099 0.2455502892 0.0550368354
216.06305 1.017 0.2337427049 0.3465840057
139.08653 9.564 0.2314303074 0.1196736743
253.09300 9.644 0.2384165217 -0.1515141557
106.04972 3.279 0.2455502892 0.0912474975
260.02584 5.531 0.2331718280 0.1892957337
261.07285 5.221 0.2355959640 -0.0649055020
344.07563 4.271 0.2454706729 0.2075427846
263.08726 5.307 0.2245907445 0.1161997293
568.12872 4.978 0.2236523053 0.3986585236
320.09098 6.141 0.2455502892 0.1653056168
72.08067 0.993 0.2431559193 0.0411565375
172.09669 1.642 0.2384165217 -0.0763407899
173.08079 7.784 0.2337427049 0.3206184853
175.07129 1.731 0.2314303074 0.1480910075
609.84133 0.852 0.2360714318 -0.1514528091
306.09290 7.953 0.2314303074 -0.1108832256
160.13310 1.208 0.2314303074 0.2062443008
296.99934 5.231 0.2331718280 -0.1553015809
205.06403 6.056 0.2407780070 0.0838863698
123.05528 7.19 0.2337427049 0.1575868943
169.08588 7.177 0.2360714318 0.0766454145
326.14569 9.34 0.2431559193 0.1404287063
227.17517 7.463 0.2479611466 0.2538538772
142.08615 1.397 0.2479611466 0.1143181146
460.23867 11.327 0.2503885200 0.0289452869
205.08997 1.516 0.2528324374 0.1806586404
109.02827 5.011 0.2528324374 0.1446150588
262.16465 3.909 0.2528324374 0.2940674172
239.55652 7.694 0.2552929256 0.6045821066
246.16995 5.266 0.2552929256 0.2914303275
148.06042 1.067 0.2602637165 0.1595804628
416.21251 10.808 0.2602637165 0.4003938150
396.98672 4.523 0.2582174994 0.1920696420
568.13774 8.968 0.2577700103 -0.1395618511
188.12805 3.685 0.2627740681 0.0365885659
241.04869 6.031 0.2653010878 0.1734364445
198.00728 3.81 0.2653010878 0.0939827706
376.30561 11.585 0.2678447975 0.9414892836
179.05482 1.471 0.2678447975 0.1295156786
215.03284 0.977 0.2741103064 0.1166894676
403.06249 7.128 0.2768227348 -0.2204805005
311.00833 6.947 0.2834586390 0.0376803500
169.09708 8.647 0.2834586390 0.2937487405
527.15817 6.708 0.2781869374 -0.1871980349
240.08660 9.144 0.2834586390 0.0679714789
229.13357 8.498 0.2808143886 -0.1306045967
152.99583 4.392 0.2823023161 0.1079258042
175.03603 4.772 0.2850695041 -0.1467612571
92.04320 1.263 0.2878549784 -0.1258951866
284.13382 9.701 0.2969323478 -0.1591764527
402.23316 10.054 0.2942039060 0.0414389763
131.04898 6.959 0.2969323478 0.0451872220
134.04471 0.989 0.2942039060 0.0824991946
