"m.z" "r.t" "p.value" "t.score"
157.14146 7.82 0.0000000001 -0.5723642402
325.17107 10.465 0.0000000001 -1.3621051435
268.15443 8.687 0.0000000001 -28.2737066901
240.15945 8.688 0.0000000001 -0.3574499968
340.26912 12.54 0.0000000001 -0.6413428770
216.06872 8.046 0.0000000001 -0.7499642298
191.99763 10.928 0.0000000001 -1.4696817283
340.13251 6.956 0.0000000005 0.5597814340
331.95245 4.82 0.0000000008 -0.2612408641
277.08920 2.364 0.0000000010 -0.2294246387
445.81506 12.734 0.0000000027 -1.4441621027
417.30441 12.205 0.0000000069 -1.2205099875
199.96928 8.234 0.0000000231 -0.1598253050
401.15295 10.707 0.0000002642 -0.2239431984
209.03017 5.657 0.0000005570 -31.2627053706
311.15530 10.615 0.0000007197 -0.4669304469
328.10279 10.232 0.0000006867 -0.2223880491
360.99793 9.63 0.0000008632 -0.4205126847
174.14874 8.541 0.0000011996 -0.5640341813
147.11266 1.298 0.0000017684 -0.3562288140
508.01346 5.713 0.0000028093 -0.3098163279
289.22728 9.974 0.0000054723 -1.6434349794
155.15427 5.154 0.0000078828 0.2216226255
338.11688 6.931 0.0000089542 1.6730345536
387.28674 11.884 0.0000125531 -0.1295808134
245.12827 10.024 0.0000246811 -0.0968828697
272.13379 2.368 0.0000272980 -0.3271820858
165.06909 3.268 0.0000307868 -0.2704003299
416.35181 10.38 0.0000383109 -0.2591203897
111.02003 12.66 0.0000448463 -28.7388626711
190.92841 8.648 0.0000469901 0.3239703518
165.04176 12.772 0.0000635443 0.2149546576
414.33618 10.38 0.0000700359 -0.3268795196
447.89196 1.202 0.0000713895 0.2713989921
182.08107 8.577 0.0000687065 -0.2583651998
177.10193 10.234 0.0000713895 -0.1237350633
326.23230 10.263 0.0000800456 -0.2185697182
185.11830 12.558 0.0000822220 0.2021661680
208.06134 11.426 0.0000907017 -0.2079564206
212.11265 2.743 0.0000985501 -0.4310013505
384.12233 6.947 0.0001566999 0.3952089164
778.20494 9.657 0.0001743297 -0.6616046528
253.09279 5.964 0.0001844581 -0.1864778868
253.11829 6.707 0.0001984666 0.3701397627
705.82720 8.883 0.0002132906 26.5942897861
101.01674 5.642 0.0002505309 1.0390124034
226.09353 10.051 0.0003322019 1.4374335610
221.15347 12.88 0.0003264430 -0.1635302823
307.11092 12.054 0.0004021452 -0.1788197831
480.00681 6.217 0.0004021452 -0.4277643980
195.11263 6.089 0.0004382892 -0.2262241862
530.20775 7.351 0.0004308263 0.3204235127
508.08591 1.012 0.0004856612 0.1443010166
212.11807 9.798 0.0005024848 -0.9860333677
569.26508 11.514 0.0005881137 -0.0713072513
412.86265 1.253 0.0006363526 0.2489711926
105.03673 2.076 0.0006690547 -0.7382894859
440.29200 12.712 0.0006802981 -0.7252793032
229.56251 1.002 0.0006802981 0.1852185987
310.14136 10.22 0.0008573058 3.0245993520
