"m.z" "r.t" "p.value" "t.score"
157.14146 7.82 0.0000000001 -0.5458172858
325.17107 10.465 0.0000000001 -1.4222406854
191.99763 10.928 0.0000000001 -0.8535777467
240.15945 8.688 0.0000000001 -0.4707920482
268.15443 8.687 0.0000000001 -28.2665582822
216.06872 8.046 0.0000000001 -0.7098601121
277.08920 2.364 0.0000000001 -0.2482513301
209.03017 5.657 0.0000000001 -4.2337065246
253.09279 5.964 0.0000000001 -0.2614715175
340.26912 12.54 0.0000000001 -0.6111411048
326.23230 10.263 0.0000000003 -0.4350630134
331.95245 4.82 0.0000000005 -0.1776739890
445.81506 12.734 0.0000000007 -26.3631253636
311.15530 10.615 0.0000000009 -0.4303088614
417.30441 12.205 0.0000000033 -1.1026579442
174.14874 8.541 0.0000000081 -0.6256146775
340.13251 6.956 0.0000000374 0.4723092914
165.06909 3.268 0.0000001143 -0.3251648643
401.15295 10.707 0.0000002020 -0.1416562772
272.13379 2.368 0.0000002228 -0.3082232097
182.08107 8.577 0.0000004934 -0.2599391933
165.04176 12.772 0.0000008281 0.1896995108
155.15427 5.154 0.0000009973 0.2662120263
185.11830 12.558 0.0000012852 0.1826225832
208.06134 11.426 0.0000028972 -0.1854262796
199.96928 8.234 0.0000030288 -0.1401013174
705.82720 8.883 0.0000050178 27.9935523157
246.04396 9.126 0.0000070847 -0.1646373739
508.01346 5.713 0.0000108259 -0.3613378894
289.22728 9.974 0.0000112898 -0.7052201092
229.56251 1.002 0.0000115288 0.2191833224
321.89751 4.849 0.0000115288 -0.3509908130
258.15450 8.641 0.0000151107 0.5266722658
307.11092 12.054 0.0000174561 -0.2253265244
105.03673 2.076 0.0000218555 -1.1878086103
416.35181 10.38 0.0000353926 -0.2212480943
226.09353 10.051 0.0000524300 1.6225915795
416.37491 11.688 0.0000577708 -0.1478432563
266.06696 10.05 0.0000687065 -0.2570311715
212.11265 2.743 0.0000831451 -0.4469485155
360.99793 9.63 0.0000815814 -0.3279466151
414.33618 10.38 0.0001377886 -0.2517839427
583.15175 9.301 0.0001429601 29.9779470375
756.24129 8.822 0.0001538562 1.5376578561
162.07594 1.02 0.0001685768 0.2000720884
379.97192 3.482 0.0001655306 -0.0471640225
189.08795 4.9 0.0002057533 -1.6180368250
328.10279 10.232 0.0002210867 -0.1288439126
226.12834 4.744 0.0002595962 -1.0317402654
207.14907 8.611 0.0002550258 -0.1548642003
85.02833 1.167 0.0002836232 0.1601354687
253.05434 6.017 0.0002836232 -0.2361869235
412.86265 1.253 0.0002786571 0.3019860436
212.11807 9.798 0.0002786571 -0.2406851838
338.11688 6.931 0.0002990235 1.6219398404
209.10183 7.667 0.0002938051 0.2205724506
174.04068 9.047 0.0003322019 -0.1494247234
642.31799 0.711 0.0003884831 0.0897365247
480.00681 6.217 0.0004162551 -0.1692972354
101.01674 5.642 0.0004308263 0.5008939692
279.11598 10.313 0.0004382892 -0.1491415076
111.02003 12.66 0.0004614083 -1.6083460377
190.15486 1.3 0.0004856612 0.2859849623
147.11266 1.298 0.0005287416 -0.2439403314
377.91489 4.919 0.0005851336 -0.1197151290
264.07714 0.994 0.0006051425 -0.2693590036
255.09499 7.907 0.0006690547 0.0721925560
190.92841 8.648 0.0006917169 0.2428280677
195.11263 6.089 0.0007033137 -0.2031886442
219.12255 11.03 0.0007767745 -24.0533866886
379.14916 11.813 0.0008028033 -0.1820628511
211.10753 8.605 0.0008573058 0.3300642522
310.14136 10.22 0.0008573058 30.0238483491
447.89196 1.202 0.0009455221 0.1735659586
569.26508 11.514 0.0009927168 -0.0662375124
188.16425 9.634 0.0010937155 -0.0605071134
365.10535 5.437 0.0011477037 0.4823216113
387.28674 11.884 0.0011662402 -0.0948009912
177.10193 10.234 0.0011662402 -0.0946122859
133.08570 7.047 0.0011477037 -0.2076401392
421.20414 10.379 0.0013247983 -0.2656254196
508.08591 1.012 0.0013892204 0.1431557196
336.85871 2.805 0.0014565205 0.1310817531
388.87366 2.809 0.0015030431 0.1047381986
286.20103 9.535 0.0017568710 -0.1838394375
204.15923 8.684 0.0018980530 -0.0620232024
