"m.z" "r.t" "p.value" "t.score"
325.17107 10.465 0.0000000001 -1.3538451292
240.15945 8.688 0.0000000001 -0.5351498722
157.14146 7.82 0.0000000001 -0.5693656711
191.99763 10.928 0.0000000001 -0.6533269589
268.15443 8.687 0.0000000001 -28.2640812918
216.06872 8.046 0.0000000001 -0.7092533202
209.03017 5.657 0.0000000001 -2.7335780613
340.26912 12.54 0.0000000001 -0.5391066660
253.09279 5.964 0.0000000001 -0.3084156355
174.14874 8.541 0.0000000003 -0.8910579074
277.08920 2.364 0.0000000005 -0.2011589544
289.22728 9.974 0.0000000006 -0.4919940141
401.15295 10.707 0.0000000007 -0.2454300646
326.23230 10.263 0.0000000044 -1.1742527139
417.30441 12.205 0.0000000057 -1.3351536914
311.15530 10.615 0.0000000063 -0.4367083749
387.28674 11.884 0.0000000935 -0.1888821205
165.06909 3.268 0.0000000961 -0.2628197154
340.13251 6.956 0.0000001463 0.4319671504
208.06134 11.426 0.0000001910 -0.1974998418
253.05434 6.017 0.0000002215 -0.2847285567
445.81506 12.734 0.0000002937 -25.8319381669
331.95245 4.82 0.0000002895 -0.1984748564
182.08107 8.577 0.0000003785 -0.2168700185
155.15427 5.154 0.0000005381 0.3375637234
272.13379 2.368 0.0000006406 -0.2676957364
207.12252 10.344 0.0000008001 -0.4708468418
335.19002 11.609 0.0000010997 -0.5450677795
323.19003 11.58 0.0000035258 -0.4117653872
569.26508 11.514 0.0000081933 -0.1332695840
508.01346 5.713 0.0000085727 -0.3960409803
212.11807 9.798 0.0000107168 -0.5406316441
705.82720 8.883 0.0000152304 2.5373421876
111.02003 12.66 0.0000206186 -28.2736694109
328.10279 10.232 0.0000201802 -0.0678675924
321.89751 4.849 0.0000212563 -0.4770938052
105.03673 2.076 0.0000283869 -1.0712252342
207.07621 8.806 0.0000289934 -0.6823647326
186.11234 2.243 0.0000322150 -0.5032616834
416.35181 10.38 0.0000413906 -0.2271796569
338.11688 6.931 0.0000748612 1.5964582684
133.08570 7.047 0.0000733696 -0.2296813993
195.11263 6.089 0.0000779308 -0.3107359834
264.12424 11.817 0.0000861337 -3.7539712752
226.09353 10.051 0.0000951478 1.4816465361
233.09932 6.804 0.0001029930 -0.1483875199
263.12129 11.682 0.0001205503 -3.1951756820
583.15175 9.301 0.0001313268 30.1159387261
185.11830 12.558 0.0001420715 0.1767737568
323.14249 11.965 0.0001464744 -0.2327615029
288.00378 4.675 0.0001613250 -0.7668723085
226.12834 4.744 0.0001582460 -0.9650868263
360.99793 9.63 0.0001760465 -0.4163301335
177.10193 10.234 0.0002451404 -0.1258717539
297.09353 5.148 0.0002794277 -0.6173331081
207.14907 8.611 0.0002794277 -0.1579860058
199.96928 8.234 0.0003058418 -0.0779946867
266.06696 10.05 0.0003295661 -0.5210928246
302.01938 5.534 0.0003425104 -0.4050963333
572.35541 12.497 0.0003553237 -0.3882158649
421.20414 10.379 0.0003618971 -0.3047899316
235.12873 7.948 0.0003753866 0.0848934917
414.33618 10.38 0.0004341849 -0.2829052531
305.22233 11.03 0.0004501727 -0.1695161289
257.11322 8.472 0.0004838098 0.2123464024
245.12827 10.024 0.0005582288 -0.1038164656
279.11598 10.313 0.0005784319 -0.1550963337
174.04068 9.047 0.0006130367 -0.4252071712
489.16273 12.42 0.0006662465 -0.1886150215
377.91489 4.919 0.0006701691 -0.2458927654
229.05791 5.313 0.0006821738 -0.1151604754
756.24129 8.822 0.0007400755 1.5843032543
453.18585 12.336 0.0008073303 -0.1415489421
102.95673 6.96 0.0009684732 -0.0857556956
379.17993 11.998 0.0010446376 -0.1841301548
449.30468 12.874 0.0010807563 -0.1936912999
416.37491 11.688 0.0010739786 -0.1623503678
115.07521 4.193 0.0011180272 -0.0855216298
246.04396 9.126 0.0011900306 -0.1025767776
379.14916 11.813 0.0012164647 -0.2403167046
243.13377 10.443 0.0012164647 -0.2238945736
212.11265 2.743 0.0012793083 -0.3594442929
289.15454 10.891 0.0014377731 -0.2209717265
356.24314 11.873 0.0014377731 -0.0343017758
165.04176 12.772 0.0015326908 0.1887422093
311.00019 10.587 0.0016112959 0.0424016240
575.39459 12.631 0.0017236865 -0.1706454579
253.11829 6.707 0.0017521160 0.3431011393
310.14136 10.22 0.0018701982 1.3702272202
133.06070 0.894 0.0019008395 -0.2037890925
101.01674 5.642 0.0019955512 0.9882482779
384.12233 6.947 0.0020610781 0.3056098993
522.20241 6.584 0.0020610781 0.3979235132
147.11266 1.298 0.0021630759 -0.2332782373
465.12645 12.602 0.0022336236 -0.2219499500
117.06976 7.935 0.0023434049 -0.0708227193
778.20494 9.657 0.0026281777 -0.2776366858
124.00731 0.904 0.0031290670 0.2261970249
204.15923 8.684 0.0032108494 -0.0584931599
437.93057 3.589 0.0033843170 -0.1209416318
159.05110 3.693 0.0035231091 0.2124881663
356.24298 12.717 0.0036893834 -0.1374713675
207.14903 10.244 0.0038627620 -0.0948627956
575.39471 12.566 0.0037463739 -0.1628617825
405.01419 1.275 0.0038323686 -0.1909649814
251.17527 9.996 0.0038041635 -0.1655437117
261.14835 12.903 0.0038627620 -0.2543605280
396.45639 11.969 0.0037463739 -0.1716867975
191.10249 10.256 0.0039824256 -0.1076883592
217.04941 1.246 0.0039824256 -0.1931518385
231.08377 4.726 0.0042319044 -0.5794849827
162.83902 11.979 0.0043336786 -0.4413375734
281.07666 10.459 0.0042964496 0.2050957531
205.10695 10.206 0.0043618862 -0.2522294255
240.11491 9.07 0.0048458203 0.2040441414
219.12255 11.03 0.0049187851 -24.8778442710
309.12663 11.904 0.0049927423 -0.1114154864
418.16272 8.633 0.0051436807 0.2348041329
694.92303 12.344 0.0052987310 -0.1682720887
690.50885 12.897 0.0054579905 -0.1075578098
308.18542 9.698 0.0054579905 -0.0735327602
131.04616 0.888 0.0055184685 -0.1543169288
480.00681 6.217 0.0056215584 -0.3546569347
257.09938 9.828 0.0058752101 -0.1125237878
379.97192 3.482 0.0062143085 -0.0599017514
186.07591 5.789 0.0063209637 0.1768312214
271.18060 10.852 0.0064136847 0.3514003875
238.09924 7.85 0.0065076277 0.0871490266
311.00024 10.987 0.0066883705 0.0272704229
298.05252 1.172 0.0067969282 0.1455936356
256.10980 7.843 0.0070977346 0.1802241600
652.35148 0.688 0.0073048580 -0.0952873894
273.15962 10.88 0.0075173884 -0.1471528886
242.13058 8.916 0.0079591564 28.0640867394
320.20668 12.357 0.0081886425 -0.4854114730
463.48311 1.347 0.0085439818 -0.0500487407
276.13611 4.661 0.0092962816 0.1662041471
326.70016 9.515 0.0092962816 0.0806195743
232.05761 9.265 0.0094471265 0.4439403956
267.17197 12.682 0.0095598748 -0.1630524614
