"m.z" "r.t" "p.value" "t.score"
157.14146 7.82 0.0000000001 -0.5515627174
325.17107 10.465 0.0000000001 -1.4550290068
268.15443 8.687 0.0000000001 -28.1958543783
216.06872 8.046 0.0000000001 -0.6493211956
209.03017 5.657 0.0000000001 -1.7727482583
240.15945 8.688 0.0000000001 -0.5470033819
155.15427 5.154 0.0000000003 0.4173344813
277.08920 2.364 0.0000000005 -0.2242061323
191.99763 10.928 0.0000000007 -0.5918044408
340.26912 12.54 0.0000000016 -0.5694233779
340.13251 6.956 0.0000000020 0.4260175493
311.15530 10.615 0.0000000089 -0.4636103422
174.14874 8.541 0.0000000216 -1.2294563208
253.09279 5.964 0.0000000557 -0.2222771217
401.15295 10.707 0.0000000971 -0.2424018625
289.22728 9.974 0.0000002073 -0.5414572026
272.13379 2.368 0.0000002866 -0.3202775580
445.81506 12.734 0.0000004931 0.0000000000
417.30441 12.205 0.0000005957 -2.5636928483
305.22233 11.03 0.0000009503 -0.2295170986
212.11807 9.798 0.0000009503 -0.7086314939
185.11830 12.558 0.0000017742 0.2829472957
207.12252 10.344 0.0000029063 -0.5217048012
331.95245 4.82 0.0000064962 -0.1913855108
338.11688 6.931 0.0000100248 2.6390736169
421.20414 10.379 0.0000136169 -0.3345817008
208.06134 11.426 0.0000158639 -0.1883846336
508.01346 5.713 0.0000269387 -0.4708462843
219.12255 11.03 0.0000637947 -25.0564137210
335.19002 11.609 0.0000909909 -0.4362508919
449.30468 12.874 0.0000980970 -0.2398161816
309.12663 11.904 0.0000956720 -0.1854228982
323.19003 11.58 0.0001083895 -0.2789973682
387.28674 11.884 0.0001127710 -0.1177847822
326.23230 10.263 0.0001167688 -1.9367801526
147.11266 1.298 0.0001727816 -0.2539741639
453.18585 12.336 0.0001949308 -0.2070179828
261.21717 11.699 0.0001949308 -0.2579778339
243.13377 10.443 0.0002094732 -0.3048488449
253.11829 6.707 0.0002094732 0.5503094170
266.06696 10.05 0.0002270849 -2.0991321338
489.16273 12.42 0.0002359969 -0.2796760219
165.04176 12.772 0.0002384635 0.2370598628
229.05791 5.313 0.0002895459 -0.2320936993
572.35541 12.497 0.0003058351 -0.4363695219
261.14835 12.903 0.0003204501 -0.2716293196
207.14907 8.611 0.0003280003 -0.2002280323
263.12129 11.682 0.0003436028 -3.0428782373
384.12233 6.947 0.0003598975 3.0622097127
165.06909 3.268 0.0003769126 -0.2043888982
267.17197 12.682 0.0003946773 -0.2808008013
102.95671 8.75 0.0003949295 0.2424606923
182.08107 8.577 0.0005187832 -0.2959271132
690.50885 12.897 0.0005550514 -0.1746002425
321.89751 4.849 0.0006435658 -0.6743792709
575.39459 12.631 0.0006347781 -0.1381232197
264.12424 11.817 0.0007250532 -1.8576922291
604.13812 8.48 0.0008092458 -0.8841054503
416.35181 10.38 0.0008271373 -0.2795437570
320.20668 12.357 0.0008271373 -0.5469190198
379.14916 11.813 0.0009222281 -0.1495767083
575.39471 12.566 0.0009840451 -0.1596612530
233.09932 6.804 0.0010273646 -0.1186604588
289.15454 10.891 0.0011193455 -0.6034938634
371.17238 10.818 0.0011520266 -0.2522179939
259.18052 10.234 0.0012188898 -27.3095591994
330.91568 12.664 0.0012716713 -0.1920059351
195.11263 6.089 0.0013265559 -0.1904970623
253.05434 6.017 0.0014734687 -0.2780900797
530.20775 7.351 0.0014429381 0.3091008595
379.97192 3.482 0.0014012074 -0.1031713679
207.07621 8.806 0.0014734687 -0.4684285234
111.02003 12.66 0.0014129915 -28.1079001067
269.12445 6.202 0.0015363232 0.2513098819
414.33618 10.38 0.0016016389 -0.3607258860
761.58417 12.508 0.0016352465 0.0000000000
186.11234 2.243 0.0017400018 -0.5655124997
302.01938 5.534 0.0018132298 -0.4335603487
88.98779 8.834 0.0018109281 -26.0161165605
379.17993 11.998 0.0018508963 -0.1991113139
286.20103 9.535 0.0019283944 -0.2013193556
437.93057 3.589 0.0020120926 -0.2067196260
360.99793 9.63 0.0021424332 -0.3367743903
569.26508 11.514 0.0021875716 -0.1320697445
166.08610 7.964 0.0022236957 -0.1942321625
705.82720 8.883 0.0026641860 2.1808277037
288.00378 4.675 0.0030007015 -0.9245684797
204.15923 8.684 0.0034420447 -0.0665545009
177.10193 10.234 0.0035097055 -0.1098855998
246.04396 9.126 0.0035692351 -0.0668910990
356.24298 12.717 0.0037200127 -0.1849302912
132.06535 4.662 0.0038665146 0.1907496131
229.15463 3.876 0.0038665146 0.2079505533
286.20099 9.676 0.0037926209 -0.1782801592
247.14414 10.417 0.0039417140 -1.2389671284
133.08570 7.047 0.0040182391 -0.1003154155
111.02019 7.619 0.0041753493 -0.0988775607
297.09353 5.148 0.0041753493 -0.6817061990
756.24129 8.822 0.0044214796 1.5672603957
377.91489 4.919 0.0045237806 -0.2478786514
83.03866 0.637 0.0045063997 0.1389715238
131.54204 0.971 0.0047701000 0.1043703445
119.52785 7.619 0.0047701000 1.0068655820
189.95895 3.192 0.0049535773 0.1033603886
